Date	Aircraft Type	Plane	Route	Duration	ASEL	AMEL	Complex	Hi Perform	SOLO	PIC	PIC AMEL	Flight Training Device	Actual Instrument	Simulated Instrument	Simulated Instrument	Approaches	Landings Day	Landings Night	Landings Night PIC	Dual Rec.	Cross Country	Cross County Instruction	Cross County Solo	Cross County PIC	Night	Night Instruction	Night Solo	Night PIC	Ground Given	Dual Given	Remarks
8/21/2005	PA28-140	N1072Q	GON GON	1.4	1.4	0			0	0		0	0	0	0	0	13	0	0	1.4	0	0	0	0	0	0	0	0			
8/27/2005	PA28-140	N98190	GON GON	1.3	1.3	0			0	0		0	0	0	0	0	3	0	0	1.3	0	0	0	0	0	0	0	0			
8/28/2005	PA28-140	N1072Q	GON MVY GON	2.2	2.2	0			0	0		0	0	0	0	0	7	0	0	2.2	2.2	2.2	0	0	0	0	0	0			
9/3/2005	PA28-140	N1072Q	GON ORH GON	1.9	1.9	0			0	0		0	0	0	0	0	4	0	0	1.9	1.9	1.9	0	0	0	0	0	0			
9/4/2005	PA28-140	N98190	GON GON	1.4	1.4	0			0.4	0.4		0	0	0	0	0	13	0	0	1	0	0	0	0	0	0	0	0			SECOND SOLO
9/6/2005	PA28-140	N1072Q	GON GON	1.6	1.6	0			0.9	0.9		0	0	0	0	0	14	0	0	0.7	0	0	0	0	0	0	0	0			
9/10/2005	PA28-140	N5991U	GON HYA GON	2.1	2.1	0			0	0		0	0	0	0	0	2	0	0	2.1	2.1	2.1	0	0	0	0	0	0			
9/11/2005	PA28-140	N98190	GON ORH GON	1.9	1.9	0			1.9	1.9		0	0	0	0	0	2	0	0	0	1.9	0	1.9	1.9	0	0	0	0			FIRST SOLO XCTRY
9/13/2005	PA28-140	N5991U	GON GON	1.2	1.2	0			1.2	1.2		0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0			
9/17/2005	PA28-140	N98190	GON GON	1.7	1.7	0			1.7	1.7		0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0			
9/19/2005	PA28-140	N5991U	GON HYA MVY GON	3.5	3.5	0			3.5	3.5		0	0	0	0	0	9	0	0	0	3.1	0	3.1	3.1	0	0	0	0			SOLO CROSS COUNTRY 169 NM
9/24/2005	PA28-140	N5991U	GON IJD GON	1.7	1.7	0			0	0		0	0	0	0	0	2	0	0	1.7	0	0	0	0	0	0	0	0			
9/25/2005	PA28-140	N98190	GON IJD GON	1.4	1.4	0			0	0		0	0	0	0	0	2	0	0	1.4	0	0	0	0	0	0	0	0			
10/1/2005	PA28-140	N5991U	GON IJD GON	1.5	1.5	0			0	0		0	0	0	0	0	3	0	0	1.5	0	0	0	0	0	0	0	0			
10/4/2005	PA28-140	N5991U	GON IJD GON	1.3	1.3	0			0	0		0	0	0	0	0	2	0	0	1.3	0	0	0	0	0	0	0	0			
10/19/2005	PA28-140	N98190	GON IJD GON	1.5	1.5	0			0	0		0	0	0	0	0	2	0	0	1.5	0	0	0	0	0	0	0	0			
10/28/2005	PA28-140	N98190	GON IJD GON	1.3	1.3	0			0	0		0	0	0	0	0	2	0	0	1.3	0	0	0	0	0	0	0	0			
11/1/2005	PA28-140	N98190	GON IJD GON	1.6	1.6	0			0	0		0	0	0	0	0	2	0	0	1.6	0	0	0	0	0	0	0	0			
11/1/2005	PA28-140	N98190	GON LOCAL	1.4	1.4	0			0	1.4		0	0	0.3	0	0	2	0	0	0	0	0	0	0	0	0	0	0			PASSED PRIVATE PILOT CHECKRIDE
11/13/2005	PA28-140	N98190	GON LOCAL	1.5	1.5	0			1.5	1.5		0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0			
1/8/2006	PA28-140	N1072Q	GON GON	1	1	0			1	1		0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0			
1/16/2006	PA28-140	N98190	GON GON	1.3	1.3	0			1.3	1.3		0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0			
1/20/2006	C172	N84717	WST GON WST	1.5	1.5	0			0	1.5		0	0	0	0	0	0	8	8	0	0	0	0	0	1.5	0	0	1.5			
3/31/2006	PA28-140	N5991U	GON WST GON	1.5	1.5	0			1.5	1.5		0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0			
5/17/2006	PA28-140	N5991U	GON BID GON	1.5	1.5	0			0	1.5		0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0			
6/10/2006	C172	N95950	SSF	0.6	0.6	0			0	0.6		0	0	0	0	0	0	3	3	0	0	0	0	0	0.6	0	0	0.6			
12/19/2006	PA28-181	N4319Y	OAK DVO OAK	2.1	2.1	0			0	2.1		0	0	0	0	0	4	0	0	2.1	0	0	0	0	0	0	0	0			
12/22/2006	PA28-181	N4319Y	OAK APC OAK	2	2	0			0	2		0	0	0	0	0	8	0	0	2	0	0	0	0	0	0	0	0			
12/28/2006	PA28-181	N4319Y	OAK OAK	1.3	1.3	0			0	1.3		0	0	0	0	0	10	0	0	1.3	0	0	0	0	0	0	0	0			
1/2/2007	PA28-161	N4345B	OAK OAK	0.7	0.7	0			0.7	0.7		0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0			
1/21/2007	PA28-151	N43434	OAK STS OAK	1.8	1.8	0			1.8	1.8		0	0	0	0	0	2	0	0	0	1.8	0	1.8	1.8	0	0	0	0			
1/28/2007	PA28-151	N43434	OAK	1.4	1.4	0			1.4	1.4		0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0			
2/12/2007	PA28-181	N4319Y	OAK STS OAK	1.9	1.9	0			1.9	1.9		0	0	0	0	0	2	0	0	0	1.9	0	1.9	1.9	0	0	0	0			
2/14/2007	PA28-181	N4319Y	OAK STS OAK	1.6	1.6	0			1.6	1.6		0	0	0	0	0	2	0	0	0	1.6	0	1.6	1.6	0	0	0	0			
2/15/2007	PA28-181	N4319Y	OAK STS OAK	1.4	1.4	0			1.4	1.4		0	0	0	0	0	2	0	0	0	1.4	0	1.4	1.4	0	0	0	0			
2/17/2007	PA28-181	N4319Y	OAK STS OAK	1.5	1.5	0			1.5	1.5		0	0	0	0	0	2	0	0	0	1.5	0	1.5	1.5	0	0	0	0			
3/3/2007	PA28-161	N47952	OAK STS OAK	2.2	2.2	0			2.2	2.2		0	0	0	0	0	2	0	0	0	2.2	0	2.2	2.2	0	0	0	0			
3/11/2007	PA28-181	N4319Y	OAK STS OAK	2.3	2.3	0			2.3	2.3		0	0	0	0	0	2	0	0	0	2.3	0	2.3	2.3	0	0	0	0			
3/29/2007	PA28-151	N43434	OAK MRY OAK	2.9	2.9	0			2.9	2.9		0	0	0	0	0	5	0	0	0	2.9	0	2.9	2.9	0	0	0	0			
4/28/2007	PA28-161	N47952	OAK STS OAK	2.4	2.4	0			2.4	2.4		0	0	0	0	0	2	0	0	0	2.4	0	2.4	2.4	0	0	0	0			
4/30/2007	PA28-151	N43434	OAK MRY OAK	2.5	2.5	0			2.5	2.5		0	0	0	0	0	2	0	0	0	2.5	0	2.5	2.5	0	0	0	0			
5/18/2007	PA28-161	N47952	OAK STS OAK	1.8	1.8	0			1.8	1.8		0	0	0	0	0	2	0	0	0	1.8	0	1.8	1.8	0	0	0	0			
6/8/2007	PA28-161	N47952	OAK STS OAK	2	2	0			2	2		0	0	0	0	0	2	0	0	0	2	0	2	2	0	0	0	0			
6/17/2007	PA28-161	N9284M	OAK MER SCK OAK	2.4	2.4	0			2.4	2.4		0	0	0	0	0	3	0	0	0	2.4	0	2.4	2.4	0	0	0	0			
6/18/2007	PA28-151	N43434	OAK MER OAK	2.5	2.5	0			2.5	2.5		0	0	0	0	0	2	0	0	0	2.5	0	2.5	2.5	0	0	0	0			
7/1/2007	PA28-161	N9824M	OAK MER SCK OAK STS OAK	4.3	4.3	0			4.3	4.3		0	0	0	0	0	5	0	0	0	4.3	0	4.3	4.3	0	0	0	0			
7/9/2007	C172SP	N174ME	HWD CCR STS HWD	2.6	2.6	0	2.6		0	2.6		0	0	2	0	0	3	0	0	2.6	2.6	2.6	0	2.6	0	0	0	0			
7/10/2007	ELITE PCADT	ELITE @ KHWD		0	0	0			0	0		1.6	0	0	1.6	0	0	0	0	0	0	0	0	0	0	0	0	0			
7/11/2007	C172	N172CA	HWD LVK HWD	1.6	1.6	0			0	1.6		0	0.2	1.2	0	2	2	0	0	1.6	0	0	0	0	0	0	0	0			"DP, AIRWAYS, ILS, LOC, DME"
7/13/2007	C172	N20596	HWD SCK LVK HWD	2.4	2.4	0			0	2.4		0	0	2	0	2	3	0	0	2.4	0	0	0	0	0	0	0	0			"HOLDING, ILS, LOC, PAR."
7/18/2007	C172	N6326K	HWD SCK LVK HWD	1.9	1.9	0			0	1.9		0	0	1.8	0	2	1	0	0	1.9	0	0	0	0	0	0	0	0			"HOLDING, ILS, LOC, RV, ENGINE OUT, C172 CHECKOUT"
7/19/2007	C172	N172CA	HWD APC HWD	2.1	2.1	0			0	2.1		0	0	1.9	0	2	2	0	0	2.1	0	0	0	0	0	0	0	0			"HOLDING, VOR 6 APC AND VOR 6 CTL 24 MISSED APPRCH"
7/31/2007	C172	N6326K	HWD	1.5	1.5	0			0	1.5		0	0	1.3	0	1	1	0	0	1.5	0	0	0	0	0	0	0	0			NDB @ TCY
8/1/2007	C152	N67307	HWD C83 HWD	0.9	0.9	0			0	0.9		0	0	0	0	0	1	0	0	0.9	0	0	0	0	0	0	0	0			
8/2/2007	PA28-161	N47952	OAK STS APC OAK	2.1	2.1	0			2.1	2.1		0	0	0	0	0	3	0	0	0	2.1	0	2.1	2.1	0	0	0	0			
8/7/2007	C172	N4658G	HWD	0.8	0.8	0			0	0.8		0	0	0.7	0	0	1	0	0	0	0	0	0	0	0	0	0	0			
8/22/2007	PA28-161	N47952	OAK UKI OAK	2.9	2.9	0			2.9	2.9		0	0	0	0	0	1	1	1	0	2.9	0	2.9	2.9	0.2	0	0.2	0.2			
8/25/2007	PA28-181	N4319Y	OAK STS OAK	2	2	0			2	2		0	0	0	0	0	2	0	0	0	2	0	2	2	0	0	0	0			
8/27/2007	PA28-161	N9284M	OAK	1.1	1.1	0			0	1.1		0	0	0.7	0	0	1	0	0	1.1	0	0	0	0	0	0	0	0			
9/1/2007	F142	OAKLANDFLYERS	"OAKLAND, CA"	0	0	0			0	0		1.3	0	0	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0			
9/2/2007	F142	OAKLANDFLYERS	"OAKLAND, CA"	0	0	0			0	0		1.5	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0			
9/3/2007	F142	OAKLANDFLYERS	"OAKLAND, CA"	0	0	0			0	0		1.5	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0			
9/7/2007	F142	OAKLANDFLYERS	"OAKLAND, CA"	0	0	0			0	0		1.3	0	0	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0			
9/8/2007	F142	OAKLANDFLYERS	"OAKLAND, CA"	0	0	0			0	0		1.2	0	0	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0			
9/9/2007	F142	OAKLANDFLYERS	"OAKLAND, CA"	0	0	0			0	0		1.5	0	0	1.5	2	0	0	0	0	0	0	0	0	0	0	0	0			
9/11/2007	F142	OAKLANDFLYERS	"OAKLAND, CA"	0	0	0			0	0		1.7	0	0	1.7	2	0	0	0	0	0	0	0	0	0	0	0	0			
9/12/2007	F142	OAKLANFLYERS	"OAKLAND, CA"	0	0	0			0	0		1.7	0	0	1.7	2	0	0	0	0	0	0	0	0	0	0	0	0			
9/14/2007	F142	OAKLANDFLYERS	"OAKLAND, CA"	0	0	0			0	0		0.5	0	0	0.5	1	0	0	0	0	0	0	0	0	0	0	0	0			
9/15/2007	F142	OAKLANDFLYERS	"OAKLAND, CA"	0	0	0			0	0		0.8	0	0	0.8	2	0	0	0	0	0	0	0	0	0	0	0	0			
9/16/2007	F142	OAKLANDFLYERS	"OAKLAND, CA"	0	0	0			0	0		0.9	0	0	0.9	2	0	0	0	0	0	0	0	0	0	0	0	0			
9/17/2007	F142	OAKLANDFLYERS	"OAKLAND, CA"	0	0	0			0	0		1.1	0	0	1.1	2	0	0	0	0	0	0	0	0	0	0	0	0			
9/20/2007	PA28-161	N47952	OAK OAK	1.9	1.9	0			0	1.9		0	0	1.6	0	2	1	0	0	1.9	0	0	0	0	0	0	0	0			
9/29/2007	C172	N20117	OAK OAK	1.4	1.4	0			0	1.4		0	0	1.1	0	2	0	1	1	1.4	0	0	0	0	0	0	0	0			
10/1/2007	C172	N20117	OAK OAK	1.6	1.6	0			0	1.6		0	0	1.4	0	2	1	0	0	1.6	0	0	0	0	0	0	0	0			
10/2/2007	C172	N1658F	OAK OAK	1.7	1.7	0			0	1.7		0	0	1.5	0	2	1	0	0	1.7	0	0	0	0	0	0	0	0			
10/3/2007	C172	N20117	OAK OAK	0.6	0.6	0			0	0.6		0	0	0.5	0	1	1	0	0	0.6	0	0	0	0	0	0	0	0			
10/6/2007	C172	N20117	OAK OAK	1.4	1.4	0			0	1.4		0	0	1.2	0	1	1	0	0	1.4	0	0	0	0	0	0	0	0			
10/7/2007	PA28-161	N47952	OAK	1.6	1.6	0			0	1.6		0	0	1.4	0	1	1	0	0	1.6	0	0	0	0	0	0	0	0			
10/14/2007	C172	N20117	OAK MRY FAT OAK	5.2	5.2	0			0	5		0	0.1	5	0	3	3	0	0	5	5	0	0	5	0	0	0	0			"MRY LOC 28L, FAT ILS 29R, OAK VOR/DME 27L"
11/3/2007	C172	N20117	OAK OAK	1.5	1.5	0			0	1.5		0	0	1.3	0	0	1	0	0	0	0	0	0	0	0	0	0	0			
11/5/2007	PA28-181	N4319Y	OAK STS OAK	1.4	1.4	0			1.4	1.4		0	0	0	0	0	2	0	0	0	1.4	0	1.4	1.4	0	0	0	0			
11/6/2007	C172	N1658F	OAK OAK	1	1	0			0	1		0	0	0.8	0	2	1	0	0	0	0	0	0	0	0	0	0	0			
11/11/2007	PA28	N47952	OAK OAK	1.6	1.6	0			0	1.6		0	0	1.4	0	1	1	0	0	0	0	0	0	0	0	0	0	0			
11/12/2007	SR-20	N2075T	HWD TCY LVK HWD	2	2	0			0	2		0	0	0	0	3	2	5	5	2	0	0	0	0	0.8	0.8	0	0.8			
11/13/2007	C172	N4658G	HWD OAK HWD	2.3	2.3	0			1	2.3		0	0	1	0	3	1	2	2	0	0	0	0	0	1.2	0	0.5	1.2			
11/17/2007	PA28-181	N4319Y	OAK CCR	1.3	1.3	0			0	1.3		0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0			INSTRUMENT RATING ISSUED
11/17/2007	PA28-181	N4319Y	CCR OAK	0.8	0.8	0			0.8	0.8		0	0	1.1	0	0	0	1	1	0	0	0	0	0	0	0	0	0			
11/22/2007	C172	N172CA	HWD MRY MER HWD	3.3	3.3	0			3.3	3.3		0	0	0	0	0	2	1	1	0	3.3	0	3.3	3.3	0.4	0	0.4	0.4			
11/24/2007	PA28-181	N4319Y	OAK STS OAK	1.8	1.8	0			1.8	1.8		0	0	0	0	0	2	0	0	0	1.8	0	1.8	1.8	0	0	0	0			
12/9/2007	PA28-181	N4319Y	OAK STS APC OAK	2.4	2.4	0			2.4	2.4		0	0	0	0	2	7	0	0	0	2	0	2	2	0	0	0	0			
1/12/2008	7ECA	N53893	RHV RHV	1	1	0			0	1		0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0			
1/17/2008	C172	N738VU	HWD OAK HWD	0.9	0.9	0			0	0.9		0	0	0	0	0	5	1	1	0	0	0	0	0	0.1	0	0	0.1			
1/19/2008	7ECA	N1806G	RHV RHV	1	1	0			0	1		0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0			
1/20/2008	7ECA	N1806G	RHV RHV	1.2	1.2	0			0	1.2		0	0	0	0	0	10	0	0	1.2	0	0	0	0	0	0	0	0			
1/21/2008	7ECA	N9091L	RHV RHV	1.3	1.3	0			0	1.3		0	0	0	0	0	11	0	0	1.3	0	0	0	0	0	0	0	0			
1/21/2008	7ECA	N9091L	RHV RHV	1.2	1.2	0			0	1.2		0	0	0	0	0	12	0	0	1.2	0	0	0	0	0	0	0	0			
1/26/2008	7ECA	N9091L	RHV RHV	0.7	0.7	0			0	0.7		0	0	0	0	0	7	0	0	0.7	0	0	0	0	0	0	0	0			
2/16/2008	F142	OAKLANDFLYERS	"OAKLAND, CA"	0	0	0			0	0		1.9	0	0	1.9	2	0	0	0	0	0	0	0	0	0	0	0	0			
2/17/2008	7ECA	N9091L	RHV RHV	1.3	1.3	0			0	1.3		0	0	0	0	0	7	0	0	1.3	0	0	0	0	0	0	0	0			
2/18/2008	F142	OAKLANDFLYERS	"OAKLAND, CA"	0	0	0			0	0		2	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0			
2/23/2008	7ECA	N9091L	RHV RHV	1	1	0			0	1		0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0			
2/23/2008	7ECA	N1806G	RHV RHV	1.3	1.3	0			0	1.3		0	0	0	0	0	10	0	0	1.3	0	0	0	0	0	0	0	0			
2/24/2008	7ECA	N1806G	RHV RHV	0.9	0.9	0			0	0.9		0	0	0	0	0	6	0	0	0.9	0	0	0	0	0	0	0	0			
2/27/2008	C172	N172CA	HWD CVH HWD	2.1	2.1	0			2.1	2.1		0	0	0	0	0	2	1	1	0	1.8	0	1.8	1.8	0.2	0	0.2	0.2			
2/28/2008	C172	N945SM	HWD CVH HWD	2.1	2.1	0			2.1	2.1		0	0	0	0	0	3	1	1	0	1.8	0	1.8	1.8	0.2	0	0.2	0.2			
3/8/2008	C172	N1590V	HWD CEC STS APC HWD	7.2	7.2	0			7.2	7.2		0	0.2	0	0	1	4	0	0	0	7.2	0	7.2	7.2	0	0	0	0			LONG SOLO CROSS COUNTRY SLD OVER 550NM
3/9/2008	7ECA	N9091L	RHV RHV	1.2	1.2	0			0	1.2		0	0	0	0	0	11	0	0	1.2	0	0	0	0	0	0	0	0			
3/9/2008	7ECA	N990WY	RHV RHV	0.9	0.9	0			0	0.9		0	0	0	0	0	10	0	0	0.9	0	0	0	0	0	0	0	0			
3/14/2008	PA28R-200	N8279W	OAK OAK	0.5	0.5	0	0.5		0	0.5		0	0	0	0	0	2	0	0	0.5	0	0	0	0	0	0	0	0			"POWER LOSS ON TAKE-OFF, YIKES"
3/15/2008	7KCAB	N1701H	RHV RHV	1	1	0			0	1		0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0			
3/16/2008	7KCAB	N1701H	RHV RHV	1	1	0			0	1		0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0			
3/22/2008	7KCAB	N1701H	RHV RHV	1.1	1.1	0			0	1.1		0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0			
3/22/2008	PA28R-200	N50533	RHV RHV	1.2	1.2	0	1.2		0	1.2		0	0	0	0	0	1	0	0	1.2	0	0	0	0	0	0	0	0			
3/23/2008	7KCAB	N1701H	RHV RHV	1.2	1.2	0			0	1.2		0	0	0	0	0	4	0	0	1.2	0	0	0	0	0	0	0	0			
3/23/2008	PA28R-200	N50535	RHV RHV	1.8	1.8	0	1.8		0	1.8		0	0	0	0	0	12	0	0	1.8	0	0	0	0	0	0	0	0			
3/24/2008	PA28-161	N47952	OAK OAK	2.2	2.2	0			2.2	2.2		0	0	0	0	0	0	30	30	0	0	0	0	0	2.2	0	2.2	2.2			
3/26/2008	PA28-151	N43434	OAK OAK	1.7	1.7	0			1.7	1.7		0	0	0	0	0	0	22	22	0	0	0	0	0	1.7	0	1.7	1.7			
4/4/2008	C172RG	N5160U	HWD HWD	2.1	2.1	0	2.1		0	2.1		0	0	0	0	0	1	0	0	2.1	0	0	0	0	0	0	0	0			
4/5/2008	7KCAB	N1701H	RHV RHV	0.7	0.7	0			0	0.7		0	0	0	0	0	5	0	0	0.7	0	0	0	0	0	0	0	0			
4/10/2008	C172RG	N5160U	HWD OAK HWD	2.7	2.7	0	2.7		0	2.7		0	0	0	0	0	8	0	0	2.7	0	0	0	0	0	0	0	0			
4/11/2008	PA28-161	N47952	OAK OAK	2.6	2.6	0			2.6	2.6		0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0			
4/12/2008	C172	N172CA	HWD RDD	2.1	2.1	0			0	2.1		0	0	0	0	0	3	0	0	2.1	2.1	2.1	0	2.1	0	0	0	0			
4/12/2008	C172	N172CA	RDD WLW HWD	2.1	2.1	0			0	2.1		0	0	0	0	0	0	2	2	2.1	2.1	2.1	0	2.1	2.1	2.1	0	2.1			
4/16/2008	CALAIR PFCMFD	13752	HWD	0	0	0			0	0		1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
4/18/2008	CALAIR PFCMFD	13752	HWD	0	0	0			0	0		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
4/24/2008	CALAIR PFCMFD	13752	HWD	0	0	0			0	0		1.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
5/2/2008	CALAIR PFCMFD	13752	HWD	0	0	0			0	0		2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
5/3/2008	CALAIR PFCMFD	13752	HWD	0	0	0			0	0		1.5	0	0	0.3	1	0	0	0	0	0	0	0	0	0	0	0	0			LOC/DME 28L HWD
5/5/2008	C172RG	N5160U	HWD PAO HWD	1.8	1.8	0	1.8		0	1.8		0	0.1	0	0	1	8	0	0	1.8	0	0	0	0	0	0	0	0			
5/6/2008	C172RG	N5160U	HWD PAO HWD	1.8	1.8	0	1.8		0	1.8		0	0	0	0	0	17	0	0	1.8	0	0	0	0	0	0	0	0			
5/8/2008	C172RG	N6387V	HWD PAO HWD	1.8	1.8	0	1.8		0	1.8		0	0	0	0	0	12	0	0	1.8	0	0	0	0	0	0	0	0			
5/9/2008	C172RG	N6387V	HWD PAO HWD	1.3	1.3	0	1.3		1.3	1.3		0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0			
5/10/2008	C172RG	N6387V	HWD SCK TCY HWD	3.1	3.1	0	3.1		3.1	3.1		0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0			
5/11/2008	C172RG	N6387V	HWD PAO	0.8	0.8	0	0.8		0	0.8		0	0.2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0			
5/11/2008	C172RG	N6387V	PAO TCY PAO	2.4	2.4	0	2.4		0	2.4		0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0			COMMERCIAL ASEL ISSUED
