Date	AC Type	Plane	Route of Flight	App	Remarks	day ldg	nt ldg	nt t/o	ASEL	AMEL	Heli	Night	Actual	Hood	Flight Sim	XC	Dual	PIC	Solo	Total		
3/30/95	7ECA	N5199T	FFZ--local		"3-point,x-wind,wheel landings"	17			1.9								1.9	1.9		1.9		
3/31/95	DV-20	N18DV	FFZ-E69-FFZ		Flight with Mom	2			1.8							1.8		1.8		1.8		
5/21/95	T-41B	N146AC	AFF--LHX		First leg of balloon recovery flight	1			1.3							1.3		1.3		1.3		
10/27/02	C172	N5269F	8Q0-2Q3-VCB-8Q0		"stall, steep turns, t/o, landing, slow flt"	4			1.1								1.1	1.1		1.1		
11/2/02	C172	N5269F	8Q0-APC-8Q0		"Emergencies, go around, BFR"	7			1.2								1.2	1.2		1.2		
11/3/02	C172	N5243F	8Q0-PAO-HAF-SUU-8Q0		Bay tour	3			2.7							2.7		2.7	2.7	2.7		
11/15/02	C172	N5269F	8Q0-8Q0		Landing practice	5			0.6									0.6	0.6	0.6		
11/17/02	C172	N5243F	8Q0-1O2-8Q0		Flight with Eric	2			1.9							1.9		1.9		1.9		
11/19/02	C172	N5269F	8Q0-2Q3-O41-VCB-8Q0		Flight for no reason at all!	5			1.5									1.5	1.5	1.5		
11/30/02	C172	N5243F	8Q0-WLW-8Q0		"Photos of Thunderhill, lndgs at WLW"	3			2.1							2.1		2.1	2.1	2.1		
1/9/03	C172	N738AN	LFI - LFI		Langley Aero Club Local Checkout	2			1.3								1.3	1.3		1.3		
1/19/03	C172	N734TV	LFI-SFQ-CPK-W97-LFI		"Local Orientation Flight, crosswind landings"	6			2.4									2.4	2.4	2.4		
1/20/03	C172	N738AN	LFI-PHF-LFI		"gusty wind, crosswind landings"	8			1.1									1.1	1.1	1.1		
3/10/03	C172	N738AN	LFI-ECG-9W7-LFI		"VOR Nav, currency"	4			1.4							1.4		1.4	1.4	1.4		
3/28/03	C172	N738AN	LFI - LFI		crosswind landing practice	7			1.3									1.3	1.3	1.3		
4/6/03	C172	N734TV	LFI-TGI-W41-MFV-LFI		Flight to Crisfield	4			2.1							2.1		2.1	2.1	2.1		
4/27/03	C172	N734TV	LFI-FCI-RZZ-AKQ-LFI		Lunch at Chesterfield	5			2.7							2.7		2.7	2.7	2.7		
4/29/03	C172	N738AN	LFI - JGG		Lunch with Chad	1			0.4									0.4		0.4		
4/29/03	C172	N738AN	JGG - LFI		           \/	1			0.5									0.5		0.5		
5/1/03	C172	N734TV	LFI-CPK-ORF-LFI		Langley local night checkout		4	4	1.4			1.4					1.4	1.4		1.4		
5/16/03	C172	N3216E	LFI - PVG		Lunch with Chad	1			0.4									0.4		0.4		
5/16/03	C172	N3216E	PVG - LFI		           \/	1			0.6									0.6		0.6		
5/24/03	C172	N733AG	LFI-FKN-FFA-LFI		Flaps stuck at 0 after last T/G at LFI	4			2.4							2.4		2.4	2.4	2.4		
5/30/03	C172	N734TV	LFI-PHF-LFI		Landing practice	9			1.1									1.1	1.1	1.1		
6/12/03	C172	N734TV	LFI-PHF-LFI		More landing practice	8			1.2									1.2	1.2	1.2		
6/14/03	C172	N734TV	LFI - W41		Fly-in at Crisfield with Diane	1			1.1							1.1		1.1		1.1		
6/14/03	C172	N734TV	W41 - LFI		"Return trip, sightseeing over local area"	1			1.1							1.1		1.1		1.1		
6/18/03	C172	N97757	RVS - 0F8 - RVS		Christiansen Aviation local checkout	2			1.0								1.0	1.0		1.0		
6/19/03	C172	N97757	RVS - PNC		"Flight with Mom, Owasso sightseeing,"	1			1.3							1.3		1.3		1.3		
6/19/03	C172	N97757	PNC - RVS		     lunch at Ponca City	1			0.9							0.9		0.9		0.9		
6/20/03	C172	N4820D	RVS - BVO		"Flight with Dad, Owasso sightseeing,"	1			1.0									1.0		1.0		
6/20/03	C172	N4820D	BVO - RVS		"     port of Catoosa, lunch at Bartlesville"	1			0.5									0.5		0.5		
7/15/03	PA-28R	N1425T	LFI - PHF - LFI		"Checkout in Arrow, complex, part 1"	5			1.3								1.3	1.3		1.3		
7/16/03	PA-28R	N1425T	LFI - PHF - LFI		"Checkout in Arrow, complex, part 2"	9			1.5								1.5	1.5		1.5		
7/19/03	PA-28R	N1425T	LFI - PHF - LFI		Safety pilot for Jonathan Core	0			0.4											0.4		
7/21/03	PA-28R	N7PT	LFI - SFQ - LFI		"Checkout in Arrow, complex, part 3"	9			1.8					0.3			1.8	1.8		1.8		
7/22/03	PA-28R	N1425T	LFI - PHF - LFI		"Checkout in Arrow, complex, part 4"	4			0.8								0.8	0.8		0.8		
7/25/03	PA-28R	N7PT	LFI - JGG		Lunch with Chad	1			0.6									0.6		0.6		
7/25/03	PA-28R	N7PT	JGG - LFI		\/	1			0.7									0.7		0.7		
8/13/03	PA-28R	N1425T	LFI - PHF - LFI		"Landing practice, SFOs, overheads"	7			1.2									1.2	1.2	1.2		
8/16/03	PA-28R	N7PT	LFI - LFI		Landing practice	10			1.2									1.2	1.2	1.2		
8/20/03	PA-28R	N7PT	MFV - MFV		Night landing currency		3	3	0.3			0.3						0.3	0.3	0.3		
8/20/03	PA-28R	N7PT	MFV - LFI		Safety pilot for Jonathan Core	0			0.6											0.6		
9/13/03	PA-28R	N7PT	LFI - LFI			4			0.6									0.6	0.6	0.6		
11/11/03	PA-28R	N7PT	LFI - PHF - LFI		Landing recurrency	5			0.7									0.7	0.7	0.7		
12/3/03	PA-28R	N7PT	LFI - CPK - LFI		"Flight to look at Katana, sightseeing"	3			1.2									1.2	1.2	1.2		
12/4/03	PA-28R	N1425T	LFI - JGG - LFI		"Lunch with Holt and Chad, started snowing while there"	2			0.8									0.8		0.8		
12/26/03	PA-28R	N7PT	LFI - JGG		"Flight with Lili, tour of VA Beach, Norfolk, lunch at Williamsburg"	1			1.0									1.0		1.0		
12/26/03	PA-28R	N7PT	JGG - LFI		\/	1			0.4									0.4		0.4		
1/24/04	PA-28R	N7PT	LFI - FYJ		Flight with Chad to West Point	1			0.5									0.5		0.5		
1/24/04	PA-28R	N7PT	FYJ - LFI		"Return flight, search for Holt"	2			0.7									0.7		0.7		
2/22/04	PA-28R	N7PT	LFI - FFA		Flight with Chad to Wright Brothers Memorial	1			1.0							1.0		1.0		1.0		
2/22/04	PA-28R	N7PT	FFA - LFI		\/	2			0.9							0.9		0.9		0.9		
3/17/04	PA-28R	N1425T	LFI - SFQ		Lunch with Chad	1			0.6									0.6		0.6		
3/17/04	PA-28R	N1425T	SFQ - LFI		\/	1			0.4									0.4		0.4		
3/23/04	PA-28R	N7PT	LFI - JGG		"Stalls, slow flight, climb/descent turns, steep turns, unusual attitudes"	1			1.0					0.7			1.0	1.0		1.0		
3/23/04	PA-28R	N7PT	JGG - LFI		"Ferry flight, 738AN was left at JGG"	1			0.4									0.4	0.4	0.4		
3/23/04	PA-28R	N7PT	LFI - LFI		"Stalls, slow flight, steep turns, climbs/descents"	1			0.8					0.6			0.8	0.8		0.8		
3/24/04	PA-28R	N7PT	LFI - LFI	1	"Stalls, slow flight, steep turns, partial panel, unusual attitudes, timed/compass turns"	1			1.1					0.8			1.1	1.1		1.1		
3/24/04	PA-28R	N7PT	LFI - PHF	1	"partial panel, constant rate climbs/descents"	1			1.8					1.5			1.8	1.8		1.8		
3/24/04	PA-28R	N7PT	PHF - LFI		Return flight due to runway closure at LFI	1			0.4								0.4	0.4		0.4		
3/25/04	PA-28R	N1425T	LFI - LFI		"Constant rate climbs/descent, slow flight, stalls, partial panel, VOR nav"	1			1.2					0.9			1.2	1.2		1.2		
3/26/04	PA-28R	N7PT	LFI - PVG - LFI	1	"slow flight, stalls, VOR tracking, DME arcs, NDB tracking/orientation"	2			2.0					1.7			2.0	2.0		2.0		
3/27/04	PCATD				"NDB tracking, homing, time/distance, VOR time/distance, NDB app, ILS app"	 									1.0		1.0					
3/29/04	PA-28R	N7PT	LFI - LFI		Flight canceled due to potential icing conditions	1			0.6								0.6	0.6		0.6		
3/29/04	PCATD				"NDB tracking, partial panel, ILS, NDB app"										0.7		0.7					
3/31/04	PA-28R	N7PT	LFI - PHF - LFI	2	"Actual instrument conditions, ceiling ~ 500 @ LFI, 700 @ PHF, tops 17-1800 (between layers)"	2			0.9				0.6				0.9	0.9		0.9		
4/1/04	PCATD				"VOR/NDB tracking/holds, LOC app"										1.0		1.0					
4/2/04	C172	N3216E	LFI - LFI	1	"VOR intersection holds, NDB holds"	1			1.4					1.1			1.4	1.4		1.4		
4/12/04	PCATD														1.5		1.5					
4/13/04	PCATD				NDB holding/tracking/approaches										1.2		1.2					
4/15/04	PA-28R	N7PT	LFI - LFI	3	VOR tracking/holding	2			2.0					1.7			2.0	2.0		2.0		
4/20/04	PA-28R	N7PT	LFI - PVG - LFI	2	"Unusual attitudes, partial panel, steep turns, stalls, slow flight, EPs"	2			1.8					1.5			1.8	1.8		1.8		
4/22/04	PA-28R	N7PT	LFI - SFQ - LFI	4	"holding (intersection, NDB), EPs, partial panel NDB"	2	1		2.4					2.1			2.4	2.4		2.4		
4/23/04	PA-28R	N7PT	LFI - LFI		short/soft/normal/engine-out landings	5			0.6								0.6	0.6		0.6		
4/27/04	PA-28R	N7PT	LFI - FKN - LFI	2	"partial panel, stall, st turns, Eps, holding"	3			1.7					1.3			1.7	1.7		1.7		
4/29/04	PA-28R	N7PT	LFI-FYJ-JGG-PHF-LFI		"VFR practice - holding, VOR FYJ, VOR JGG, NDB PHF"	3			1.6									1.6	1.6	1.6		
5/2/04	C172	N3216E	LFI - ORF - LFI	4	Approach practice	3			1.8					1.5			1.8	1.8		1.8		
5/6/04	PA-28R	N7PT	LFI-JGG-PHF-LFI	3	"NDB holding (int, standard/non-standard, partial panel), VOR holding (int, s/ns, pp), slow flight, stall"	3			2.5					2.2			2.5	2.5		2.5		
5/11/04	C172	N733AG	LFI - LFI	3	"VOR holding, circling, missed approach, partial panel"	0			1.9					1.6			1.9	1.9		1.9		
5/12/04	C172	N3216E	LFI-RIC-CPK-LFI	3	Training X-C	2	2	1	2.8			1.2		2.5		2.8	2.8	2.8		2.8		
5/21/04	C172	N3216E	PHF-MFV-W41-PHF	3	"Training X-C, holding procedure turn, missed approach"	2			2.4				0.2	1.9		2.4	2.4	2.4		2.4		
5/25/04	C172	N3216E	LFI-EMV-LFI	2	"Training X-C, LOC holding (partial panel), VOR Nav"	2			2.2					1.9		2.2	2.2	2.2		2.2		
6/2/04	PA-28R	N7PT	LFI-RDU-PHF-LFI	3	Training X-C	3			3.5					3.0		3.5	3.5	3.5		3.5		
6/7/04	C172	N3216E	LFI-JGG-FAF-PHF-LFI	3	"Stg 3 check, st turns, VOR nav, holding, unusual att."	3			1.9					1.4			1.9	1.9		1.9		
6/12/04	C172	N3216E	LFI-ORF-CPK-ORF-LFI	3	Instrument checkride passed	2			2.2					1.7				2.2		2.2		
6/30/04	PA-28	N75078	ROG - TUL	1	"First flight with new airplane, with Mom! (VOR int/track)"	1			1.2				0.6			1.2		1.2		1.2		
7/1/04	PA-28	N75078	TUL - MWA		Return flight from Tulsa	1			3.5				0.7			3.5		3.5	3.5	3.5		
7/1/04	PA-28	N75078	MWA - CRW		|	1			3.3				0.4			3.3		3.3	3.3	3.3		
7/1/04	PA-28	N75078	CRW - JGG		V	1			2.7				0.2			2.7		2.7	2.7	2.7		
7/3/04	PA-28	N75078	JGG - W75 - JGG		Sightseeing flight with Rachael	2			1.6									1.6		1.6		
7/5/04	PA-28	N75078	JGG - FCI - JGG		Lunch with Chad	2			1.2									1.2		1.2		
7/8/04	PA-28	N75078	JGG - JGG		short/soft takeoffs	4			0.6									0.6	0.6	0.6		
7/9/04	PA-28	N75078	JGG - PVG - JGG		PVG to check MX-170 at bay Avionics	2			0.9									0.9	0.9	0.9		
7/11/04	PA-28	N75078	JGG - TGI - JGG		Lunch with Rachael	2			1.5				0.4					1.5		1.5		
7/14/04	PA-28	N75078	JGG - PHF - JGG		"Insurance checkout - grnd ref., stalls, st. turns, ldgs"	4			1.8								1.2	1.8	0.6	1.8		
7/17/04	PA-28	N75078	JGG - FYJ - JGG			2			0.7									0.7	0.7	0.7		
8/4/04	PA-28	N75078	JGG - LFI		"Relocating airplane to Langley, static port got blocked"	1			0.4									0.4	0.4	0.4		
8/6/04	PA-28	N75078	LFI - LFI		FCF after unclogging static port	2			0.4									0.4	0.4	0.4		
8/7/04	PA-28	N75078	LFI - FFA - LFI		Kitty Hawk with Rachael and her father	2			1.7							1.7		1.7		1.7		
8/8/04	PA-28	N75078	LFI - ORF - LFI		"overhead patterns, sim. engine out"	5			1.3									1.3	1.3	1.3		
8/17/04	PA-28	N75078	LFI - PVG - LFI		PVG to check VORs and MX-170 at Bay Avionics	2			1.0									1.0	1.0	1.0		
8/22/04	PA-28	N75078	LFI-W96-PTB-FCI	2	"Practice approaches, lunch, Jonathan Core safety pilot, he flew FCI - W45"	3			1.5					0.5		1.5		1.5		1.5		
8/22/04	PA-28	N75078	W45 - LFI		"Return flight, on top of broken layer"	1			1.5				0.1			1.5		1.5		1.5		
8/24/04	PA-28	N75078	LFI - DKX		TDY to Nashville	1			4.0				0.5			4.0		4.0	4.0	4.0		
8/24/04	PA-28	N75078	DKX - M88		|	1			1.6				0.3			1.6		1.6	1.6	1.6		
8/26/04	PA-28	N75078	M88 - AVC		|	1			4.1				1.0			4.1		4.1	4.1	4.1		
8/26/04	PA-28	N75078	AVC - LFI		V	1			1.0							1.0		1.0	1.0	1.0		
9/3/04	PA-28	N75078	LFI - LFI		Post-oil change check flight	3			0.4									0.4	0.4	0.4		
9/4/04	PA-28	N75078	LFI - AIY		Atlantic City trip with Rachael	1			1.8							1.8		1.8		1.8		
9/4/04	PA-28	N75078	AIY - LFI		V	1			1.7							1.7		1.7		1.7		
9/11/04	PA-28	N75078	LFI - W75 - LFI		Landing practice at Hummel	4			1.2				0.2					1.2		1.2		
9/19/04	PA-28	N75078	LFI - FFA - LFI		Kitty Hawk with Chad and his father	2			1.9				0.1			1.9		1.9		1.9		
9/21/04	PA-28	N75078	LFI - IAD - LFI		Dulles Smithsonian with Chad and father	2			3.6							3.6		3.6		3.6		
9/24/04	PA-28	N75078	LFI - GSO - LFI		"High Point, NC for furniture shopping"	2			3.9							3.9		3.9		3.9		
9/26/04	PA-28	N75078	LFI - ORF - LFI		"Emergency procedures, manuevers"	2			1.3									1.3	1.3	1.3		
10/3/04	PA-28	N75078	LFI - LFI		VOR check	3			0.5									0.5	0.5	0.5		
10/6/04	PA-28	N75078	LFI - MTV		TDY to Nashville with Rachael	1			1.9				0.1			1.9		1.9		1.9		
10/6/04	PA-28	N75078	MTV - DKX		|	1			2.1							2.1		2.1		2.1		
10/6/04	PA-28	N75078	DKX - M88		|	1			1.7							1.7		1.7		1.7		
10/8/04	PA-28	N75078	M88 - HLX		|	1			2.9							2.9		2.9		2.9		
10/8/04	PA-28	N75078	HLX - PHF		V	1			2.2							2.2		2.2		2.2		
10/10/04	PA-28	N75078	PHF - WRI		McGuire with Rachael to see Kori and Eric	1			2.1							2.1		2.1		2.1		
10/11/04	PA-28	N75078	WRI - PHF		V	1			1.9							1.9		1.9		1.9		
10/12/04	PA-28	N75078	PHF - LFI		Return flight after runway closure	1			0.3									0.3	0.3	0.3		
10/17/04	PA-28	N75078	LFI - PHF - LFI		"Thermals to 13,500 feet, backwards 12Kt flight, crosswind landings at PHF"	3			1.1									1.1	1.1	1.1		
10/21/04	PA-28	N75078	LFI-FYJ-JGG-PHF	3	"Maintaining currency - VOR tracking, holding, approaches - safety pilot Jonathan Core"	3			1.2				0.4	0.3				1.2		1.2		
10/21/04	PA-28	N75078	PHF-FYJ-JGG-LFI		Safety pilot for Jonathan Core				0.3									0.3		0.3		
10/23/04	PA-28	N75078	LFI - W45		Luray Caverns with Rachael	1			2.0				0.2			2.0		2.0		2.0		
10/23/04	PA-28	N75078	W45 - LFI		 V needed clearance through FSS on ground	1			1.4				0.1			1.4		1.4		1.4		
10/28/04	PA-28	N75078	LFI - MFV		Safety pilot for Jonathan Core				0.2									0.2		0.2		
10/28/04	PA-28	N75078	MFV - ORF - PHF	2	"Night currency, approaches, safety pilot J. Core"		5	5	1.4			1.4		0.4				1.4		1.4		
10/28/04	PA-28	N75078	PHF - LFI		Safety pilot for Jonathan Core				0.5									0.5		0.5		
11/7/04	PA-28	N75078	LFI - LFI		Testing Anywhere Map system and glide range	1			1.0									1.0	1.0	1.0		
11/21/04	PA-28	N75078	LFI - LFI		"post-strut inflation check, emer. Proc."	8			0.6									0.6	0.6	0.6		
11/26/04	PA-28	N75078	LFI - AKQ - LFI		"pilotage, landings from right seat, VOR check"	6			1.4									1.4	1.4	1.4		
12/14/04	PA-28	N75078	LFI - FFA - LFI		Trip to Kitty Hawk with Mom and Dad	2			1.9							1.9		1.9		1.9		
12/16/04	PA-28	N75078	LFI - LFI		Norfolk light tour with Mom and Dad		1	1	0.9			0.9						0.9		0.9		
12/19/04	PA-28	N75078	LFI - PHF		Moving plane to PHF	1			0.4									0.4	0.4	0.4		
12/29/04	PA-28	N75078	PHF - PHF		Norfolk light tour with Rachael		1	1	1.0			1.0						1.0		1.0		
12/30/04	PA-28	N75078	PHF - PHF		Norfolk light tour with Chad and his Mom		1	1	1.0			1.0						1.0		1.0		
1/4/05	PA-28	N75078	PHF-MQI-RDU-PHF		Angelflight	3			4.3							4.3		4.3	2.4	4.3		
2/6/05	PA-28	N75078	PHF - FCI		"Lunch with Chad, he flew return trip"	1			0.8							0.8		0.8		0.8		
2/13/05	PA-28	N75078	PHF - FYJ - W75 - PHF		Visit Holt and practice landings	4			1.2									1.2	1.2	1.2		
2/15/05	PA-28	N75078	PHF-IGX-RDU-ORF-PHF		Angelflight	4			3.8							3.8		3.8	2.1	3.8		
2/19/05	PA-28	N75078	FYJ - PHF		"Take Chad to skydive, he flew up"	1			0.3									0.3	0.3	0.3		
2/19/05	PA-28	N75078	PHF - FYJ		"Take Sandi and Alex to see Chad skydive, he flew back"	1			0.6									0.6		0.6		
2/26/05	PA-28	N75078	CCV (VOR) - MFV	1	Approach currency  - Chad DeNaughel safety pilot				0.2					0.2				0.2		0.2		
2/28/05	PA-28	N75078	PHF - FJY - JGG - PHF	3	"Approach practice - VOR tracking/holding at HCM, ceiling ~500ft"	1			1.1				0.8					1.1	1.1	1.1		
3/24/05	PA-28	N75078	PHF - JGG - PHF		Lunch at Williamsburg	2			0.7									0.7	0.7	0.7		
3/26/05	PA-28	N75078	PHF - HBI	1	"To NC Air Museum with J. Core and son Nathaniel, broke out at minimums for HBI.  Jonathan flew .7 of trip, total time 2.5 hours (headwind)"	1			1.8				0.4			1.8		1.8		1.8		
3/26/05	PA-28	N75078	HBI - PHF		V	1			1.7				0.3			1.7		1.7		1.7		
4/1/05	PA-28	N75078	PHF-INT-W96-PHF		Angelflight	3			4.3							4.3		4.3	2.4	4.3		
4/10/05	PA-28	N75078	PHF - SFQ - PHF		Gas fill-up	2			0.9									0.9	0.9	0.9		
4/28/05	PA-28	N75078	PHF - FCI - PHF		Lunch	2			1.4							1.4		1.4	1.4	1.4		
5/7/05	PA-28	N75078	PHF - W75 - PHF		Lunch at Hummel with Rachael	2			0.9									0.9		0.9		
5/8/05	PA-28	N75078	PHF - JGG - PHF		"Lunch at JGG, was headed to FCI but very bumpy ride"	2			0.6									0.6		0.6		
5/15/05	PA-28	N75078	PHF - SFQ - PHF	1	"Gas, lunch, IAP, J. Core SP, he flew last .3 and landing"	1			0.9					0.2				0.9		0.9		
5/21/05	PA-28	N75078	PHF - SFQ - PHF		SFQ Fly-in with Rachael	2			0.9									0.9		0.9		
5/28/05	PA-28	N75078	PHF - PHF		Drying the plane after washing	3			0.3									0.3	0.3	0.3		
6/9/05	PA-28	N75078	PHF - PHF		"Post-annual flight check, break in new cylinder, orbitted PHF at 3,000"	1			0.8									0.8	0.8	0.8		
6/29/05	PA-28	N75078	PHF - SFQ - PHF		"engine break-in, refueling"	2			0.9									0.9	0.9	0.9		
7/1/05	PA-28	N75078	PHF - 76N		"With Rachael to see Chuck Latwinski in Rush, PA"	1			2.7				0.1			2.7		2.7		2.7		
7/3/05	PA-28	N75078	76N - 76N		"Sightseeing flight with Rachael and Chuck around Rush, PA"	1			0.8									0.8		0.8		
7/3/05	PA-28	N75078	76N - PHF		Return flight with Rachael	1			2.6							2.6		2.6		2.6		
7/16/05	PA-28	N75078	PHF - 2W5		Moving plane to DC	1			1.1							1.1		1.1	1.1	1.1		
7/27/05	PA-28	N75078	2W5 - W32		Relocating to Hyde Field	1			0.2									0.2	0.2	0.2		
8/7/05	PA-28	N75078	W32 - CGS - FDK - W32	1	"CGS museum, FDK lunch with Jonathan and Nathaniel, much routing around FRZ/Class B, J. Core safety pilot"	3			2.2					0.1				2.2		2.2		
8/8/05	PA-28	N75078	W32 - FDK - ORF - W32		Angelflight	3			4.5				0.2			4.5		4.5	2.3	4.5		
8/20/05	PA-28	N75078	W32 - I40 - PWK		"To Chicago with Rachael for Aunt Billie's birthday - 30-40 kt headwind, building T-storms - 3.1/4.5 hour legs"	2			7.6				0.2			7.6		7.6		7.6		
8/23/05	PA-28	N75078	PWK - I40 - W32		"Return flight - 9000 ft to stay above clouds, vectoring around DC, 3.0/2.7 hour legs"	2			5.7				0.2			5.7		5.7		5.7		
8/27/05	PA-28	N75078	W32 - FDK		To FDK for GPS installation	1			0.7									0.7	0.7	0.7		
9/14/05	PA-28	N75078	FDK - W32		Return flight	1			0.8									0.8	0.8	0.8		
9/18/05	PA-28	N75078	W32 - 3W3	5	"GPS Approach practice, J. Core safety pilot, lunch at 3W3, grass landing, J. Core flew the .5 back to W32"	1			1.8					0.6				1.8		1.8		
10/2/05	PA-28	N75078	W32 - W32		Safety pilot for Jonathan Core	1			2.2									2.2		2.2		
10/20/05	PA-28	N75078	W32-AGC-DMW-W32		Angelflight 2.1+1.4+.8 hour leg	3			4.3				0.4			4.3		4.3	2.9	4.3		
10/24/05	PA-28	N75078	W32 - PHF		Trip to see Chad	1			1.1							1.1		1.1	1.1	1.1		
10/24/05	PA-28	N75078	PHF - W32	1	"Return trip, IMC entire way back"		1	1	1.2			1.2	1.0			1.2		1.2	1.2	1.2		
11/6/05	PA-28	N75078	W32-2W5-W32		Landing practice	4			0.7									0.7	0.7	0.7		
