Date	Type	Plane	Custom	Route	Day Landings	Night Landings	Approaches	Day	Night	SEL	MEL	SES	MES	Experimental A/C	Complex	High Performance	PIC	Simulated Instrument	Actual Instrument	Cross Country	Dual Received	Solo	Total	Remarks	Passengers
8/6/2005	C172	1451V	Flight Training	INT-LCL	1			1.4		1.4							0.0			0.3	1.4		1.4	"power off/on turning stalls, Espin Moa"	
8/11/2005	C172	7746T	Flight Training	8NC8-AVC-DAN-8NC8	3			2.1		2.1							2.1			2.1		2.1	2.1	"solo long x-c, pilotage, flight following"	
8/22/2005	C172	7746T	Flight Training	8NC8-AVC-8NC8		5			2.2	2.2							0.0			2.2	2.2		2.2	"nighttime x-c, full stop landings, landing light out"	
9/2/2005	C172	7746T	Flight Training	8NC8-TDF-8NC8	5			1.4		1.4							0.0	0.4			1.4		1.4	"soft field landing, short field landing, simulated engine out, slips, corsswinds, underhood stalls, slow flight"	
9/2/2005	C172	7746T	Flight Training	8NC8-HNZ-TDF-8NC8	3			1.4		1.4							1.4					1.4	1.4	"slow flight, s turns, go around, pilotage, dead reckoning, forward slip, turns around a point"	
9/15/2005	C172	7746T	Flight Training	8NC8-TDF-8NC8	6			1.3		1.3							0.0				1.3		1.3	"power on/off stalls, steep turns, checkride prep"	
9/19/2005	C172	7746T	Flight Training	8NC8-LCL		6			0.8	0.8							0.0				0.8		0.8	night time full stops	
9/22/2005	C172	7746T	Flight Training	8NC8-LCL	6			1.2		1.2							0.0				1.2		1.2	"checkride prep-slow flight, stalls, simulated engine out"	
9/27/2005	C172	7746T	Flight Training	8NC8-AVC-8NC8	3			1.8		1.8							1.8			1.8		1.8	1.8	"short cross country, full stop, flight following"	
9/29/2005	C172	7746T	Flight Training	8NC8-LCL	3			0.8		0.8							0.8					0.8	0.8	"s turns, turns around a point"	
10/4/2005	C172	7746T	Flight Training	8NC8-TDF-8NC8	6			1.5		1.5							0.0	0.5			1.5		1.5	checkride prep	
10/6/2005	C172	7746T	Flight Training	8NC8-LCL	1			0.6		0.6							0.6					0.6	0.6	checkride PASSED!	
10/28/2005	C172	7746T	Me	8NC8-HNZ-AVC-8NC8	3			1.7		1.7							1.7			1.7		1.7	1.7	"power off stall, steep turns"	
11/4/2005	C172	7746T	Me	8NC8-HNZ-TDF-8NC8	3			1.4		1.4							1.4					1.4	1.4	"power off stalls, steep turns, forward slip"	
11/19/2005	C172	7746T	Jessie	8NC8-RDU-TDF-HNZ-8NC8	4			1.7		1.7							1.7					1.7	1.7	"controlled airspace, touch-n-go"	
12/2/2005	C172	7746T	"Joseph Wright, Daniel Dilinger"	8NC8-EHO	1			2.5		2.5							2.5			2.5		2.5	2.5	"long XC, flew through class B"	
12/3/2005	C172	7746T	"Joseph Wright, Daniel Dilinger"	EHO-CLT-8NC8	2			2.0		2.0							2.0			2.0		2.0	2.0	"long XC, touch-n-go at CLT"	
12/6/2005	C172	7746T	Me	8NC8-HNZ-8NC8	7			1.4		1.4							1.4					1.4	1.4	heavy crosswind landing	
12/12/2005	R22 B2	8355	Flight Training	LHZ-LCL				0.6									0.0				0.6		0.6	Intro flight to helicopters	
12/12/2005	PA28-161	32376	Flight Training	GSO-2A5-GSO		1	1	0.2	1.0	1.2							0.0		0.1		1.2		1.2	"VOR 2A5, visual GSO, GSO CFI"	
12/19/2005	C206G	5382X	Flight Training	HNL-LCL	5			1.0				1.0			1.0	1.0	0.0				1.0		1.0	"stalls, steep turns, touch-n-gos, slow flight, Pat Maggie"	
12/20/2005	C206G	5382X	Flight Training	HNL-LCL	3			1.0				1.0			1.0	1.0	0.0				1.0		1.0	"take off and landings, glassy water, Pat Maggie"	
12/21/2005	C206G	5382X	Flight Training	HNL-LCL	6			1.0				1.0			1.0	1.0	0.0				1.0		1.0	Pat Maggie	
12/22/2005	C206G	5382X	Flight Training	HNL-LCL	7			1.0				1.0			1.0	1.0	0.0				1.0		1.0	Pat Maggie	
12/23/2005	C206G	5382X	Flight Training	HNL-LCL	7			1.0				1.0			1.0	1.0	0.0				1.0		1.0	Pat Maggie	
12/27/2005	C206G	5382X	Flight Training	HNL-LCL	7			1.0				1.0			1.0	1.0	0.0				1.0		1.0	Pat Maggie	
12/28/2005	C206G	5382X	Flight Training	HNL-LCL	4			1.0				1.0			1.0	1.0	1.0					1.0	1.0	"Private SES Check ride PASSED, Pat Maggie"	
1/13/2006	C172	7746T	Joseph Wright	8NC8-RDU-8NC8	2			1.2		1.2							1.2					1.2	1.2	ground work at RDU	
1/16/2006	C172	7746T	Cheryl Huang	8NC8-TDF-8NC8		8			1.7	1.7							1.7					1.7	1.7	"night flying, lots of landings w/ lights"	
2/7/2006	C152	5330B	Joseph Wright	8NC8-HNZ-LHZ-RDU-8NC8	3	1		1.5	0.6	2.1							2.1					2.1	2.1	"XC to HNZ, LHZ, RDU, night taxi and flight from RDU"	
3/3/2006	C172 G1000	337TC	Flight Training	RDU-HRJ-JNX-RDU	3			1.9		1.9							0.0				1.9		1.9	"X-wind landings, G1000 taining, winds 15 gusts to 20"	
3/17/2006	C172	3526C	Flight Training	RDU-LHZ-RDU	3			1.2		1.2							0.0				1.2		1.2	"x-wind, 172 checkout at Flightgest"	
3/18/2006	C172	154EA	Parents	RDU-GSO-UKF-GSO-RDU	4			3.8		3.8							3.8			3.8		3.8	3.8	"X-C with parents, photo flight over kville"	
3/24/2006	C172 G1000	337TC	Flight Training	RDU-FAY-JNX-RDU	1		3	2.0		2.0							0.0		1.0	2.0	2.0		2.0	"IFR fling, ILS and GPS apprch, x-wind landings"	
3/25/2006	PA28-151	32376	Flight Training	GSO-SIF-GSO	2		1	1.3		1.3							0.0	0.4			1.3		1.3	"ILS GSO Rwy 5, snow seen"	
3/25/2006	PA28-151	32376	Dad	GSO-BUY-GSO	3			1.7		1.7							1.7					1.7	1.7	"flight with dad, Burlington work, rain and snow seen"	
3/31/2006	C172 G1000	337TC	Flight Training	RDU-FAY-RDU	1		2	1.7		1.7							0.0	1.3		1.7	1.7		1.7	"FAY ILS4, RDU GPS32, heavy x-wing at RDU, Jesse Collum"	
3/31/2006	C172 G1000	337TC	Kevin	RDU-AVC-LHZ-RDU	3			2.1		2.1							2.1			2.1		2.1	2.1	"XC to AVC, LHZ, around lake, real cloudy and windy"	
4/7/2006	C172 G1000	337TC	Brandon Gourdine	RDU-GSO-RDU	2			1.8		1.8							1.8			1.8		1.8	1.8	"REAL windy, low level wind shear at RDU"	
4/11/2006	C172	3526C	Me	RDU-5W5-RDU	2			1.0		1.0							1.0					1.0	1.0	Xwind landing at RDU	
4/12/2006	C172 G1000	337TC	Emily Pauly	RDU-GSO-RDU		2			1.8	1.8							1.8			1.8		1.8	1.8	"Flight with Pauly and Montal, real nice night, awesome landing at GSO"	
4/28/2006	C172 G1000	337TC	Amy Furches	RDU-LHZ-RDU	2			1.8		1.8							1.8					1.8	1.8	"Amy's birthday flight, tour guide, simple landings, side slips"	
5/12/2006	C172 G1000	6027A	Dad	RDU-GSO-BUY-GSO-RDU	6	1		3.0	0.2	3.2							3.2					3.2	3.2	"took dad up, practice circuits, touch n gos, real nice day for flying, went to Butlet field for flyby"	
5/24/2006	C172 G1000	337TC	Kevin	RDU-FFA-MQI-HSE-OCW-RWI-RDU	5	1		3.5	1.0	4.5							4.5			4.5		4.5	4.5	"awesome trip to first flight, mostly sightseeing"	
6/30/2006	C172	103FV	Kevin	RDU-8NC8-HNZ-RDU	5			1.7		1.7							1.7					1.7	1.7	"first time 8NC8 in a while, practice getting in, stalls, steep turns, steps"	
7/9/2006	C172	7416X	"Kevin, Daniel Dillinger"	43IN-EVV-LNP-RDU	3			4.9		4.9							0.0	2.5		4.9	2.5		4.9	"XC, Dilinger and kevin, first flight in new airplane, test of GPS"	
7/10/2006	C172	7416X	Me	RDU-GSO-LHZ-RDU	3			4.5		4.5							4.5			4.5		4.5	4.5	home and gas	
7/10/2006	C172	7416X	Brandon Gourdine	RDU-GSO-RDU		2	1	0.5	0.8	1.3							1.3			1.3		1.3	1.3	night flight with Glenna and Dr. G	
7/12/2006	C172	7416X	Kevin	RDU-LHZ-RDU	3		1	1.5		1.5							0.0	0.8			0.8		1.5	"gas, practice landings with Kevin Cosentino"	
7/13/2006	C172	7416X	Kevin	RDU-LCL		1			1.0	1.0							1.0					1.0	1.0	night flight with Caroline and Kevin	
7/14/2006	C172	7416X	Kevin	RDU-LCL		4			1.0	1.0							1.0					1.0	1.0	"night flight with Megan and Kevin, touch-n-goes"	
7/15/2006	C172	7416X	Kevin	RDU-GSO-ILM-RDU	3			3.5		3.5							3.5			3.5		3.5	3.5	"beach trip with Kevin, home then beach, sigmet on return trip"	
10/12/2006	C172	7416X	Kevin	JNX-OFP-JNX	1	1		3.0	1.0	4.0							4.0			4.0		4.0	4.0	up to richmond with kevin	
10/13/2006	C172	7416X	Vanessa	JNX-FFA-MQI-HSE-JNX	3	1		3.0	1.5	4.5							4.5		0.5	4.5		4.5	4.5	"Vanessa OBX trip, 100% IFR after HSE"	
11/13/2006	C172	7416X	Me	JNX-LCL	2			0.8		0.8							0.8					0.8	0.8	"maneuvers, stalls, practice landings"	
11/15/2006	C172	7416X	Jon	JNX-DPL-JNX	2		2	2.0		2.0							2.0					2.0	2.0	"quick gas trip, right seat landing"	
11/17/2006	C172	7416X	Vanessa	JNX-HNZ-JNX	2		1	1.5		1.5							1.5					1.5	1.5	"Flight with Vanessa, GPS went out-dead reckoning"	
11/27/2006	C172	7416X	Jon	JNX-OCW-JNX	1	1	1	1.0	0.5	1.5							1.5			1.5		1.5	1.5	"flight with Jon Cain and friends, quick day trip"	
11/29/2006	C172	7416X	"Vanessa, Dad"	JNX-DPL-FFA-JNX	2	1	1	4.0	0.5	4.5							4.5			4.5		4.5	4.5	"Dad and Vanessa out to FFA, horrible speed out"	
12/1/2006	C172	7416X	Kevin	JNX-RIC-VAY		2			3.0	3.0							3.0			3.0		3.0	3.0	"Flight to NJ, Runway 8-26 with winds 300 11 gusts 23"	
12/3/2006	C172	7416X	Kevin	VAY-JNX	1			3.5		3.5							3.5		0.8	3.5		3.5	3.5	"flight back, great until IFR"	
12/8/2006	C172	7416X	Jon	JNX-LHZ-RDU-JNX	3		2	1.5		1.5							1.5					1.5	1.5	"X-Wind, ILS Shoots, good day"	
12/11/2006	C172	7416X	Jon	JNX-FFA-MQI-JNX	4			5.0		5.0							5.0			5.0		5.0	5.0	"beach trip, Jon and 2 friends"	
12/12/2006	C172	7416X	Jon	JNX-JQF-JNX	1	1		1.5	1.6	3.1							3.1			3.1		3.1	3.1	"flew Jennifer to Concord, real easy"	
12/13/2006	C172	7416X	Jon	JNX-JQF-JNX		2	1		2.7	2.7							2.7		0.2	2.7		2.7	2.7	"flew Jennifer back, real easy, LIFR landing"	
12/14/2006	C172	7416X	Jon	JNX-LCL	2		2	0.3		0.3							0.3					0.3	0.3	"touch-n-goes, practice landings"	
12/14/2006	C172	7416X	Jon	JNX-LCL	3			0.6		0.6							0.6					0.6	0.6	touch-n-goes in right seat	
12/31/2006	C206G	5382X	Flight Training	HNL-LCL	4			1.0				1.0			1.0	1.0	1.0					1.0	1.0	"slow flight, stalls, 360s"	
1/1/2007	C206G	5382X	"Vanessa, Mom"	HNL-LCL	1			1.0				1.0			1.0	1.0	1.0					1.0	1.0	took Vanessa on a Oahu tour	
1/13/2007	C172	7416X	Me	EXX-RUQ-RDU	2			1.2		1.2							1.2			1.2		1.2	1.2	"pick up from mechanic, then to RDU"	
1/13/2007	C172	7416X	Allen	RDU-TDF-RDU	3			1.5		1.5							1.5					1.5	1.5	"Allen's flight, power on/off stalls, steep turns, maneuvers"	
1/13/2007	C172	7416X	Allen	RDU-JNX		1			0.5	0.5							0.5					0.5	0.5	"Allen's night flight, headset broke, beautiful night, saw NCSU bell tower lit in red"	
1/20/2007	C172	7416X	Flight Training	JNX-ISO-JNX	3			1.4		1.4							0.0	1.1		1.4	1.4		1.4	1st flight with David Joyner	
1/27/2007	C172	7416X	Vanessa	MRH-JNX	1			1.5		1.5							1.5			1.5		1.5	1.5	ferry flight back to JNX	
1/27/2007	C172	7416X	Flight Training	JNX-LCL		2			1.2	1.2							0.0	1.0			1.2		1.2	David Joyner night flight	
2/3/2007	C172	7416X	Rays	JNX-LCL	14			2.3		2.3							2.3					2.3	2.3	flew the Ray family around	
2/4/2007	C172	7416X	Jon	JNX-LCL		1	1		1.9	1.9							0.0	1.5			1.9		1.9	"holding patterns, Jon Cain"	
2/11/2007	C172	7416X	Jon	JNX-LCL		1	1		1.5	1.5							0.0	1.2			1.5		1.5	"holding, unusual attitude, Jon Cain"	
2/18/2007	C172	7416X	Jon	JNX-LCL		1	1		1.4	1.4							0.0	1.1			1.4		1.4	"holding, tracking, unusual attitudes, Jon Cain"	
3/2/2007	C172	7416X	Kevin	JNX-SAV-VDF	1	1	2	2.0	3.8	5.8							5.8		2.0	5.8		5.8	5.8	instrument flying with Jon Cain	
3/4/2007	C172	7416X	Kevin	VDF-CHN-EYW	2			2.5		2.5							2.5			2.5		2.5	2.5	down to Key West	
3/7/2007	C172	7416X	Kevin	EYW-LCL	2			1.0		1.0							1.0					1.0	1.0	took the friends up for a tour	
3/10/2007	C172	7416X	Kevin	EYW-MTH-PGD-VDF	3		2	3.0		3.0							3.0			3.0		3.0	3.0	back up to Tampa	
3/11/2007	C172	7416X	Kevin	VDF-OCF-SAV-MYR-JNX	4		2	6.5		6.5							6.5			6.5		6.5	6.5	back home	
3/21/2007	C172	7416X	Joseph Wright	JNX-LCL	2			0.8		0.8							0.8					0.8	0.8	took Joe up	
3/22/2007	C172 G1000	337TC	Vanessa	RDU-JNX-RDU	2			1.0		1.0							1.0					1.0	1.0	curreny in G1000	
3/30/2007	C172	7416X	Me	JNX-GSO	1			1.0		1.0							1.0			1.0		1.0	1.0	"flight home, routine"	
3/31/2007	C172	7416X	Dad	GSO-BUY-GSO	4			1.5		1.5							1.5					1.5	1.5	"flight with dad, BUY and back"	
3/31/2007	C172	7416X	Me	GSO-JNX	1			1.0		1.0							1.0			1.0		1.0	1.0	flight back	
4/1/2007	C172	7416X	Flight Training	JNX-HRJ-JNX	2		3	1.5		1.5							0.0	1.4			1.5		1.5	"3 VOR rwy 5 @ HRJ, Holding, Loc rwy 3 circle 21 @ JNX, David Joyner"	
4/14/2007	C172	7416X	Flight Training	JNX-GWW-JNX	1		3	1.5		1.5							0.0	1.4			1.5		1.5	"VOR A @ GWW, 2x ILS 3 JNX, David Joyner"	
5/1/2007	C172	7416X	Flight Training	JNX-ISO-GWW-JNX	3		3	2.0		2.0							0.0	1.5			2.0		2.0	"2xISO, GWW, JNX"	
5/21/2007	C172	7416X	Me	JNX-GSO-EXX-JNX	3		2	3.2		3.2							3.2			3.2		3.2	3.2	"flight home, davidson, real nice flying"	
5/21/2007	C172	7416X	Flight Training	JNX-LCL	4			0.7		0.7							0.0				0.7		0.7	Ken Norris familiarization flight	
5/22/2007	C172	7416X	Flight Training	JNX-LCL	2		1	0.8		0.8							0.0	0.5			0.8		0.8	Ken Norris	
5/23/2007	C172	7416X	Flight Training	JNX-78NC-JNX	6			1.9		1.9							0.0				1.9		1.9	Ken Norris	
6/2/2007	C172	7416X	Flight Training	JNX-8NC8-TDF-JNX	4		1	2.5		2.5							0.0	0.5		0.7	2.5		2.5	Ken Norris	
6/20/2007	C172	7416X	Me	JNX-LCL	1			1.0		1.0							0.0				1.0		1.0	John Ward	
6/23/2007	C172	7416X	Me	JNX-LCL	1			1.6		1.6							1.6					1.6	1.6	went to Kerr Lake	
7/1/2007	C172	7416X	Flight Training	JNX-GSO	1		1	1.0		1.0							1.0			1.0		1.0	1.0	"flight home, bumpy"	
7/1/2007	C172	7416X	Dad	GSO-BUY-GSO	6			1.0		1.0							1.0					1.0	1.0	"took dad up, real nice day"	
7/2/2007	C172	7416X	Flight Training	GSO-JNX	1		1	1.0		1.0							1.0			1.0		1.0	1.0		
7/2/2007	C172	7416X	Me	JNX-RDU	1			0.5		0.5							0.5					0.5	0.5		
7/2/2007	C172	7416X	Flight Training	RDU-LHZ-RDU	2		1	1.2		1.2							0.0	1.0			1.2		1.2	"ILS 5R RDU, John Ward"	
7/3/2007	C172	7416X	Me	RDU-JNX	1			0.5		0.5							0.5					0.5	0.5		
7/7/2007	C172	7416X	Flight Training	JNX-GSO-JNX	2		3	3.0		3.0							0.0	2.8			3.0		3.0	"IFR Cross country, ILS 5 GSO, ILS 3 JNX, John Ward"	
7/8/2007	C172	7416X	Flight Training	JNX-DAN-RUQ-JNX	3		3	3.5		3.5							0.0	3.0	0.5	3.5	3.5		3.5	"IFR Long Cross Country, VOR 20 DAN, ILS 20 RUQ, NDB 21 JNX"	
8/8/2007	C172	54102	Flight Training	JNX-LCL	1		3	0.9		0.9							0.0	0.7			0.9		0.9	GPS Familiarization	
8/11/2007	C172	54102	Flight Training	JNX-RDU-JNX	2		3	2.0		2.0							0.0	0.6	1.0		2.0		2.0	"ILS 5R RDU, NDB 21 JNX, NDB 3 JNX, John Ward"	
8/12/2007	C172	54102	Flight Training	JNX-GWW-JNX	2		4	2.4		2.4							0.0	2.2			2.4		2.4	"VOR RWI, RNAV GWW, RNAV GWW, NDB 3 JNX, John Ward"	
8/15/2007	C172	7416X	Flight Training	JNX-LCL	3			1.0		1.0							1.0					1.0	1.0	"nice evening flight, new windshield"	
8/16/2007	C172	54102	Flight Training	JNX-LCL	1		2	1.0		1.0							0.0	0.8			1.0		1.0	"NDB 21 JNX, ILS 3 JNX, ADF course tracking and hold"	
8/17/2007	C172	7416X	Vanessa	JNX-GWW-JNX	2			0.5		0.5							0.5					0.5	0.5	quick flight with Vanessa	
8/18/2007	C172	7416X	Kevin	JNX-ILM-ACZ-JNX	3			1.6		1.6							0.0	1.0		1.6	1.6		1.6	"beach trip, simulated instrument with Kevin Cosentino"	
8/22/2007	C172	54102	Flight Training	JNX-LCL	1		3	1.6		1.6							0.0	1.4			1.6		1.6	"RWI GPS 22, GPS 4, ILS 3 JNX, John Ward"	
8/23/2007	C172	54102	Flight Training	JNX-LCL	1		3	0.9		0.9							0.0	0.7			0.9		0.9	"2x ILS 3 JNX, 1 LOC 3 JNX, holding pattern, partial panel, John Ward"	
8/25/2007	C172	54102	Flight Training	JNX-ASJ-PGV-ASJ	2		3	1.5		1.5							1.5	1.2		1.5		1.5	1.5	"Instrument Checkride Passed, ILS & LOC 20 PGV, GPS 1 ASJ"	
8/25/2007	C172	54102	Flight Training	ASJ-JNX	1		1	1.7		1.7							0.0	1.0		1.7	0.7		1.7	flight back-WOO HOO!	
8/29/2007	C172	7416X	Me	JNX-RDU-JNX		2			1.0	1.0							1.0					1.0	1.0	first IFR flight plan trip	
8/31/2007	C172	7416X	Parents	JNX-GSO-GGE	2			3.0		3.0							3.0		0.5	3.0		3.0	3.0	"great beach trip, took parents to Georgetown, SC, MVFR-IFR great landing"	
9/2/2007	C172	7416X	Parents	GGE-UDG-GSO-JNX	3			2.8		2.8							2.8			2.8		2.8	2.8	return trip	
9/5/2007	C172	7416X	Vanessa	JNX-RDU		1			0.5	0.5							0.5					0.5	0.5	moving plane	
9/6/2007	C172	7416X	Jon	RDU-ILM-JNX-RDU-JNX	4			3.2		3.2							3.2			3.2		3.2	3.2	Wilmington trip	
9/8/2007	C350	1268R	Ernie	GSO-RDU	1		1	0.7		0.7						0.7	0.7					0.7	0.7	"flew Columbia 350 back, G1000"	
9/8/2007	C350	6505Z	Ernie	RDU-GSO	1			0.6		0.6						0.6	0.6					0.6	0.6	flew Columbia 350 up to GSO	
10/7/2007	C172	7416X	Me	JNX-RDU-JNX	2			0.8	0.2	1.0							1.0					1.0	1.0	flew to RDU for dinner	
10/10/2007	C172	7416X	Vanessa	JNX-GSO	1			0.8	0.2	1.0							1.0					1.0	1.0	getting ready for BTR trip	
10/11/2007	C172	7416X	"Vanessa, Dad"	GSO-VPC-PIB-BTR	3			6.5		6.5							6.5			6.5		6.5	6.5	flying down to BTR-long day	
10/13/2007	C172	7416X	"Vanessa, Dad"	BTR-PIB-SEM-CTJ	3			4.0		4.0							4.0			4.0		4.0	4.0	"flying back, grounded at CTj"	
11/3/2007	C172	7416X	Dad	CTJ-PLR-CTJ	2			1.0		1.0							1.0					1.0	1.0	"$100 hamburger, real nice"	
11/3/2007	C172	7416X	Dad	CTJ-FTY-SOP-JNX	3			2.0	1.5	3.5							3.5			3.5		3.5	3.5	"flying back from CTJ, beautiful night flying"	
11/11/2007	C172	7416X	Me	JNX-2GC-JNX	2			1.0		1.0							1.0					1.0	1.0	flying to meet interior guy	
11/20/2007	C350	1137A	Ernie	RYY-RDU	1			2.3		2.3							2.3			2.3		2.3	2.3	pick up from RYY	
11/20/2007	C400	1243X	Ernie	RDU-RYY	1			2.3		2.3							2.3		0.1	2.3		2.3	2.3	"drop off, LIFR takeoff at RDU"	
12/1/2007	M20J	5726M	Flight Training	TTA-LCL	1			1.2		1.2					1.2		0.0				1.2		1.2	"familiarization with Club Mooney, steep turns, power stalls, Ronney Moss"	
12/1/2007	C172	7416X	Me	JNX-2GC	1			0.5		0.5							0.5					0.5	0.5	left plane for interior	
12/8/2007	M20J	5726M	Flight Training	TTA-LCL	1			1.3		1.3					1.3		0.0				1.3		1.3	Ronney Moss	
12/12/2007	M20J	5760R	Flight Training	TTA-LCL	6			1.2		1.2					1.2		0.0				1.2		1.2	Ronney Moss	
12/13/2007	M20J	5760R	Flight Training	TTA-LCL	4			1.3		1.3					1.3		0.0				1.3		1.3	Ronney Moss	
12/19/2007	M20J	5760R	Flight Training	TTA-JNX-TTA	2			1.7		1.7					1.7		0.0				1.7		1.7	Ronney Moss	
12/20/2007	M20J	5726M	Flight Training	TTA-GSO	1			0.7		0.7					0.7		0.0			0.7	0.7		0.7	Ronney Moss	
12/20/2007	M20J	5726M	Flight Training	GSO-TTA	1			0.7		0.7					0.7		0.0			0.7	0.7		0.7	Ronney Moss	
1/10/2008	M20J	5726M	Flight Training	TTA-LCL	6			1.0		1.0					1.0		0.0				1.0		1.0	Ronney Moss	
1/19/2008	C182	759XV	Me	AIK-LCL	1			0.5		0.5						0.5	0.5					0.5	0.5	"went up with Emerson, great landing"	
1/20/2008	C182	759XV	Me	AIK-LCL	1			1.2		1.2						1.2	1.2					1.2	1.2	"went up with Buck, AGS test flight, real nice landing"	
1/21/2008	M20J	5726M	Flight Training	TTA-LCL	8			1.3		1.3					1.3		0.0				1.3		1.3	club mooney checkout complete	
1/25/2008	C172	7416X	Me	2GC-JNX	1			0.5		0.5							0.5					0.5	0.5	"picked up plane from interior shop, GREAT JOB!"	
1/26/2008	C182	759XV	Vanessa	AIK-LCL	1			0.2		0.2						0.2	0.2					0.2	0.2	"took Vanessa up, AGS closed"	
