Date	"Aircraft Make & Model"	"aircraft ident"	Route	Duration	Dual	"LANDINGS DAY"
2/14/2005	C172	N575ND	KLAX-KSFO	1.5	1.5	1
2/14/2005	C172	N575ND	KSFO-KORD	1.5	1.5	1
2/16/2005	C172	N575ND	KORD-PHNL	1.5	1.5	1
2/17/2005	C172	N575ND	PHNL-KSFO	1.5	1.5	1
2/17/2005	C172	N575ND	KSFO-VHHH	1.5	1.5	1
2/17/2005	C172	N575ND	VHHH-WSSS	1.5	1.5	1
2/18/2005	C172	N575ND	WSSS-VHHH	1.5	1.5	1
2/18/2005	C172	N575ND	VHHH-KORD	1.5	1.5	1
2/19/2005	C172	N575ND	KORD-RJAA	1.5	1.5	1
2/20/2005	C172	N575ND	RJAA-VTBD	1.5	1.5	1
2/20/2005	C172	N575ND	VTBD-RJAA	1.5	1.5	1
2/20/2005	C172	N575ND	RJAA-KSFO	1.5	1.5	1
2/21/2005	C172	N575ND	KSFO-LFPG	1.5	1.5	1
2/21/2005	C172	N575ND	LFPG-KSFO	1.5	1.5	1
2/23/2005	C172	N575ND	KSFO-ZSPD	1.5	1.5	1
2/23/2005	C172	N575ND	ZSPD-KSFO	1.5	1.5	1
2/24/2005	C172	N575ND	KSFO-ZBAA	1.5	1.5	1
2/24/2005	C172	N575ND	ZBAA-KSFO	1.5	1.5	1
2/25/2005	C172	N575ND	KSFO-KORD	1.5	1.5	1
2/26/2005	C172	N575ND	KORD-KLAX	1.5	1.5	1
2/26/2005	C172	N575ND	KLAX-YSSY	1.5	1.5	1
2/26/2005	C172	N575ND	YSSY-YMML	1.5	1.5	1
2/26/2005	C172	N575ND	YMML-YSSY	1.5	1.5	1
2/27/2005	C172	N575ND	YSSY-KSFO	1.5	1.5	1
3/1/2005	C172	N575ND	KSFO-PHOG	1.5	1.5	1
3/2/2005	C172	N575ND	PHOG-KLAX	1.5	1.5	1
3/2/2005	C172	N575ND	KLAX-KIAD	1.5	1.5	1
3/30/2005	C172	N575ND	KIAD-KLAX	1.5	1.5	1
3/30/2005	C172	N575ND	KLAX-KDEN	1.5	1.5	1
3/30/2005	C172	N575ND	KDEN-PHNL	1.5	1.5	1
3/30/2005	C172	N575ND	PHNL-KSFO	1.5	1.5	1
3/30/2005	C172	N575ND	KSFO-PHNL	1.5	1.5	1
3/30/2005	C172	N575ND	PHNL-KDEN	1.5	1.5	1
3/30/2005	C172	N575ND	KDEN-KIAD	1.5	1.5	1
3/30/2005	C172	N575ND	KIAD-EGLL	1.5	1.5	1
3/30/2005	C172	N575ND	EGLL-KIAD	1.5	1.5	1
3/30/2005	C172	N575ND	KIAD-KBOS	1.5	1.5	1
3/30/2005	C172	N575ND	KBOS-KORD	1.5	1.5	1
3/30/2005	C172	N575ND	KORD-KLAX	1.5	1.5	1
3/30/2005	C172	N575ND	KLAX-KJFK	1.5	1.5	1
3/30/2005	C172	N575ND	KJFK-KIAD	1.5	1.5	1
3/30/2005	C172	N575ND	KIAD-KORD	1.5	1.5	1
3/30/2005	C172	N575ND	KORD-LFPG	1.5	1.5	1
3/30/2005	C172	N575ND	LFPG-KORD	1.5	1.5	1
3/30/2005	C172	N575ND	KORD-KDEN	1.5	1.5	1
3/30/2005	C172	N575ND	KDEN-KSFO	1.5	1.5	1
3/30/2005	C172	N575ND	KSFO-PHNL	1.5	1.5	1
3/30/2005	C172	N575ND	PHNL-KSFO	1.5	1.5	1
3/30/2005	C172	N575ND	KSFO-VHHH	1.5	1.5	1
3/31/2005	C172	N575ND	VHHH-KORD	1.5	1.5	1
3/31/2005	C172	N575ND	KORD-KDEN	1.5	1.5	1
3/31/2005	C172	N575ND	KDEN-KMIA	1.5	1.5	1
4/1/2005	C172	N575ND	KMIA-KIAD	1.5	1.5	1
4/1/2005	C172	N575ND	KIAD-KLAX	1.5	1.5	1
4/3/2005	C172	N575ND	KLAX-KLAS	1.5	1.5	1
4/3/2005	C172	N575ND	KLAS-KSFO	1.5	1.5	1
4/3/2005	C172	N575ND	KSFO-KSAN	1.5	1.5	1
4/3/2005	C172	N575ND	KSAN-KSFO	1.5	1.5	1
4/3/2005	C172	N575ND	KSFO-KSBA	1.5	1.5	1
4/3/2005	C172	N575ND	KSBA-KLAX	1.5	1.5	1
4/3/2005	C172	N575ND	KLAX-PHNL	1.5	1.5	1
4/3/2005	C172	N575ND	PHNL-KSFO	1.5	1.5	1
4/13/2005	C172	N575ND	KSFO-KSAN	1.5	1.5	1
4/13/2005	C172	N575ND	KSAN-KSFO	1.5	1.5	1
4/13/2005	C172	N575ND	KSFO-PHNL	1.5	1.5	1
4/13/2005	C172	N575ND	PHNL-KORD	1.5	1.5	1
4/13/2005	C172	N575ND	KORD-ZSSS	1.5	1.5	1
4/13/2005	C172	N575ND	ZSSS-KORD	1.5	1.5	1
4/13/2005	C172	N575ND	KORD-KATL	1.5	1.5	1
4/16/2005	C172	N575ND	KATL-KORD	1.5	1.5	1
4/16/2005	C172	N575ND	KORD-KDTW	1.5	1.5	1
4/16/2005	C172	N575ND	KDTW-KORD	1.5	1.5	1
4/17/2005	C172	N575ND	KORD-RJAA	1.5	1.5	1
4/17/2005	C172	N575ND	RJAA-RCTP	1.5	1.5	1
4/17/2005	C172	N575ND	RCTP-RJAA	1.5	1.5	1
4/20/2005	C172	N575ND	RJAA-VHHH	1.5	1.5	1
4/20/2005	C172	N575ND	VHHH-WSSS	1.5	1.5	1
4/20/2005	C172	N575ND	WSSS-RJAA	1.5	1.5	1
4/22/2005	C172	N575ND	RJAA-KSFO	1.5	1.5	1
4/24/2005	C172	N575ND	KSFO-KLAX	1.5	1.5	1
4/24/2005	C172	N575ND	KLAX-KMRY	1.5	1.5	1
4/24/2005	C172	N575ND	KMRY-KSFO	1.5	1.5	1
4/24/2005	C172	N575ND	KSFO-PHNL	1.5	1.5	1
4/26/2005	C172	N575ND	PHNL-KLAX	1.5	1.5	1
4/27/2005	C172	N575ND	KLAX-KORD	1.5	1.5	1
5/1/2005	C172	N575ND	KORD-KLAX	1.5	1.5	1
5/2/2005	C172	N575ND	KLAX-KIAD	1.5	1.5	1
5/5/2005	C172	N575ND	KIAD-EDDM	1.5	1.5	1
5/5/2005	C172	N575ND	EDDM-KIAD	1.5	1.5	1
5/6/2005	C172	N575ND	KIAD-KLAX	1.5	1.5	1
5/6/2005	C172	N575ND	KLAX-KSFO	1.5	1.5	1
5/8/2005	C172	N575ND	KSFO-KDEN	1.5	1.5	1
5/8/2005	C172	N575ND	KDEN-KDFW	1.5	1.5	1
5/8/2005	C172	N575ND	KDFW-KDEN	1.5	1.5	1
5/8/2005	C172	N575ND	KDEN-KSTL	1.5	1.5	1
5/8/2005	C172	N575ND	KSTL-KIAD	1.5	1.5	1
5/9/2005	C172	N575ND	KIAD-EHAM	1.5	1.5	1
5/11/2005	C172	N575ND	EHAM-KIAD	1.5	1.5	1
5/12/2005	C172	N575ND	KIAD-KSFO	1.5	1.5	1
5/14/2005	C172	N575ND	KSFO-KSEA	1.5	1.5	1
5/14/2005	C172	N575ND	KSEA-KSFO	1.5	1.5	1
5/14/2005	C172	N575ND	KSFO-KORD	1.5	1.5	1
5/15/2005	C172	N575ND	KORD-CYYZ	1.5	1.5	1
5/15/2005	C172	N575ND	CYYZ-KORD	1.5	1.5	1
5/15/2005	C172	N575ND	KORD-KEWR	1.5	1.5	1
5/15/2005	C172	N575ND	KEWR-KORD	1.5	1.5	1
5/16/2005	C172	N575ND	KORD-KSNA	1.5	1.5	1
5/16/2005	C172	N575ND	KSNA-KLAX	1.5	1.5	1
5/22/2005	C172	N575ND	KLAX-YSSY	1.5	1.5	1
5/22/2005	C172	N575ND	YSSY-KLAX	1.5	1.5	1
5/26/2005	C172	N575ND	KLAX-KDEN	1.5	1.5	1
5/27/2005	C172	N575ND	KDEN-PHNL	1.5	1.5	1
5/29/2005	C172	N575ND	PHNL-KLAX	1.5	1.5	1
5/29/2005	C172	N575ND	KLAX-KIAD	1.5	1.5	1
5/29/2005	C172	N575ND	VHHH-KORD	1.5	1.5	1
6/2/2005	C172	N575ND	KIAD-EGLL	1.5	1.5	1
6/4/2005	C172	N575ND	EGLL-KSFO	1.5	1.5	1
6/9/2005	C172	N575ND	KSFO-EGLL	1.5	1.5	1
6/10/2005	C172	N575ND	EGLL-KIAD	1.5	1.5	1
6/10/2005	C172	N575ND	KIAD-KDEN	1.5	1.5	1
6/10/2005	C172	N575ND	KDEN-KCYS	1.5	1.5	1
6/10/2005	C172	N575ND	KCYS-KDEN	1.5	1.5	1
6/10/2005	C172	N575ND	KDEN-KLAX	1.5	1.5	1
6/17/2005	C172	N575ND	KLAX-KMSY	1.5	1.5	1
6/17/2005	C172	N575ND	KMSY-KSFO	1.5	1.5	1
6/19/2005	C172	N575ND	KSFO-RJNN	1.5	1.5	1
6/20/2005	C172	N575ND	RJNN-KSFO	1.5	1.5	1
6/28/2005	C172	N575ND	KSFO-EGLL	1.5	1.5	1
6/28/2005	C172	N575ND	EGLL-KORD	1.5	1.5	1
7/6/2005	C172	N575ND	KORD-KPHX	1.5	1.5	1
7/6/2005	C172	N575ND	KPHX-KLAX	1.5	1.5	1
7/6/2005	C172	N575ND	KLAX-KDEN	1.5	1.5	1
7/6/2005	C172	N575ND	KDEN-KHDN	1.5	1.5	1
7/6/2005	C172	N575ND	KHDN-KDEN	1.5	1.5	1
7/6/2005	C172	N575ND	KDEN-KCOS	1.5	1.5	1
7/6/2005	C172	N575ND	KCOS-KDEN	1.5	1.5	1
7/6/2005	C172	N575ND	KDEN-KEGE	1.5	1.5	1
7/6/2005	C172	N575ND	KEGE-KDEN	1.5	1.5	1
7/6/2005	C172	N575ND	KDEN-KSFO	1.5	1.5	1
7/11/2005	C172	N575ND	KSFO-KATL	1.5	1.5	1
7/11/2005	C172	N575ND	KATL-KORD	1.5	1.5	1
7/11/2005	C172	N575ND	KORD-EHAM	1.5	1.5	1
7/17/2005	C172	N575ND	EHAM-KORD	1.5	1.5	1
7/17/2005	C172	N575ND	KORD-KIAD	1.5	1.5	1
7/30/2005	C172	N575ND	KIAD-KSFO	1.5	1.5	1
8/19/2005	C172	N575ND	KSFO-VHHH	1.5	1.5	1
8/21/2005	C172	N575ND	VHHH-KORD	1.5	1.5	1
8/21/2005	C172	N575ND	KORD-RJAA	1.5	1.5	1
8/22/2005	C172	N575ND	RJAA-WSSS	1.5	1.5	1
8/22/2005	C172	N575ND	WSSS-VHHH	1.5	1.5	1
8/26/2005	C172	N575ND	VHHH-KSFO	1.5	1.5	1
8/26/2005	C172	N575ND	KSFO-KBUR	1.5	1.5	1
8/26/2005	C172	N575ND	KBUR-KSFO	1.5	1.5	1
8/28/2005	C172	N575ND	KSFO-EDDF	1.5	1.5	1
8/29/2005	C172	N575ND	EDDF-KSFO	1.5	1.5	1
8/31/2005	C172	N575ND	KSFO-KSEA	1.5	1.5	1
8/31/2005	C172	N575ND	KSEA-KSFO	1.5	1.5	1
9/1/2005	C172	N575ND	KSFO-KDEN	1.5	1.5	1
9/3/2005	C172	N575ND	KDEN-KSFO	1.5	1.5	1
9/3/2005	C172	N575ND	KSFO-KLAX	1.5	1.5	1
9/8/2005	C172	N575ND	KLAX-KIAD	1.5	1.5	1
9/9/2005	C172	N575ND	KIAD-KMDW	1.5	1.5	1
9/10/2005	C172	N575ND	KORD-KSFO	1.5	1.5	1
9/11/2005	C172	N575ND	KSFO-PHOG	1.5	1.5	1
9/11/2005	C172	N575ND	PHOG-KSFO	1.5	1.5	1
9/16/2005	C172	N575ND	KSFO-KDEN	1.5	1.5	1
9/16/2005	C172	N575ND	KDEN-KDFW	1.5	1.5	1
9/16/2005	C172	N575ND	KDFW-KORD	1.5	1.5	1
9/19/2005	C172	N575ND	KORD-EDDM	1.5	1.5	1
9/21/2005	C172	N575ND	EDDM-KIAD	1.5	1.5	1
9/23/2005	C172	N575ND	KIAD-EGLL	1.5	1.5	1
9/26/2005	C172	N575ND	EGLL-KSFO	1.5	1.5	1
9/29/2005	C172	N575ND	KSFO-ZSPD	1.5	1.5	1
9/30/2005	C172	N575ND	ZSPD-KSFO	1.5	1.5	1
10/2/2005	C172	N575ND	KSFO-KDEN	1.5	1.5	1
10/6/2005	C172	N575ND	KDEN-KBOS	1.5	1.5	1
10/6/2005	C172	N575ND	KBOS-KIAD	1.5	1.5	1
10/7/2005	C172	N575ND	KIAD-KSFO	1.5	1.5	1
10/8/2005	C172	N575ND	KSFO-YSSY	1.5	1.5	1
10/8/2005	C172	N575ND	YSSY-YMML	1.5	1.5	1
10/8/2005	C172	N575ND	YMML-YSSY	1.5	1.5	1
10/10/2005	C172	N575ND	YSSY-KLAX	1.5	1.5	1
10/14/2005	C172	N575ND	KLAX-KJFK	1.5	1.5	1
10/14/2005	C172	N575ND	KJFK-KIAD	1.5	1.5	1
10/14/2005	C172	N575ND	KIAD-KPVD	1.5	1.5	1
10/14/2005	C172	N575ND	KPVD-KORD	1.5	1.5	1
10/17/2005	C172	N575ND	KORD-KSNA	1.5	1.5	1
10/17/2005	C172	N575ND	KSNA-KSFO	1.5	1.5	1
10/17/2005	C172	N575ND	KSFO-VHHH	1.5	1.5	1
10/19/2005	C172	N575ND	VHHH-WSSS	1.5	1.5	1
10/21/2005	C172	N575ND	WSSS-RJAA	1.5	1.5	1
10/22/2005	C172	N575ND	RJAA-KORD	1.5	1.5	1
10/28/2005	C172	N575ND	KORD-EHAM	1.5	1.5	1
10/29/2005	C172	N575ND	EHAM-KIAD	1.5	1.5	1
11/1/2005	C172	N575ND	KIAD-KTPA	1.5	1.5	1
11/1/2005	C172	N575ND	KTPA-KMIA	1.5	1.5	1
11/1/2005	C172	N575ND	KMIA-MYAM	1.5	1.5	1
11/1/2005	C172	N575ND	MYAM-KMIA	1.5	1.5	1
11/3/2005	C172	N575ND	KMIA-EDDF	1.5	1.5	1
11/7/2005	C172	N575ND	EDDF-OMDB	1.5	1.5	1
11/7/2005	C172	N575ND	OMDB-EDDF	1.5	1.5	1
11/18/2005	C172	N575ND	EDDF-LFMN	1.5	1.5	1
11/18/2005	C172	N575ND	LFMN-EGLL	1.5	1.5	1
11/19/2005	C172	N575ND	EGLL-KSFO	1.5	1.5	1
11/24/2005	C172	N575ND	KSFO-KSAN	1.5	1.5	1
11/26/2005	C172	N575ND	KSAN-KSFO	1.5	1.5	1
11/28/2005	C172	N575ND	KSFO-PHNL	1.5	1.5	1
11/28/2005	C172	N575ND	PHNL-YSSY	1.5	1.5	1
11/28/2005	C172	N575ND	YSSY-PHNL	1.5	1.5	1
11/28/2005	C172	N575ND	PHNL-CYVR	1.5	1.5	1
11/28/2005	C172	N575ND	CYVR-KSFO	1.5	1.5	1
11/29/2005	C172	N575ND	KSFO-RJBB	1.5	1.5	1
11/29/2005	C172	N575ND	RJBB-RKSI	1.5	1.5	1
11/30/2005	C172	N575ND	RKSI-KLAX	1.5	1.5	1
11/30/2005	C172	N575ND	KLAX-NZAA	1.5	1.5	1
12/3/2005	C172	N575ND	NZAA-NZQN	1.5	1.5	1
12/4/2005	C172	N575ND	NZQN-NZAA	1.5	1.5	1
12/5/2005	C172	N575ND	NZAA-KSFO	1.5	1.5	1
12/12/2005	C172	N575ND	KSFO-KORD	1.5	1.5	1
12/15/2005	C172	N575ND	KORD-EGLL	1.5	1.5	1
12/17/2005	C172	N575ND	EGLL-VTBD	1.5	1.5	1
12/18/2005	C172	N575ND	VTBD-RJAA	1.5	1.5	1
12/19/2005	C172	N575ND	RJAA-RCTP	1.5	1.5	1
12/19/2005	C172	N575ND	RCTP-RJNN	1.5	1.5	1
12/19/2005	C172	N575ND	RJNN-RJAA	1.5	1.5	1
12/20/2005	C172	N575ND	RJAA-KSEA	1.5	1.5	1
12/20/2005	C172	N575ND	KSEA-KSFO	1.5	1.5	1
12/22/2005	C172	N575ND	KSFO-KBUR	1.5	1.5	1
12/22/2005	C172	N575ND	KBUR-KSFO	1.5	1.5	1
12/25/2005	C172	N575ND	KSFO-KSAN	1.5	1.5	1
12/25/2005	C172	N575ND	KSAN-KDEN	1.5	1.5	1
12/26/2005	C172	N575ND	KDEN-KDTW	1.5	1.5	1
12/29/2005	C172	N575ND	KDTW-KCLT	1.5	1.5	1
12/29/2005	C172	N575ND	KCLT-KPVD	1.5	1.5	1
12/30/2005	C172	N575ND	KPVD-KORD	1.5	1.5	1
12/31/2005	C172	N575ND	KORD-KEWR	1.5	1.5	1
1/1/2006	C172	N575ND	KEWR-EDDM	1.5	1.5	1
1/7/2006	C172	N575ND	EDDM-EFHK	1.5	1.5	1
1/7/2006	C172	N575ND	EFHK-EDDF	1.5	1.5	1
1/9/2006	C172	N575ND	EDDF-FAJS	1.5	1.5	1
1/9/2006	C172	N575ND	EDDF-LPPT	1.5	1.5	1
1/13/2006	C172	N575ND	LPPT-EDDF	1.5	1.5	1
1/16/2006	C172	N575ND	EDDF-KJFK	1.5	1.5	1
1/18/2006	C172	N575ND	KJFK-KIAD	1.5	1.5	1
1/20/2006	C172	N575ND	KIAD-KBOS	1.5	1.5	1
1/23/2006	C172	N575ND	KBOS-KSFO	1.5	1.5	1
1/27/2006	C172	N575ND	KSFO-KDEN	1.5	1.5	1
1/28/2006	C172	N575ND	KDEN-KSEA	1.5	1.5	1
1/28/2006	C172	N575ND	KSEA-KLAX	1.5	1.5	1
1/30/2006	C172	N575ND	KLAX-PHNL	1.5	1.5	1
2/4/2006	C172	N575ND	PHNL-RJAA	1.5	1.5	1
2/4/2006	C172	N575ND	KORD-KDTW	1.5	1.5	1
2/6/2006	C172	N575ND	RJAA-VHHH	1.5	1.5	1
2/11/2006	C172	N575ND	VHHH-KSFO	1.5	1.5	1
2/12/2006	C172	N575ND	KSFO-KDEN	1.5	1.5	1
2/12/2006	C172	N575ND	KDEN-KPIT	1.5	1.5	1
2/12/2006	C172	N575ND	KPIT-KMCO	1.5	1.5	1
2/13/2006	C172	N575ND	KMCO-KIAD	1.5	1.5	1
2/18/2006	C172	N575ND	KIAD-EDDF	1.5	1.5	1
2/18/2006	C172	N575ND	EGLL-EDDF	1.5	1.5	1
2/19/2006	C172	N575ND	EDDF-LOWW	1.5	1.5	1
3/4/2006	C172	N575ND	LOWW-OJAI	1.5	1.5	1
3/5/2006	C172	N575ND	KJFK-KSFO	1.5	1.5	1
3/12/2006	C172	N575ND	KSFO-RJAA	1.5	1.5	1
3/13/2006	C172	N575ND	RJAA-KSEA	1.5	1.5	1
3/26/2006	C172	N575ND	KSEA-KSFO	1.5	1.5	1
3/26/2006	C172	N575ND	KSFO-PHNL	1.5	1.5	1
3/27/2006	C172	N575ND	PHNL-KDEN	1.5	1.5	1
3/28/2006	C172	N575ND	KDEN-KIAD	1.5	1.5	1
3/29/2006	C172	N575ND	KIAD-KORD	1.5	1.5	1
3/30/2006	C172	N575ND	KORD-KSFO	1.5	1.5	1
3/31/2006	C172	N575ND	KSFO-KEWR	1.5	1.5	1
4/1/2006	C172	N575ND	KEWR-EDDM	1.5	1.5	1
4/2/2006	C172	N575ND	EDDM-EFHK	1.5	1.5	1
4/4/2006	C172	N575ND	EFHK-EDDF	1.5	1.5	1
4/8/2006	C172	N575ND	EDDF-KBOS	1.5	1.5	1
4/9/2006	C172	N575ND	KBOS-KORD	1.5	1.5	1
4/9/2006	C172	N575ND	KORD-KRDU	1.5	1.5	1
4/10/2006	C172	N575ND	KRDU-KLGA	1.5	1.5	1
4/15/2006	C172	N575ND	KLGA-KIAD	1.5	1.5	1
4/24/2006	C172	N575ND	KIAD-EGLL	1.5	1.5	1
4/24/2006	C172	N575ND	EGLL-EDDF	1.5	1.5	1
4/25/2006	C172	N575ND	EDDF-KMIA	1.5	1.5	1
4/28/2006	C172	N575ND	KMIA-CYYZ	1.5	1.5	1
4/30/2006	C172	N575ND	CYYZ-CYVR	1.5	1.5	1
5/2/2006	C172	N575ND	CYVR-KSFO	1.5	1.5	1
5/5/2006	C172	N575ND	KSFO-PHKO	1.5	1.5	1
5/6/2006	C172	N575ND	PHKO-KSFO	1.5	1.5	1
5/8/2006	C172	N575ND	KSFO-RJAA	1.5	1.5	1
5/13/2006	C172	N575ND	RJAA-KLAX	1.5	1.5	1
5/13/2006	C172	N575ND	KLAX-KDEN	1.5	1.5	1
5/15/2006	C172	N575ND	KDEN-KLAS	1.5	1.5	1
5/15/2006	C172	N575ND	KLAS-KLAX	1.5	1.5	1
5/17/2006	C172	N575ND	KLAX-PHNL	1.5	1.5	1
5/18/2006	C172	N575ND	PHNL-PHLI	1.5	1.5	1
5/18/2006	C172	N575ND	PHLI-PHNL	1.5	1.5	1
5/20/2006	C172	N575ND	PHNL-KSFO	1.5	1.5	1
5/21/2006	C172	N575ND	KSFO-KSAN	1.5	1.5	1
5/22/2006	C172	N575ND	KSAN-KLAX	1.5	1.5	1
5/23/2006	C172	N575ND	KLAX-NFFN	1.5	1.5	1
5/24/2006	C172	N575ND	NFFN-NZAA	1.5	1.5	1
5/27/2006	C172	N575ND	NZAA-PHNL	1.5	1.5	1
5/29/2006	C172	N575ND	PHNL-RJBB	1.5	1.5	1
6/3/2006	C172	N575ND	RJBB-KSFO	1.5	1.5	1
6/4/2006	C172	N575ND	KSFO-KORD	1.5	1.5	1
6/6/2006	C172	N575ND	KORD-KIAD	1.5	1.5	1
6/12/2006	C172	N575ND	KIAD-LSZH	1.5	1.5	1
6/24/2006	C172	N575ND	LSZH-LFPG	1.5	1.5	1
7/3/2006	C172	N575ND	LFPG-KORD	1.5	1.5	1
7/4/2006	C172	N575ND	KORD-KSFO	1.5	1.5	1
7/8/2006	C172	N575ND	KSFO-KLAX	1.5	1.5	1
7/11/2006	C172	N575ND	KLAX-ZBAA	1.5	1.5	1
7/20/2006	C172	N575ND	ZBAA-KSFO	1.5	1.5	1
8/15/2006	C172	N575ND	KSFO-PHNL	1.5	1.5	1
8/22/2006	C172	N575ND	PHNL-KDEN	1.5	1.5	1
8/26/2006	C172	N575ND	KDEN-KBOS	1.5	1.5	1
8/27/2006	C172	N575ND	KBOS-KLAX	1.5	1.5	1
8/28/2006	C172	N575ND	KLAX-KSFO	1.5	1.5	1
8/29/2006	C172	N575ND	KSFO-PHNL	1.5	1.5	1
9/2/2006	C172	N575ND	PHNL-PHTO	1.5	1.5	1
9/2/2006	C172	N575ND	PHTO-PHNL	1.5	1.5	1
9/2/2006	C172	N575ND	PHNL-RJAA	1.5	1.5	1
9/4/2006	C172	N575ND	RJAA-VHHH	1.5	1.5	1
9/8/2006	C172	N575ND	VHHH-KSFO	1.5	1.5	1
9/8/2006	C172	N575ND	KSFO-CYVR	1.5	1.5	1
9/8/2006	C172	N575ND	CYVR-PANC	1.5	1.5	1
9/8/2006	C172	N575ND	PANC-KSFO	1.5	1.5	1
9/9/2006	C172	N575ND	KSFO-KORD	1.5	1.5	1
9/16/2006	C172	N575ND	KORD-KIAH	1.5	1.5	1
9/17/2006	C172	N575ND	KIAH-KIAD	1.5	1.5	1
9/21/2006	C172	N575ND	KIAD-EGLL	1.5	1.5	1
9/24/2006	C172	N575ND	EGLL-KLAX	1.5	1.5	1
9/27/2006	C172	N575ND	KLAX-KSEA	1.5	1.5	1
10/13/2006	C172	N575ND	KSEA-KLAX	1.5	1.5	1
10/14/2006	C172	N575ND	KLAX-KPDX	1.5	1.5	1
10/14/2006	C172	N575ND	KPDX-KSFO	1.5	1.5	1
10/15/2006	C172	N575ND	KSFO-KPSP	1.5	1.5	1
10/15/2006	C172	N575ND	KPSP-KDEN	1.5	1.5	1
10/22/2006	C172	N575ND	KDEN-KSLC	1.5	1.5	1
10/23/2006	C172	N575ND	KSLC-KSFO	1.5	1.5	1
10/23/2006	C172	N575ND	KSFO-KRNO	1.5	1.5	1
10/23/2006	C172	N575ND	KRNO-KSFO	1.5	1.5	1
10/24/2006	C172	N575ND	KSFO-KDEN	1.5	1.5	1
10/24/2006	C172	N575ND	KDEN-KPDX	1.5	1.5	1
10/25/2006	C172	N575ND	KPDX-KMFR	1.5	1.5	1
10/25/2006	C172	N575ND	KMFR-KPDX	1.5	1.5	1
10/26/2006	C172	N575ND	KPDX-KORD	1.5	1.5	1
10/27/2006	C172	N575ND	KORD-KDCA	1.5	1.5	1
10/27/2006	C172	N575ND	KDCA-KORD	1.5	1.5	1
10/28/2006	C172	N575ND	KORD-KSAN	1.5	1.5	1
10/28/2006	C172	N575ND	KSAN-KLAX	1.5	1.5	1
10/30/2006	C172	N575ND	KLAX-PHNL	1.5	1.5	1
10/30/2006	C172	N575ND	PHNL-PHTO	1.5	1.5	1
10/30/2006	C172	N575ND	PHTO-PHOG	1.5	1.5	1
10/30/2006	C172	N575ND	PHOG-PHNL	1.5	1.5	1
11/1/2006	C172	N575ND	PHNL-KORD	1.5	1.5	1
11/2/2006	C172	N575ND	KORD-KPVD	1.5	1.5	1
11/3/2006	C172	N575ND	KPVD-KIAD	1.5	1.5	1
11/4/2006	C172	N575ND	KIAD-EDDF	1.5	1.5	1
11/4/2006	C172	N575ND	EDDF-KLAX	1.5	1.5	1
11/5/2006	C172	N575ND	KLAX-KPHX	1.5	1.5	1
11/5/2006	C172	N575ND	KPHX-KORD	1.5	1.5	1
11/6/2006	C172	N575ND	KORD-KSEA	1.5	1.5	1
11/8/2006	C172	N575ND	KSEA-RJAA	1.5	1.5	1
11/14/2006	C172	N575ND	RJAA-RCTP	1.5	1.5	1
11/14/2006	C172	N575ND	RCTP-RJNN	1.5	1.5	1
11/14/2006	C172	N575ND	RJNN-RJAA	1.5	1.5	1
11/15/2006	C172	N575ND	RJAA-VHHH	1.5	1.5	1
