Date	Plane	Type	Route	Total	PIC	Solo	SIC	Dual Received	Dual Given	Actual Instrument	Simulated Instrument	Approaches	Night	Cross Country	Day Landings	Night Landings	Remarks				
07/21/07	1140N	C172	DAB-DAB	1.6	1.6			1.6		0.1	1	2			1		"GPS 34 DAB, GPS 8 OMN"				
07/23/07	440ER	C172	DAB-DAB	1.6	1.6			1.6			1.1	3			1						
07/27/07	447ER	C172	DAB-DAB	1.1	1.1						0.5	2			1		CFII C172 Flight (Carolina Lenz)				
07/30/07	471ER	C172	DAB-OMN-DAB	1.1	1.1										6						
07/31/07	454ER	C172	DAB-DAB	0.5	0.5										1		CFII Flight Re-Do (Dikko)				
08/22/07	443ER	C172	DAB-OMN-DAB	1.3	1.3			1.3					1.3			3					
08/23/07	443ER	C172	DAB-DAB	1.9	1.9			1.9							1						
08/25/07	460ER	C172	DAB-DAB	2	2			2				1			1						
08/27/07	481ER	C172	DAB-DAB	1.9	1.9			1.9							1		ERAU Acceptance Flight #1 (IP Singh) - Incomplete				
08/29/07	1140G	C172	DAB-XFL-DAB	2.1	2.1			2.1							3		ERAU Acceptance Flight #2(Kriventchev) - Unsat				
08/30/07	22266	C150	DAB-XFL-DAB	2	2			2							3						
08/31/07	389ER	C172	DAB-DAB	1.1	1.1										1		ERAU Acceptance Flight #3(Kulesia) - Sat				
09/06/07	22266	C150	DAB-DAB	1.3	1.3	1.3									7						
09/09/07	422ER	C172	X47	0.7	0.7	0.7									1		EFT Ferry Flight				
09/12/07	22266	C150	DAB-DAB	1.7	1.7	1.7									11						
09/14/07	477ER	C172	DAB-DAB	1.7	1.7				1.7				1					221			
09/15/07	430ER	C172	DAB-XFL	0.5	0.5										1						
09/15/07	430ER	C172	XFL-XFL	0.6	0.6										1						
09/15/07	430ER	C172	XFL-DAB	0.7	0.7										1						
09/21/07	22266	C150	DAB-DAB	1.1	1.1	1.1									4						
09/22/07	58ER	C150	XFL-XFL	0.5	0.5										3						
09/24/07	375ER	C172	DAB-DAB	1.4	1.4				1.4	0.1			1.4			1		221			
09/26/07	58ER	C150	DAB-DAB	1.2	1.2			1.2							5						
09/26/07	465ER	C172	DAB-DAB	1.8	1.8				1.8	0.1			1.8					221			
09/27/07	375ER	C172	DAB-DAB	2.1	2.1				2.1	0.1			2.1					221			
09/28/07	453ER	C172	DAB-DAB	1.3	1.3				1.3									221			
10/03/07	58ER	C150	DAB-DAB	1.3	1.3	1.3									7						
10/06/07	58ER	C150	DAB-XFL	1	1	1									3						
10/06/07	58ER	C150	XFL-DAB	1.4	1.4	1.4									6						
10/07/07	463ER	C172	DAB-DAB	1.8	1.8				1.8						1			221			
10/07/07	460ER	C172	DAB-DAB	2.3	2.3				2.3				2.3					221			
10/10/07	471ER	C172	DAB-DAB	1.6	1.6				1.6				1.6			1		221			
10/12/07	58ER	C150	DAB-DAB	1.5	1.5	1.5									7						
10/12/07	463ER	C172	DAB-ZPH-DAB	3.3	3.3				3.3				3	3.3				221			
10/13/07	422ER	C172	XFL-XFL	0.6	0.6			0.6							1						
10/14/07	386ER	C172	DAB-SAV-JAX-DAB	4.8	4.8				4.8	0.4			4.8	4.8		1		221			
10/20/07	454ER	C172	DAB-XFL	0.7	0.7										1						
10/20/07	58ER	C150	XFL-XFL	0.6	0.6	0.6									3						
10/20/07	454ER	C172	XFL-DAB	0.8	0.8										1						
10/23/07	375ER	C172	DAB-DAB	1.5	1.5				1.5				1.5					221			
10/25/07	491ER	C172	DAB-DAB	1.5	1.5				1.5	0.3			1.5					221			
10/26/07	58ER	C150	DAB-DAB	1.2	1.2	1.2									3						
10/27/07	58ER	C150	XFL-XFL	0.9	0.9	0.9									6						
10/27/07	421ER	C172	XFL-DAB	0.6	0.6					0.3		1			1		ILS 7L DAB				
10/28/07	481ER	C172	DAB-DAB	1.5	1.5				1.5	0.6								221			
10/28/07	463ER	C172	DAB-DAB	1.9	1.9				1.9	1.2		1	1.9			1	ILS 7L DAB	221			
11/03/07	58ER	C150	DAB-MLB	1.5	1.5	1.5								1.5	1						
11/04/07	58ER	C150	MLB	1.2	1.2	1.2									10						
11/04/07	53ER	C150	MLB	1	1	1									8						
11/04/07	58ER	C150	MLB	1.7	1.7	1.7									16						
11/05/07	53ER	C150	MLB-MLB	1.2	1.2	1.2									8						
11/05/07	58ER	C150	MLB-MLB	1.4	1.4	1.4									11						
11/05/07	58ER	C150	MLB-MLB	0.8	0.8										5						
11/06/07	53ER	C150	MLB-MLB	1.1	1.1	1.1									9						
11/06/07	58ER	C150	MLB-MLB	1.3	1.3	1.3									11						
11/06/07	53ER	C150	MLB-MLB	1.1	1.1	1.1									9						
11/07/07	53ER	C150	MLB-MLB	0.7	0.7	0.7									7						
11/07/07	58ER	C150	MLB-MLB	1.4	1.4	1.4									8						
11/08/07	53ER	C150	MLB-MLB	0.6	0.6	0.6									3		Regionals 2007 POWER-ON Landings				
11/09/07	422ER	C172	MLB-MLB	0.5	0.5										1		Regionals 2007 MESSAGE DROP				
11/10/07	53ER	C150	MLB-MLB	0.5	0.5	0.5									3		Regionals 2007 POWER-OFF Landings				
11/11/07	58ER	C150	MLB-DAB	1.6	1.6	1.6								1.6	1						
11/12/07	435ER	C172	DAB-DAB	2.3	2.3				2.3				2.3					221			
11/14/07	482ER	C172	DAB-DAB	1.9	1.9				1.9				1.9					221			
11/14/07	463ER	C172	DAB-DAB	1.6	1.6				1.6				1.6					221			
11/15/07	472ER	C172	DAB-MLB	2.7	2.7				2.7				2.7	2.7				221			
11/18/07	435ER	C172	DAB-F45-TIX-DAB	4.1	4.1				4.1	0.5			3.6	4.1				221			
11/19/07	463ER	C172	DAB-ZPH-DAB	3.1	3.1				3.1				3.1	3.1		1		221			
11/20/07	452ER	C172	DAB-DAB	1.6	1.6				1.6				1.6					121			
11/25/07	468ER	C172	DAB-DAB	1.6	1.6				1.6						1			121			
11/25/07	442ER	C172	DAB-DAB	1.9	1.9				1.9				0.5					221			
11/28/07	460ER	C172	DAB-DAB	2.1	2.1				2.1	1			2.1					221			
12/02/07	368ER	C172	DAB-DAB	1.7	1.7				1.7									221			
12/02/07	447ER	C172	DAB-FMY-VRB-DAB	4.8	4.8				4.8	0.4			4.6	4.8				221			
12/06/07	1140G	C172	DAB-BKV-DAB	3.2	3.2				3.2				3	3.2				221			
12/08/07	470ER	C172	DAB-XFL-DAB	1.7	1.7				1.7						1			121			
12/09/07	453ER	C172	DAB-DAB	1.7	1.7				1.7									121			
12/09/07	1140N	C172	DAB-OMN-DAB	1.9	1.9				1.9									121			
12/12/07	460ER	C172	DAB-OMN-XFL-DAB	2.4	2.4						0.4	1	0.6		5	1					
12/26/07	564AT	C172	TPF-SPG-TPF	1.2	1.2										2						
01/05/08	3552C	C172	TPF-TPF	1	1										1						
01/10/08	53ER	C150	DAB-DAB	1.3	1.3	1.3									10						
01/13/08	368ER	C172	DAB-GNV-DAB	2.6	2.6				2.6				2.6	2.6				121			
01/15/08	53ER	C150	DAB-DAB	1	1	1									4						
01/17/08	392ER	C172	DAB-XFL-DAB	1.8	1.8				1.8				1.8			1		121			
01/21/08	477ER	C172	DAB-DAB	2.5	2.5				2.5				2.5					121			
01/25/08	471ER	C172	DAB-DAB	1.4	1.4				1.4				1.2					221			
01/31/08	58ER	C150	DAB-DAB	1.5	1.5	1.5									11						
01/31/08	440ER	C172	DAB-DAB	1.8	1.8	1.8			1.8				1.8					221			
02/02/08	428ER	C172	DAB-XFL	0.6	0.6										1						
02/02/08	58ER	C150	XFL-XFL	0.6	0.6	0.6									3						
02/02/08	428ER	C172	XFL-XFL	0.4	0.4										1						
02/02/08	428ER	C172	XFL-DAB	0.6	0.6										1						
02/05/08	481ER	C172	DAB-DAB	1.9	1.9				1.9				1.9					221			
02/06/08	487ER	C172	DAB-DAB	2.1	2.1				2.1				2.1			1		221			
02/09/08	53ER	C150	XFL-XFL	0.6	0.6	0.6									3						
02/09/08	428ER	C172	XFL-XFL	1	1										2						
02/10/08	386ER	C172	DAB-DAB	1.6	1.6				1.6						1			121			
02/12/08	53ER	C150	DAB-DAB	1	1	1									7						
02/16/08	462ER	C172	DAB-XFL-DAB	2.1	2.1				2.1									121			
02/18/08	463ER	C172	DAB-DAB	2	2				2				2					221			
02/19/08	53ER	C150	DAB-OMN-DAB	1.1	1.1	1.1									4						
02/19/08	428ER	C172	DAB-OMN-DAB	2	2				2									121			
02/19/08	443ER	C172	DAB-DAB	1.4	1.4				1.4				1.4			1		221			
02/20/08	471ER	C172	DAB-DAB	2.4	2.4				2.4				2.4					221			
02/21/08	421ER	C172	DAB-DED-DAB	1.6	1.6				1.6						1			121			
02/22/08	466ER	C172	DAB-DAB	1.7	1.7				1.7				1.4					221			
02/28/08	392ER	C172	DAB-DAB	1.6	1.6				1.6			1	1.6					221			
02/28/08	368ER	C172	DAB-EVB-DAB	2.5	2.5				2.5				2.5			1		121			
03/01/08	58ER	C150	XFL-XFL	0.6	0.6	0.6									1						
03/01/08	440ER	C172	DAB-XFL-DAB	2.1	2.1				2.1						2			121			
03/02/08	428ER	C172	DAB-DAB	1.9	1.9				1.9						2			121			
03/05/08	470ER	C172	DAB-DAB	1.8	1.8				1.8				1.8					221			
03/06/08	53ER	C150	DAB-DAB	1.7	1.7	1.7									11						
03/06/08	421ER	C172	DAB-OMN-DAB	2.1	2.1				2.1						1			121			
03/08/08	58ER	C150	DAB-XFL-DAB	1.1	1.1	1.1									2						
03/09/08	53ER	C150	XFL-XFL	1.6	1.6	1.6									12						
03/10/08	58ER	C150	DAB-DAB	0.9	0.9	0.9									6						
03/13/08	491ER	C172	DAB-DAB	1.8	1.8				1.8				1.8					221			
03/14/08	53ER	C150	DAB-DAB	1.8	1.8	1.8									15						
03/16/08	421ER	C172	DAB-DAB	1.7	1.7				1.7									121			
03/16/08	443ER	C172	DAB-CRG-DAB	2.2	2.2				2.2				2.2	2.2				121			
03/17/08	428ER	C172	DAB-DAB	1.5	1.5				1.5						2			121			
03/17/08	392ER	C172	DAB-DAB	1.9	1.9				1.9									221			
03/17/08	53ER	C150	DAB-DAB	0.9	0.9	0.9									8						
03/19/08	370ER	C172	DAB-DAB	1.2	1.2				1.2						1			221			
03/25/08	53ER	C150	DAB-DAB	0.3	0.3	0.3															
03/27/08	58ER	C150	DAB-DAB	1.2	1.2	1.2									8						
03/27/08	428ER	C172	DAB-DAB	1.6	1.6				1.6						2			121			
03/29/08	58ER	C150	XFL-XFL	0.8	0.8	0.8									6						
03/29/08	394ER	C172	XFL-XFL	0.5	0.5										1						
03/31/08	493ER	C172	DAB-MLB-DAB	2.1	2.1				2.1				2.1	2.1				121			
04/01/08	421ER	C172	DAB-DAB	1.2	1.2				1.2									121			
04/03/08	421ER	C172	DAB-DAB	1.9	1.9				1.9						1			121			
04/04/08	495ER	C172	DAB-DAB	1.7	1.7				1.7									221			
04/05/08	53ER	C150	DAB-XFL	1.1	1.1	1.1									7						
04/06/08	466ER	C172	DAB-DAB	1.1	1.1					0.1					1						
04/07/08	491ER	C172	DAB-DAB	1.7	1.7				1.7	1.4		4	1			1		221			
04/08/08	474ER	C172	DAB-CRG-DAB	3.1	3.1				3.1	2.5		4	3.1	3.1		1		221			
04/10/08	442ER	C172	DAB-F45-FPR-DAB	4.1	4.1				4.1	0.1			4	4.1		1		221			
04/12/08	53ER	C150	XFL-XFL	0.8	0.8	0.8									4						
04/12/08	472ER	C172	XFL-DAB	1.5	1.5				1.5						1			121			
04/15/08	53ER	C150	DAB-EVB-DAB	1.3	1.3	1.3									8						
04/17/08	421ER	C172	DAB-28J-DAB	2.5	2.5				2.5						3			121			
04/20/08	376ER	C172	DAB-XFL-DAB	1.9	1.9				1.9									121			
04/21/08	482ER	C172	DAB-0MN-DAB	2.1	2.1				2.1									221			
04/22/08	58ER	C150	DAB-DAB	1.6	1.6										8						
04/22/08	370ER	C172	DAB-DAB	1.6	1.6				1.6				0.2					221			
04/26/08	53ER	C150	DAB-AYS	2.3	2.3	2.3								2.3	3						
04/26/08	53ER	C150	AYS-MCN	1.7	1.7	1.7								1.7	3						
04/28/08	53ER	C150	MCN-RMG	2.1	2.1	2.1								2.1	1						
04/28/08	53ER	C150	RMG-THA	1.5	1.5	1.5								1.5	1						
04/28/08	53ER	C150	THA-MQY	1	1	1							1			1					
04/29/08	53ER	C150	MQY-MQY	1.5	1.5	1.5									18						
04/29/08	58ER	C150	MQY-MQY	1.6	1.6	1.6									18						
04/30/08	58ER	C150	MQY-MQY	1.6	1.6	1.6									13						
04/30/08	53ER	C150	MQY-MQY	1.6	1.6	1.6									17						
05/03/08	53ER	C150	MQY-MQY	1	1	1									7						
05/04/08	392ER	C172	MBT-MBT	0.5	0.5				0.5						1			121			
05/04/08	58ER	C150	MQY-MQY	0.8	0.8	0.8									6						
05/07/08	58ER	C150	MQY-MQY	0.6	0.6	0.6									2		Nationals 08 - Power On				
05/09/08	58ER	C150	MQY-MQY	0.5	0.5	0.5									2		Nationals 08 - Power Off				
05/10/08	394ER	C172	MQY-MQY	0.5	0.5										1		Nationals 08 - Message Drop				
05/12/08	394ER	C172	MQY-TMA	2.5	2.5				2.5					2.5	1			121			
05/12/08	394ER	C172	TMA-DAB	1.6	1.6				1.6					1.6				121			
06/11/08	158DJ	EA-50	BCT-GNV	1.5				1.5		0.2				1.5	1		First Eclipse 500 Flight!!!			1.5	
08/07/08	135DJ	EA-50	GNV-BCT	1.7				1.7						1.7	1		Eclipse 500 Training Flight #1			1.7	
08/08/08	135DJ	EA-50	BCT-LAL	1.9				1.9			1.5	3		1.9	3		Eclipse 500 Training Flight #2			1.9	
08/11/08	134DJ	EA-50	LAL-BCT	1.8				1.8			1	4		1.8	3		Eclipse 500 Training Flight #3			1.8	
08/25/08	58ER	C150	XFL-DAB	0.8	0.8	0.8									1						
08/25/08	442ER	C172	DAB-DAB	1.6				1.6			0.3	1			1						
