Date	Aircraft Type	Aircraft Ident	Route of Flight	Time in Flight	Day Landings	Night Landings	Instrument	Simulated Instrument	Approaches	Simulator	Night	Cross Country	Solo	Pilot in Command	Second in Command	Dual	As Instructor	Tailwheel	Remarks
"05/14/02"	"C172P"	"N6472K"	"F46-F46"	1.3	10	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0		"Takeoffs and landings.  Go-arounds"
"05/26/02"	"PA24-250"	"N6168P"	"F46-F46"	0.9	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0		"Prebuy flight in Comanche w Mark Anderson.  Complex/retract operations.  Const. Sp. Prop operations."
"05/27/02"	"C172N"	"N6572D"	"F46-F46"	1.1	7	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0		"Takeoffs and landings. Sim. Engine failure, practice landings."
"05/28/02"	"C172N"	"N6572D"	"F46-F46"	1.5	9	0	0.0	0.0	0	0.0	0.0	0.0	0.5	0.5	0.0	1.0	0.0		"Takeoffs and landings.  Go-arounds  *** FIRST SOLO *** Three times around the pattern -w- full stop landings at each."
"05/31/02"	"C172N"	"N6572D"	"F46-HQZ-F46"	1.2	4	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0		"Crosswind takeoffs and landings.  Forward slips"
"06/19/02"	"C172N"	"N6572D"	"F46-TRL-7F3-F46"	1.3	5	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0		"Steep turns, normal & crosswind takeoffs and landings."
"06/20/02"	"C172P"	"N6472K"	"F46-F46"	0.4	4	0	0.0	0.0	0	0.0	0.0	0.0	0.4	0.4	0.0	0.0	0.0		"Crosswind takeoffs and landings.  Second solo."
"06/21/02"	"C172P"	"N6472K"	"F46-F46"	1.0	14	0	0.0	0.0	0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0		"Third solo.  Takeoffs and landings.  No Winds."
"06/21/02"	"C172N"	"N6572D"	"F46-F46"	1.7	7	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.7	0.0		"Second flight of day.  Instructor - takeoffs and landings. Normal and crosswind flight."
"06/22/02"	"C172N"	"N6572D"	"F46-F46"	1.2	4	0	0.0	0.0	0	0.0	0.0	0.0	1.2	1.2	0.0	0.0	0.0		"SOLO work - Takeoffs and landings, turns around a point, slow flight,  t-n-g."
"06/27/02"	"C172P"	"N6472K"	"F46-F46"	0.6	2	0	0.0	0.0	0	0.0	0.0	0.0	0.6	0.6	0.0	0.0	0.0		"Steep turns, st/level flight, turns around pt., crosswind landings."
"06/27/02"	"C172P"	"N6472K"	"F46-F46"	0.8	5	0	0.0	0.0	0	0.0	0.0	0.0	0.8	0.8	0.0	0.0	0.0		"Second solo of day - takeoffs and landings."
"06/28/02"	"C172P"	"N6472K"	"F46-F46"	0.6	5	0	0.0	0.0	0	0.0	0.0	0.0	0.6	0.6	0.0	0.0	0.0		"Solo practice.  Landings"
"06/30/02"	"C172N"	"N6572D"	"F46-TKI-F46"	1.1	5	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0		"T/o and landings.  Class D Operations (McKinney).  no flap landings.  full flap landings."
"07/01/02"	"C172P"	"N6472K"	"F46-F46"	1.1	6	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0		"Soft field t/o and landings.  Short field t/o and landings."
"07/02/02"	"C172P"	"N6472K"	"F46-F46"	0.6	5	0	0.0	0.0	0	0.0	0.0	0.0	0.6	0.6	0.0	0.0	0.0		"Solo practice - Soft field & Short field takeoffs and landings."
"07/05/02"	"C172P"	"N6472K"	"F46-F46"	0.8	7	0	0.0	0.0	0	0.0	0.0	0.0	0.8	0.8	0.0	0.0	0.0		"Solo - Short field/soft field takeoffs and landings."
"07/08/02"	"C172P"	"N6472K"	"F46-F46"	0.9	7	0	0.0	0.0	0	0.0	0.0	0.0	0.9	0.9	0.0	0.0	0.0		"Short field/soft field t/o and landings practice."
"07/10/02"	"PA24-250"	"N6168P"	"F46-7F3-F46"	1.0	4	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0		"Complex intro - Flew to Caddo Mills -w- Linda Parrish.  First training flight in Comanche."
"07/15/02"	"PA24-250"	"N6168P"	"F46-TYR-F46"	2.0	2	0	0.0	0.0	0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0		"Cross country to Tyler.  Class D operations, complex hi-perf operations.  Leaning."
"07/20/02"	"PA24-250"	"N6168P"	"F46-F46"	1.0	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0		"Slow flight, stalls, emg. descents, complex procedures."
"07/22/02"	"PA24-250"	"N6168P"	"F46-TRL-F46"	1.5	4	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0		"Takeoffs and landings, complex procedures."
"07/23/02"	"PA24-250"	"N6168P"	"F46-5A6-F46"	5.6	2	0	0.0	0.0	0	0.0	0.0	5.6	0.0	0.0	0.0	5.6	0.0		"Cross country to Winona, MS, cross country fl. plannign, pilotage, dead reckoning, VOR navigation, flight following."
"07/25/02"	"PA24-250"	"N6168P"	"F46-SJT"	1.8	1	0	0.0	0.0	0	0.0	0.0	1.8	0.0	0.0	0.0	1.8	0.0		"Cross country to San Angelo, TX.  GPS Navigation, VOR navigation, flight following."
"07/26/02"	"PA24-250"	"N6168P"	"SJT-F46"	2.0	1	0	0.0	0.0	0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0		"Return from San Angelo, TX"
"07/28/02"	"PA24-250"	"N6168P"	"F46-MLC/F46"	2.6	2	0	0.0	0.0	0	0.0	0.0	2.6	0.0	0.0	0.0	2.6	0.0		"Rockwall to McAlester, OK and back."
"07/31/02"	"PA24-250"	"N6168P"	"F46-MLC-F46"	2.5	2	0	0.0	0.0	0	0.0	0.0	2.5	0.0	0.0	0.0	2.5	0.0		"Second trip to McEllester, OK and back."
"08/01/02"	"PA24-250"	"N6168P"	"F46-LXY-F46"	1.6	2	0	0.0	0.0	0	0.0	0.0	1.6	0.0	0.0	0.0	1.6	0.0		"Rockwall to Groesbeck/Limestone.  VOR Navigation, pilotage, em. gear extension ('cause Bart put his GPS under the landing gear extender)"
"08/08/02"	"PA24-250"	"N6168P"	"F46-F46"	1.2	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0		"Slow flight, p/off stalls, VOR navigation, steep turns."
"08/08/02"	"PA24-250"	"N6168P"	"F46-RBD"	0.5	0	1	0.0	0.0	0	0.0	0.5	0.0	0.0	0.5	0.0	0.0	0.0		"Night flight to Redbird.  Class D Operations."
"08/13/02"	"PA24-250"	"N6168P"	"F46-RBD"	0.5	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0		"Class D Operations, localizer familiarization."
"08/20/02"	"C172P"	"N6472K"	"F46-RBD-F46"	1.3	2	0	0.0	0.0	0	0.0	0.0	0.0	0.8	0.8	0.0	0.5	0.0		"Class D Operations.  Crosswind t/o and landings.  Ferry flight for avioics.  I followed in 6472K."
"09/01/02"	"PA24-250"	"N6168P"	"F46-F46"	1.3	1	0	0.0	0.9	0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0		"Complex procedures.  Hood work - ascents and descents, st. rate turns. (Birthday flight)"
"09/02/02"	"PA24-250"	"N6168P"	"F46-F00-F46"	1.3	2	0	0.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0		"Hoodwork - St. & level, turns to hdg, climbs and descents, VOR tracking, ldg. config. under the hood.  Flew to Bonham and back."
"09/03/02"	"PA24-250"	"N6168P"	"F46-F46"	1.3	1	0	0.0	1.1	0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0		"Hoodwork.  Unusual attitudes, steep turns, VOR tracking, climbs and descents in instrument configuration."
"09/07/02"	"PA24-250"	"N6168P"	"F46-4QZ-F46"	0.9	5	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0		"Cross wind takeoffs and landings in complex aircraft."
"09/09/02"	"PA24-250"	"N6168P"	"F46-TRL-F46"	1.4	5	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.0		"Crosswind takeoffs and landings."
"09/10/02"	"PA24-250"	"N6168P"	"F46-RBD"	0.5	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0		"Flight to Redbird to drop off Comanche."
"09/12/02"	"PA24-250"	"N6168P"	"RBD-F46"	1.1	5	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0		"Takeoffs and landings.  Class D operations."
"09/13/02"	"PA24-250"	"N6168P"	"F46-F46"	1.0	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0		"NDB Navigation.  Locating and tracking with and without movable card."
"09/15/02"	"PA24-250"	"N6168P"	"F46-LNC-F46"	1.0	3	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0		"Reg. approach comm. Takeoffs & landings, flight to Lancaster."
"09/16/02"	"PA24-250"	"N6168P"	"F46-SWW-F46"	3.8	2	0	0.0	0.0	0	0.0	0.0	3.8	0.0	0.0	0.0	3.8	0.0		"Flight to Sweetwater, TX.  Class B operations, flight following."
"09/17/02"	"PA24-250"	"N6168P"	"F46-F46"	1.0	7	0	0.0	0.0	0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0		"SOLO in Comanche.  Pattern work. T/O and landings, Turns around a point, Complex/Hi-perf signoff."
"09/20/02"	"PA24-250"	"N6168P"	"F46-F46"	1.0	7	0	0.0	0.0	0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0		"Pattern work.  Takeoffs and landings."
"09/21/02"	"PA24-250"	"N6168P"	"F46-F46"	1.5	12	0	0.0	0.0	0	0.0	0.0	0.0	1.5	1.5	0.0	0.0	0.0		"Takeoffs and landings.  Solo practice in Comanche."
"09/22/02"	"PA24-250"	"N6168P"	"F46-F46"	0.8	6	0	0.0	0.0	0	0.0	0.0	0.0	0.8	0.8	0.0	0.0	0.0		"Solo work.  Takeoffs and landings."
"09/23/02"	"PA24-250"	"N6168P"	"F46-F46"	1.0	7	0	0.0	0.0	0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0		"Takeoffs and landings.  Solo."
"09/24/02"	"PA24-250"	"N6168P"	"F46-TRL-F46"	1.0	9	0	0.0	0.0	0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0		"Soft field/short field takeoffs and landings.  Flew solo to Terrell."
"09/26/02"	"PA24-250"	"N6168P"	"F46-SLR-F46"	1.6	0	2	0.0	0.0	0	0.0	1.6	0.0	0.0	0.0	0.0	1.6	0.0		"Start of Night flight reqmt.  Flew to Sulphur Springs and back (generator overload problem)."
"09/28/02"	"PA24-250"	"N6168P"	"F46-MSA-TYR-TRL-F46"	3.0	10	0	0.0	0.0	0	0.0	0.0	3.0	3.0	3.0	0.0	0.0	0.0		"1st Solo Cross Country.  VOR & NDB Nav. Sulphur Springs to Mt. Pleasant to Tyler, Terrell and back to Rockwall.  3 Class D Landings to full stop."
"09/29/02"	"PA24-250"	"N6168P"	"F46-SWI-PRX-F46"	2.1	9	0	0.0	0.0	0	0.0	0.0	2.1	2.1	2.1	0.0	0.0	0.0		"Second solo cross country.  Rockwall to Sherman to Paris, TX and back to Rockwall.  VOR/NDB Nav., pilotage."
"10/05/02"	"PA24-250"	"N6168P"	"F46-F46"	1.0	6	0	0.0	0.0	0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0		"Crosswind practice.  Short/softfield landings."
"10/15/02"	"PA24-250"	"N6168P"	"F46-F46"	1.2	8	0	0.0	0.0	0	0.0	0.0	0.0	1.2	1.2	0.0	0.0	0.0		"Short/softfield takeoffs and landings.  Solo practice."
"10/16/02"	"PA24-250"	"N6168P"	"F46-SWI-SLR-F46"	2.1	0	7	0.0	0.3	0	0.0	2.1	2.1	0.0	0.0	0.0	2.1	0.0		"Night Cross country.  Night rqmnt met.  VOR/NDB Nav., night cross country planning."
"10/21/02"	"PA24-250"	"N6168P"	"F46-F46"	1.5	8	0	0.0	0.0	0	0.0	0.0	0.0	1.5	1.5	0.0	0.0	0.0		"Shortfield/soft field takeoffs and landings."
"10/29/02"	"PA24-250"	"N6168P"	"F46-TRL-F46"	1.1	7	0	0.0	0.0	0	0.0	0.0	0.0	1.1	1.1	0.0	0.0	0.0		"Crosswind t/o and landings.  Forward slips to landing."
"11/18/02"	"PA24-250"	"N6168P"	"F46-F46"	1.2	12	0	0.0	0.0	0	0.0	0.0	0.0	1.2	1.2	0.0	0.0	0.0		"Takeoffs and landings practice."
"11/30/02"	"PA24-250"	"N6168P"	"F46-F46"	1.1	5	0	0.0	0.0	0	0.0	0.0	0.0	1.1	1.1	0.0	0.0	0.0		"S Turns, tap, slips, soft/short field landings and takeoffs."
"12/06/02"	"C172M"	"N20270"	"MMV-MMV"	1.4	5	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.0		"S Turns, TAP, slips, soft/short field practice in McMinnville, OR."
"12/07/02"	"C172M"	"N20270"	"MMV-54F-AST-MMV"	3.1	3	0	0.0	0.0	0	0.0	0.0	3.1	0.0	0.0	0.0	3.1	0.0		"TAP, cross country nav., Cross country from McMinnville, OR out to coast to Tillamook, Astoria and back to McMinnville."
"12/14/02"	"PA24-250"	"N6168P"	"F46-76F-F46"	2.1	3	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	2.1	0.0		"Checkride prep.  Stalls, steep turns, go-arounds, VOR/NDB nav., inst. ascents/descents, unusual attitudes."
"12/22/02"	"PA24-250"	"N6168P"	"F46-TRL-F46"	2.3	6	0	0.0	0.3	0	0.0	0.0	0.0	0.8	0.8	0.0	1.5	0.0		"Checkride prep.  Takeoffs and landings, short/softfield t/o and ldg, emg. ldg."
"12/26/02"	"PA24-250"	"N6168P"	"F46-HQZ-F46"	1.6	4	0	0.0	0.0	0	0.0	0.0	0.0	0.0	1.6	0.0	0.0	0.0		"PRIVATE PILOT CHECKRIDE.  Checkride with George Seaburg (DE) and Jay Stiles (FAA SODA person).  PASSED!!!"
"12/26/02"	"PA24-250"	"N6168P"	"F46-LNC-F46"	0.7	2	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.7	0.0	0.0	0.0		"First flight as PP-ASEL.  Took Scot to Lancaster for lunch."
"12/26/02"	"PA24-250"	"N6168P"	"F46-TRL-F46"	1.0	3	0	0.0	0.0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0		"Took Pam and Sheila for flight to Terrell and back.  Comanche broke - crankshaft seal.  Rebuild engine."
"01/01/03"	"C172N"	"N6572D"	"F46-2F7-SLR-F46"	1.9	1	4	0.0	0.0	0	0.0	1.4	1.9	1.9	1.9	0.0	0.0	0.0		"Takeoffs and landings at night."
"01/01/03"	"C172P"	"N6472K"	"F46-F46"	0.6	6	0	0.0	0.0	0	0.0	0.0	0.0	0.6	0.6	0.0	0.0	0.0		"Takeoffs and landings in the day."
"01/05/03"	"C172N"	"N6572D"	"F46-0F7-SLR-F46"	2.0	4	0	0.0	0.0	0	0.0	0.0	2.0	2.0	2.0	0.0	0.0	0.0		"Flight to Wills Pt, Sulphur Springs for lunch and back."
"01/14/03"	"C172N"	"N6572D"	"F46-2F7-TRL-2F7-F46"	1.5	0	2	0.0	0.0	0	0.0	1.5	0.0	0.0	1.5	0.0	0.0	0.0		"Night fight to Commerce, Terrell, Commerce and back to Rockwall."
"01/19/03"	"C172P"	"N6472K"	"F46-2F7-SLR-2F7-F46"	2.1	4	0	0.0	0.0	0	0.0	0.0	0.0	0.0	2.1	0.0	0.0	0.0		"Rockwall to Commerce to Sulphur Springs, Commerce and back to Rockwall"
"01/22/03"	"C172N"	"N6572D"	"F46-4F2-MKV-F46"	5.8	2	1	0.0	0.0	0	0.0	1.3	5.8	0.0	5.8	0.0	0.0	0.0		"Rockwall to Carthage, TX to Marksville, LA & back to Rockwall (Avoyelles Parish)"
"01/23/03"	"C172N"	"N6572D"	"F46-0F7-F46"	1.4	2	1	0.0	0.0	0	0.0	0.5	0.0	0.0	1.4	0.0	0.0	0.0		"Took Dave up to Wills Pt. for a ride.  Took his in-laws joyriding in C172."
"01/25/03"	"C172N"	"N6572D"	"F46-0F7-F46"	1.6	4	0	0.0	0.0	0	0.0	0.0	0.0	1.6	1.6	0.0	0.0	0.0		"Flight to Wills Pt. and back. MVFR weather.  Lost for a short while."
"02/01/03"	"C172N"	"N6572D"	"F46-F00-F46"	1.6	5	0	0.0	0.0	0	0.0	0.0	0.0	0.0	1.6	0.0	0.0	0.0		"Saturday flight to Bonham, Sherman & back to Rockwall w Eric Goldman (Renee's son)"
"02/01/03"	"C172N"	"N6572D"	"F46-T39-TKI-F46"	2.8	2	1	0.0	0.0	0	0.0	1.3	0.0	0.0	2.8	0.0	0.0	0.0		"Evening flight to Lake Texoma.  Night back - IFR developed, diverted to McKinney.  Back to Rockwall in morning."
"02/04/03"	"C172P"	"N6472K"	"F46-F46"	1.1	1	0	0.0	1.0	0	0.0	0.0	0.0	0.0	1.1	0.0	1.1	0.0		"IFR Training - St. & Level, st. rate turns, VOR tracking, const. speed climbs & descents"
"02/04/03"	"C150M"	"N9479U"	"F46-7F3-F46"	0.8	6	0	0.0	0.0	0	0.0	0.0	0.0	0.8	0.8	0.0	0.0	0.0		"1st flight in C150.  Stalls and touch n goes.  Solo flight."
"02/10/03"	"C172N"	"N6572D"	"F46-1F7-F46"	0.6	2	0	0.0	0.0	0	0.0	0.0	0.0	0.3	0.6	0.0	0.0	0.0		"Quick flight to Airpark East to pick up Ron (ferry flight for Mooney)"
"02/14/03"	"F33A"	"N1876W"	"F46-2F7-F46"	0.4	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0		"Scud Run with Bill Porter in his Bonanza to Commerce and back."
"03/06/03"	"C172N"	"N6572D"	"F46-HQZ-1F7-F46"	1.5	2	0	0.0	1.0	0	0.0	0.0	0.0	0.0	1.5	0.0	1.0	0.0		"IFR training - NDB holds, ILS 17 at Mesquite, procedure turns, no flap landings."
"03/07/03"	"C150M"	"N9479U"	"F46-7F3-F46"	1.0	6	0	0.0	0.0	0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0		"Crosswind takeoffs and landings in C150.  Short/softfield landings."
"03/09/03"	"PA24-250"	"N6168P"	"F46-F46"	0.7	2	0	0.0	0.0	0	0.0	0.0	0.0	0.7	0.7	0.0	0.0	0.0		"Shakedown flight in Comanche after engine repair/rebuild."
"03/09/03"	"PA24-250"	"N6168P"	"F46-IER-F46"	3.0	2	0	0.0	0.0	0	0.0	0.0	3.0	0.0	3.0	0.0	0.0	0.0		"Rockwall to Natchitoches, LA and back.  VFR - flight following."
"03/10/03"	"PA24-250"	"N6168P"	"F46-DHT-APA"	5.5	3	0	0.0	0.0	0	0.0	0.0	5.5	0.0	5.5	0.0	0.0	0.0		"Rockwall to Dalhart, TX (refuel) and on to Denver Centennial (ski trip)"
"03/13/03"	"PA24-250"	"N6168P"	"APA-DHT-F46"	4.5	2	0	0.0	0.0	0	0.0	0.0	4.5	0.0	4.5	0.0	0.0	0.0		"Return from Denver Centennial thru Dalhart, TX for fuel."
"03/14/03"	"PA24-250"	"N6168P"	"F46-T31-F46"	1.4	1	1	0.0	0.0	0	0.0	0.8	1.4	0.0	1.4	0.0	0.0	0.0		"Lake Texoma for dinner. Night return flight."
"03/15/03"	"PA24-250"	"N6168P"	"F46-TRL-F46"	1.0	7	0	0.0	0.0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0		"T/G practice at Terrell."
"03/16/03"	"PA24-250"	"N6168P"	"F46-HOT-I05-CVG"	6.1	3	0	0.0	0.0	0	0.0	0.0	6.1	0.0	6.1	0.0	0.0	0.0		"Cross country to Hot Springs, AR, Sturgis, KY and on to Cincinatti Class B - Flight following."
"03/20/03"	"PA24-250"	"N6168P"	"CVG-I05-SRC-F46"	7.6	3	0	0.0	0.0	0	0.0	0.0	7.6	0.0	7.6	0.0	0.0	0.0		"Cross country home - Cinci to Sturgis to Searcy, AR to Rockwall.  Layover in Searcy for weather."
"03/22/03"	"PA24-250"	"N6168P"	"F46-0F7-F46"	0.8	2	0	0.0	0.0	0	0.0	0.0	0.0	0.8	0.8	0.0	0.0	0.0		"Short flight to Wills Pt and back.  MVFR ceilings."
"03/23/03"	"PA24-250"	"N6168P"	"F46-IER-F46"	2.6	2	0	0.0	0.0	0	0.0	0.7	2.6	0.0	2.6	0.0	0.0	0.0		"Trip to Natchitoches, LA and back.  Flight following - night return."
"03/24/03"	"PA24-250"	"N6168P"	"F46-T31-F46"	2.0	0	2	0.0	0.0	0	0.0	2.0	2.0	0.0	2.0	0.0	0.0	0.0		"Night flight to Lake Texoma.  1st date with Judy."
"03/25/03"	"PA24-250"	"N6168P"	"F46-RBD-F46"	0.9	2	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0		"Quick flight to Ace aviation at Redbird to check encoder."
"03/26/03"	"PA24-250"	"N6168P"	"F46-RBD-F46"	1.0	2	0	0.0	0.0	0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0		"Flight to Redbird to get encoder changed."
"04/01/03"	"PA24-250"	"N6168P"	"F46-DTO-F46-DTO-F46"	2.5	3	1	0.0	0.0	0	0.0	0.7	0.0	1.0	2.5	0.0	0.0	0.0		"Multiple trips to Denton and back.  High winds (25mph+) Night return."
"04/02/03"	"PA24-250"	"N6168P"	"F46-DTO-F46"	0.7	1	1	0.0	0.0	0	0.0	0.4	0.0	0.7	0.7	0.0	0.0	0.0		"Rockwall to Denton and back.  Night return."
"04/08/03"	"PA24-250"	"N6168P"	"F46-ARG-I05-BOW"	4.2	3	0	0.0	0.0	0	0.0	0.0	4.2	0.0	4.2	0.0	0.0	0.0		"Rockwall to Walnut Ridge, AR to Sturgis, KY divert to Louisville Bowman Field."
"04/11/03"	"PA24-250"	"N6168P"	"BOW-LUK"	0.9	1	0	0.0	0.0	0	0.0	0.0	0.9	0.0	0.9	0.0	0.0	0.0		"Bowman field to Cincinatti Lunken Class D."
"04/12/03"	"PA24-250"	"N6168P"	"LUK-I50-LUK"	1.7	4	0	0.0	0.0	0	0.0	0.0	1.7	0.0	1.7	0.0	0.0	0.0		"Lunken to Stanton, KY to take jail administrator for a ride and back to Lunken"
"04/12/03"	"PA24-250"	"N6168P"	"LUK-LUK"	1.2	1	0	0.0	0.0	0	0.0	0.0	1.2	0.0	1.2	0.0	0.0	0.0		"Afternoon flight over Kentucky horse country."
"04/13/03"	"PA24-250"	"N6168P"	"LUK-ARG-30F"	4.7	2	0	0.0	0.0	0	0.0	0.0	4.7	4.7	4.7	0.0	0.0	0.0		"Flight home from Cinci. Lunken.  Refuel at Walnut Ridge.  End at Lake Dallas airpark"
"04/14/03"	"PA24-250"	"N6168P"	"30F-F46"	0.4	1	0	0.0	0.0	0	0.0	0.0	0.0	0.4	0.4	0.0	0.0	0.0		"Flight home to Rockwall from Lake Dallas"
"04/15/03"	"PA24-250"	"N6168P"	"F46-FDF-M51"	5.2	1	1	0.0	0.0	0	0.0	1.0	5.2	0.0	5.2	0.0	0.0	0.0		"Rockwall to Fayette, AL (fuel) and on to Williamsburg, SC. (demo)"
"04/16/03"	"PA24-250"	"N6168P"	"M51-BBP-GAD-GDP-F46"	6.7	4	0	0.0	0.0	0	0.0	0.0	6.7	0.0	6.7	0.0	0.0	0.0		"Bennettsville, SC to Gadsdon, AL to Grenada, MS to Rockwall."
"04/17/03"	"PA24-250"	"N6168P"	"F46-SLR-F46"	1.1	0	3	0.0	0.0	0	0.0	1.1	0.0	0.0	1.1	0.0	0.0	0.0		"Night flight to Sulphur Springs and back."
"04/19/03"	"C172N"	"N6572D"	"F46-F46"	0.6	5	0	0.0	0.0	0	0.0	0.0	0.0	0.6	0.6	0.0	0.0	0.0		"Landing practice.  Short/softfield takeoffs and landings."
