DATE	TYPE	PLANE	ROUTE	TOTAL	ACTUAL INSTRUMENT	SIMULATED INSTRUMENT	APPROACHES	DAY LANDINGS	NIGHT LANDINGS	DUAL RECEIVED	CROSS COUNTRY	NIGHT	SOLO	PIC	SIC	DUAL GIVEN	REMARKS
5/22/2006	P28A	N75OU	UNI - UNI	1.5	0.1	1.4	3	1		1.5							
5/28/2006	P28A	N760U	UNI - UNI	3.2		3.2	4	2		3.2	3.2						
5/29/2006	P28A	N445DH	UNI - UNI	5.3		5.3	4	4		5.3	5.3	1.1					
6/6/2006	P28A	N760U	UNI - UNI	2.7		2.7	3	4		2.7	2.7	2					
6/24/06.	C172	N92720	GQQ - GQQ	0.5				2		0.5				0.5			
6/24/2006	C172	N92720	GQQ - GQQ	1		1	3	1		1				1			
7/18/2006	C172	N92720	GQQ - GQQ	1.9				2			1.9			1.9			
7/25/2006	C152	N66006	GQQ - GQQ	4.9				12						4.9			
8/20/2006	C152	N66006	GQQ - GQQ	2.1				5						2.1			
9/7/2006	P28A	N740U	UNI - UNI	1.3		1.3	1	1		1.3							
9/9/2006	P28A	N750U	UNI - UNI	1.4		1.4	3	1		1.4							
9/14/2006	P28A	N750U	UNI - UNI	1.2	0.8	0.4	1	1		1.2							
9/17/2006	C152	N1000U	UNI - UNI	0.9				7						0.9			FT
9/21/2006	P28A	N740U	UNI - UNI	1.5		1.5	3	1		1.5							
9/30/2006	P28A	N750U	UNI - UNI	1.4		1.4	1	1		1.4							
10/1/2006	C172	N230U	UNI - UNI	1.4				1						1.4			FT
10/8/2006	C172	N230U	OSU - OSU	2.4				1						2.4			FT
10/12/2006	C172	N230U	OSU - OSU	0.9				1						0.9			FT
10/15/2006	C152	N220U	OSU - UNI	1				1			1			1			FT
10/19/2006	P28A	N750U	UNI - UNI	1		1	2			1							
11/4/2006	P28A	N730U	UNI - UNI	1.2		1.2	1	1		1.2							
11/8/2006	P28A	N760U	UNI - UNI	0.9		0.9	2	1		0.9							
11/14/2006	P28A	N750U	UNI - UNI	1		1	2	1		1							
1/11/2007	P28A	N750U	UNI - UNI	1.2		0.8	1	1		1.2				1.2			
1/18/2007	P28A	N750U	UNI - UNI	1.4		0.6	3	1		1.4				1.4			
1/26/2007	P28A	N445DH	UNI - UNI	1.5		0.5	3	1		1.5		0.5		1.5			
2/8/2007	P28A	N730U	UNI - UNI	1.4		1.2	3	1		1.4				1.4			
2/16/2007	P28A	N72OU	UNI - UNI	1.6		1.6	3	1						1.6			Instrument checkride
2/20/2007	P28A	N750U	UNI - UNI	1.2				4		1.2				1.2			
2/23/2007	P28A	N760U	UNI - UNI	1.5		0.6	2	2		1.5				1.5			
2/27/2007	P28A	N72OU	UNI - UNI	1		0.5	1	5		1				1			
3/2/2007	FRASCA	142	 - 														
3/4/2007	C152	N1000U	UNI - UNI	0.9				6						0.9			FT
3/6/2007	P28A	N730U	UNI - UNI	1				2					1	1			
3/8/2007	P28A	N760U	UNI - UNI	2				5		2	2			2			
3/9/2007	P28A	N750U	UNI - UNI	1.3				1						1.3			FT
3/9/2007	FRASCA	131	 - 				1										
3/11/2007	C152	N220U	UNI - UNI	1.2				5						1.2			FT
3/29/2007	C152	N220U	UNI - UNI	0.5				7					0.5	0.5			FT
3/30/2007	C152	N220U	UNI - UNI	1.6				10					1.6	1.6			FT
3/31/2007	P28A	N750U	UNI - UNI	1.9	1.6		2	2		1.9	1.9			1.9			
4/1/2007	C152	N220U	UNI - UNI	0.5				6					0.5	0.5			FT
4/2/2007	C152	N220U	UNI - UNI	0.6				6					0.6	0.6			FT
4/8/2007	P28A	N72OU	UNI - UNI	0.7				2		0.7				0.7			
4/9/2007	C152	N220U	UNI - UNI	0.5				6					0.5	0.5			FT
4/10/2007	P28A	N740U	UNI - UNI	2.5	0.5		2	2			2.5		2.5	2.5			
4/12/2007	FRASCA	131	 - 				5										
4/13/2007	P28A	N750U	UNI - UNI	1.5				4			1.5		1.5	1.5			
4/14/2007	FRASCA	142	 - 				4										
4/14/2007	C152	N220U	UNI - UNI	0.5				5					0.5	0.5			FT
4/19/2007	P28A	N760U	UNI - UNI	3					5	3	3	3		3			
4/21/2007	C152	N1000U	UNI - UNI	2.5				1						2.5			FT
4/21/2007	C152	N220U	UNI - UNI	1				10					1	1			FT
4/24/2007	P28A	N72OU	UNI - UNI	2.5			3		8			2.5	2.5	2.5			
4/26/2007	P28A	N740U	UNI - UNI	2.9	0.7			2			2.9		2.9	2.9			
4/29/2007	P28A	N750U	UNI - UNI	2.4				1						2.4			FT
5/2/2007	C152	N1000U	UNI - UNI	0.5				3						0.5			FT
5/2/2007	FRASCA	142	 - 				3										
5/3/2007	C152	N220U	UNI - UNI	1.5				10					1.5	1.5			FT
5/3/2007	P28A	N760U	UNI - LCK	0.7				1						0.7			FT
5/4/2007	C152	N220U	LCK - LCK	0.5				5					0.5	0.5			FT
5/7/2007	P28A	N760U	LCK - LCK	1				1						1			FT
5/8/2007	P28A	N760U	LCK - LCK	1.4				1						1.4			FT
5/10/2007	C152	N220U	LCK - LCK	1				2					1	1			FT
5/13/2007	C152	N1000U	LCK - UNI	1.3				1			1.3			1.3			FT
5/19/2007	C152	N220U	UNI - UNI	0.6				4					0.6	0.6			FT
5/22/2007	P28A	N760U	UNI - UNI	2.8				2			2.8		2.8	2.8			
5/26/2007	P28A	N445DH	UNI - UNI	3.4	0.1			2			3.4		3.4	3.4			
5/31/2007	P28A	N72OU	UNI - UNI	1.8	1.1		2	2			1.8		1.8	1.8			
6/2/2007	P28A	N72OU	UNI - UNI	1.7	0.5		2	2			1.7		1.7	1.7			
6/3/2007	P28A	N445DH	UNI - 4I3	1	0.7		1	1			1		1	1			
6/3/2007	P28A	N445DH	4I3 - 4I3	1				1						1			
6/3/2007	P28A	N445DH	4I3 - UNI	1	0.5		1	1			1		1	1			
7/22/2007	P28A	N730U	UNI - UNI	6.1	2.8			2	1		6.1	0.5	6.1	6.1			
8/2/2007	P28A	N720	UNI - UNI	0.7				1		0.7				0.7			
8/4/2007	C152	N1000U	UNI - UNI	3				9			3		3	3			
8/16/2007	P28A	N445DH	UNI - UNI	0.9		0.4	1	1		0.9				0.9			
8/16/2007	FRASCA	142	 - 														
8/18/2007	P28A	N720U	UNI - UNI	1.1				4		1.1				1.1			
8/18/2007	P28A	N720U	UNI - UNI	1.5				4					1.5	1.5			
8/19/2007	C152	N220U	UNI - UNI	0.9				10					0.9	0.9			FT
9/4/2007	P28A	N760U	UNI - UNI	1				2		1				1			
9/5/2007	P28A	N780U	UNI - UNI	1.2				2			1.2		1.2	1.2			
9/9/2007	C152	N1000U	UNI - UNI	1.2				6						1.2			FT
9/12/2007	P28A	N750U	UNI - UNI	1				2		1				1			
9/13/2007	FRASCA	142	 - 														
9/15/2007	BE-F33A	N1500U	UNI - UNI	1.4				2		1.4							
9/18/2007	BE-F33A	N1500U	UNI - UNI	1.4				4		1.4							
9/19/2007	C152	N1000U	UNI - UNI	0.6				6					0.6	0.6			FT
9/20/2007	C152	N1000U	UNI - UNI	0.8				8					0.8	0.8			FT
9/24/2007	C172	N240U	UNI - UNI	1				10						1			FT
9/25/2007	BE-F33A	N1500U	UNI - UNI	1.5		0.7	1	1		1.5							
9/28/2007	P28A	N760U	UNI - UNI	1.3				1						1.3			FT
10/1/2007	P28A	N445DH	UNI - UNI	1.3				1						1.3			FT
10/1/2007	C152	N220U	UNI - UNI	0.5				5					0.5	0.5			FT
10/2/2007	P28A	N445DH	UNI - UNI	1.2				1						1.2			FT
10/2/2007	C152	N220U	UNI - UNI	1.2				12					1.2	1.2			FT
10/3/2007	P28A	N445DH	UNI - UNI	1.2				1						1.2			FT
10/4/2007	C152	N220U	UNI - UNI	0.3				3					0.3	0.3			FT
10/9/2007	BE-F33A	N1500U	UNI - UNI	1.2				2		1.2							
10/16/2007	BE-F33A	N1500U	UNI - UNI	0.9				1		0.9							
10/20/2007	BE-F33A	N1500U	UNI - UNI	2.7				2		2.7	2.7						
10/18/2007	FRASCA	142	 - 														
10/30/2007	BE-F33A	N1500U	UNI - UNI	1.5				2		1.5							
11/6/2007	BE-F33A	N1500U	UNI - UNI	1				1		1							
11/30/2007	BE-F33A	N1500U	UNI - UNI	1				1		1							
12/6/2007	BE-F33A	N1500U	UNI - UNI	1.3				1		1.3							
1/12/2008	BE-F33A	N1500U	UNI - UNI	0.7				2		0.7							
1/16/2008	BE-F33A	N1500U	UNI - UNI	1.3				1						1.3			
2/11/2008	BE55	N800U	UNI - UNI	1				2		1							
2/15/2008	BE55	N800U	UNI - UNI	1		0.5	2	1		1							
2/18/2008	FRASCA	142	 - 														
3/14/2008	BE55	N800U	UNI - UNI	1				2		1							
4/3/2008	BE55	N800U	UNI - UNI	1.2			2	1		1.2							
4/6/2008	BE55	N800U	UNI - UNI	1.2			2	1		1.2							
4/8/2008	BE55	N800U	UNI - UNI	1.4			3	2		1.4							
4/10/2008	BE55	N800U	UNI - UNI	1.2		0.7	2	1		1.2							
4/11/2008	BE55	N800U	UNI - UNI	1.6	1		1	2		1.6	1.6						
4/15/2008	BE55	N800U	UNI - UNI	1.4			2	1		1.4							
4/17/2008	BE55	N800U	UNI - UNI	1.2		0.3	2	1		1.2							
4/18/2008	BE55	N800U	UNI - UNI	1.2		0.3	1	1		1.2							
4/22/2008	BE55	N800U	UNI - UNI	1.5				2		1.5	1.5						
4/24/2008	BE55	N800U	UNI - UNI	0.9			1	1		0.9							
4/25/2008	BE55	N800U	UNI - UNI	1.4			2	1						1.4			
8/9/2008	C172	N1742V	GQQ - GQQ	1.2		0.5	2			1.2				1.2			
9/17/2009	P28A	N760U	UNI - UNI	1.1				4		1.1				1.1			
9/24/2008	P28A	N780U	UNI - UNI	1.2				2		1.2				1.2			
9/26/2008	C172	N240U	UNI - UNI	0.6				4		0.6				0.6			
10/5/2008	C152	N1000U	UNI - UNI	1				6					1	1			FT
10/11/2008	C152	N1000U	1G3 - 1G3	1.1				8					1.1	1			FT
10/12/2008	C152	N1000U	1G3 - 1G3	1				6					1	1			FT
10/13/2008	P28A	N760U	1G3 - 1G3	1				1						1			FT
10/14/2008	P28A	N760U	1G3 - 1G3	1.1				1						1.1			FT
10/15/2008	C152	N1000U	1G3 - 1G3	1.1				7						1.1			FT
10/22/2008	P28A	N760U	UNI - UNI	0.9				1		0.9				0.9			
10/19/2008	P28A	N760U	1G3 - UNI	1.7				1			1.7			1.7			FT
10/27/2008	BE-F33A	N1500U	UNI - UNI	1				3		1				1			
10/29/2008	BE-F33A	N1500U	UNI - UNI	0.9				3		0.9				0.9			
11/10/2008	C152	N1000U	UNI - UNI	0.7				2		0.7				0.7			
11/19/2008	P28A	N730U	UNI - UNI	1				2		1				1			
11/22/2008	C172	N1742V	GQQ - GQQ	1.6		1.6	4	1		1.6				1.6			
1/22/2009	P28A	N780U	UNI - UNI	1.1				2		1.1				1.1			
1/26/2009	BE-F33A	N1500U	UNI - UNI	0.5				2		0.5				0.5			
2/6/2009	BE-F33A	N1500U	UNI - UNI	0.3				2						0.3		0.3	
2/6/2009	P28A	N730U	UNI - UNI	0.9				1						0.9		0.9	
2/17/2009	P28A	N760U	UNI - UNI	0.8		0.5	2	1		0.8				0.8			
2/21/2009	P28A	N760U	UNI - UNI	1.4			3	1		1.4				1.4			
3/16/2009	P28A	N720U	UNI - UNI	0.5					3			0.5	0.5	0.5			
3/17/2009	P28A	N720U	UNI - UNI	3							3	3		3		3	
3/31/2009	B350	N700U	UNI - UNI	0.8				3		0.8							
4/1/2009	P28A	N760U	UNI - UNI	1.4	1		1	1		1.4				1.4			
4/2/2009	P28A	N730U	UNI - UNI	1.2		0.3	1	2		1.2				1.2			
4/5/2009	C152	N1000U	UNI - UNI	1.5				7						1.5			FT
4/9/2009	C152	N220U	UNI - UNI	0.5				2						0.5		0.5	
4/1/2009	C152	N220U	UNI - UNI	1.1				2						1.1		1.1	
4/9/2009	P28A	N445DH	UNI - UNI	0.9		0.5	1	1		0.9				0.9			
4/11/2009	P28A	N730U	UNI - UNI	2.2				3			2.2			2.2			
4/13/2009	P28A	N760U	UNI - UNI	1.7	1.3		2	1		1.7	1.7			1.7			
4/16/2009	FRASCA	131	 - 														
4/19/2009	C152	N220U	UNI - UNI	0.5				5					0.5	0.5			FT
4/23/2009	P28A	N445DH	UNI - UNI	0.8				1				0.8		0.8		0.8	
4/23/2009	P28A	N780U	UNI - UNI	2.9				1				2.9		2.9		2.9	
4/25/2009	P28A	N780U	UNI - UNI	0.8				2		0.8				0.8			
4/26/2009	P28A	N730U	UNI - UNI	1.2				1						1.2			FT
4/26/2009	C152	N1000U	UNI - UNI	0.8				8					0.8	0.8			FT
4/27/2009	C152	N1000U	UNI - UNI	1.4				1						1.4		1.4	
5/4/2009	P28A	N730U	UNI - MTN	3.3	3		1	1			3.3			3.3			
5/7/2009	P28A	N760U	UNI - UNI	1.3	0.7		2	2		1.3				1.3			
5/10/2009	C152	N1000U	UNI - UNI	1				9					1	1			FT
5/10/2009	P28A	N780U	UNI - UNI	1.1				1						1.1			FT
5/14/2009	P28A	N720U	UNI - CPS	5.3							5.3			5.3		5.3	FT
5/15/2009	C152	1000U	CPS - CPS	1				5					1	1			FT
5/17/2009	C152	1000U	CPS - CPS	1				5					1	1			FT
5/17/2009	P28A	N780U	CPS - CPS	2.5										2.5		2.5	FT
5/19/2009	P28A	N780U	CPS - CPS	1.5										1.5			FT
5/20/2009	C152	N220U	CPS - CPS	0.5				2					0.5	0.5			FT
5/21/2009	C152	N220U	CPS - CPS	0.5				2					0.5	0.5			FT
5/22/2009	C152	N1000U	CPS - CPS	0.5				1						0.5			FT
5/29/2009	C152	N220U	UNI - UNI	1.3										1.3		1.3	
5/30/2009	P28A	N760U	UNI - UNI	1.5		0.5	3	1		1.5				1.5			
5/31/2009	P28A	N720U	UNI - UNI	1.1				1						1.1		1.1	
6/1/2009	P28A	N740U	UNI - UNI	0.7										0.7		0.7	
6/2/2009	P28A	N740U	UNI - UNI	0.7		0.3		1		0.7				0.7			
6/5/2009	P28A	N750U	UNI - UNI	1				1						1		1	
6/5/2009	C152	N220U	UNI - UNI	1.4				1						1.4		1.4	
6/10/2009	B350	N700U	UNI - UNI	1.3						1.3	1.3						
6/16/2009	P28A	N720U	UNI - UNI	1.6		0.4	3	1						1.6			CFII CHECKRIDE
6/22/2009	C152	N1000U	UNI - UNI	0.6				2						0.6			
6/22/2009	P28A	N750U	UNI - UNI	1.6										1.6		1.6	
6/22/2009	P28A	N750U	UNI - UNI	1.2										1.2		1.2	
6/23/2009	P28A	N740U	UNI - UNI	2.6										2.6		2.6	
6/24/2009	B350	N700U	UNI - UNI	2.8						2.8	2.8	1.3					
6/25/2009	C172	N240U	UNI - UNI	1.3				1						1.3		1.3	
6/29/2009	P28A	N750U	UNI - UNI	0.8										0.8		0.8	
6/30/2009	P28A	N740U	UNI - UNI	1.6				1						1.6		1.6	
6/30/2009	P28A	N780U	UNI - UNI	1.5				2			1.5			1.5			
7/1/2009	P28A	N740U	UNI - UNI	2.9	2.3						2.9			2.9		2.9	
7/6/2009	P28A	N730U	UNI - UNI	1.3										1.3		1.3	
7/7/2009	P28A	N445DH	UNI - UNI	1										1		1	
7/7/2009	P28A	N445DH	UNI - UNI	1										1		1	
7/8/2009	P28A	N720U	UNI - UNI	1.1										1.1		1.1	
7/8/2009	P28A	N750U	UNI - UNI	1.5				1						1.5		1.5	
7/8/2009	P28A	N750U	UNI - UNI	3					1		2	3		3		3	
7/9/2009	P28A	N760U	UNI - UNI	1.5				1						1.5		1.5	
7/10/2009	P28A	N760U	UNI - UNI	1										1		1	
7/15/2009	B350	N700U	UNI - UNI	2.8				1		2.8	2.8				2.8		UNI->IAD->UNI
7/16/2009	P28A	N750U	UNI - UNI	1.3	0.1		1	1			1.3			1.3		1.3	
7/17/2009	P28A	N730U	UNI - UNI	1.4	0.1		1	1			1.4			1.4		1.4	
7/20/2009	B350	N700U	UNI - UNI	2						2	2				2		UNI->BKL->UNI
7/22/2009	P28A	N780U	UNI - UNI	1.6	0.6		2	2			1.6			1.6		1.6	
7/23/2009	P28A	N780U	UNI - UNI	2.2	2.1		2	1			2.2			2.2		2.2	
7/24/2009	P28A	N780U	UNI - UNI	2.6				1			2.6			2.6		2.6	
7/27/2009	P28A	N760U	UNI - UNI	1				1						1		1	
8/3/2009	C152	N220U	UNI - UNI	0.5										0.5		0.5	
8/5/2009	P28A	N720U	UNI - UNI	1.7	1.7		1	1			1.7			1.7		1.7	
8/6/2009	P28A	N730U	UNI - UNI	1.1										1.1		1.1	
8/6/2009	P28A	N730U	UNI - UNI	1										1		1	
8/10/2009	B350	N700U	UNI - UNI	1.3						1.3	1.3				1.3		UNI->CMH->UNI
8/10/2009	B350	N700U	UNI - UNI	1.1						1.1	1.1				1.1		UNI->CMH->UNI
8/13/2009	P28A	N445DH	UNI - UNI	1.1				1						1.1		1.1	
8/13/2009	P28A	N730U	UNI - UNI	1										1		1	
8/14/2009	P28A	N445DH	UNI - UNI	1.3										1.3		1.3	
8/17/2009	B350	N700U	UNI - UNI	2.5						2.5	2.5	1.3			2.5		UNI->JHW->UNI
8/17/2009	P28A	N445DH	UNI - UNI	1.1				1						1.1		1.1	
