Date	Type	Plane	Route	Remarks	Flying	Approaches	Day Landings	Night Landings	Cross Country	Night	Actual Instrument	Simulated Instrument	Dual Given	Solo	Dual Received	PIC	Total						
2/14/2006	PA28R-201	N518MW	KELN - KELN	"Jepp. Comm. Syl. Flt #48A Complete, Steep Turns, Shorts / Softs T/O & Lndgs, Emergency Descent"			5								1.4	1.2	1.4						
2/15/2006	PA28R-201	N807MS	KELN - KELN	"Jepp. Comm. Syl. Flt #48B Complete, Slow FLT, Steep Turns, Simulated Engine Out Proc. Short / Soft T/O & Normal Lndgs"			6								1.4	1.3	1.4						
2/18/2006	PA28R-201	N514MS	KELN - KELN	"Jepp. Comm. Syl. Flt #49 Complete, SL FLT, Stalls, Engine Out Proc. Lndgs, Go Around"			3					0.4			1.7	1.5	1.7						
2/24/2006	PA28R-201	N514MS	KELN - 80T - KELN	"Jepp. Comm. Syl. Flt #50 Complete, Short & Soft T/Os & Lndgs, Cruise Proc. Auto Pilot, HIS"			5								1.6	1.4	1.6						
2/25/2006	PA28R-201	N514MS	KELN - KELN	"Jepp. Comm. Syl. Flt #66 Complete, Stalls, SL Flt, BAI, Unusual Att. Rec. LNDGS "	H T	1	3					0.4			1.3	1.1	1.3						
2/28/2006	PA28R-201	N807MS	KELN - KELN	"Jepp. Comm. Syl. Flt #67 Complete, Stage V Check Satisfactory"			3					0.4			1.2	1.1	1.2						
3/1/2006	C-152	N5366M	KELN - KELN	"Jepp. Comm. Syl. Flt #68A Complete, Lazy 8s, Chandelles, Steep Turns, Stalls, Lndgs"			3								1.2	1.2	1.2						
3/1/2006	C-152	N95606	KELN - KELN	"Jepp. Comm. Syl. Flt #70 Incomplete, Lazy 8s, Chandelles, Lndgs"			7							1.1		1.1	1.1						
3/3/2006	C-152	N5499Q	KELN - KELN	"Jepp. Comm. Syl. Flt #70 Complete, Chandelles, 8s on Pylons,  X-Wind Lndgs"			3							1.1		1.1	1.1						
3/4/2006	C-152	N95539	KELN - KELN	"Jepp. Comm. Syl. Flt #69A Complete, Chandelles, Lazy 8s, Steep Spiral, Soft T/O & Lndgs, Go Around"			4								1.5	1.4	1.5						
3/7/2006	C-152	N5366M	KELN - KELN	"Jepp. Comm. Syl. Flt #71 Incomplete, Lndgs"			3							0.5		0.5	0.5						
3/9/2006	C-152	N5366M	KELN - KELN	"Jepp. Comm. Syl. Flt #71 Complete, Lazy 8s, Normal & Soft T/O & Lndgs, Go Around"			6							1.4		1.4	1.4						
3/10/2006	C-152	N5366M	KELN - KELN	"Jepp. Comm. Syl. Flt #73 Incomplete, 8's on Pylons, Normal T/O & Lndgs"			8							1.2		1.2	1.2						
3/11/2006	C-152	N95429	KELN - KELN	"Jepp. Comm. Syl. Flt #73 Complete, Steep Spirals, Chandelles, Normal T/O & Lndgs, Soft Lndgs"			8							1.2		1.2	1.2						
3/12/2006	C-152	N95429	KELN - KELN	"Jepp. Comm. Syl. Flt #74 Incomplete, Steep Spirals, 8's on Pylons, Normal T/O & Lndgs"			8							1.2		1.2	1.2						
3/13/2006	C-152	N95429	KELN - KELN	"Jepp. Comm. Syl. Flt #72 Complete, Lazy 8's, Steep Spirals, Power Off 180"			4								1.4	1.4	1.4						
3/15/2006	C-152	N5499Q	KELN - KELN	"Jepp. Comm. Syl. Flt #76 Incomplete, 8's on Pylons, Engine Out Proc. Steep Spirals, Lndgs"			4								1.3	1.3	1.3						
3/15/2006	C-152	N95539	KELN - KELN	"Jepp. Comm. Syl. Flt #74 Complete, Normal T/O & Lndgs, Pattern Ops, Go Around"			9							1.3		1.3	1.3						
3/17/2006	C-152	N95995	KELN - KELN	"Jepp. Comm. Syl. Flt #75 Complete, Normal T/O & Lndgs, Power Off 180, Soft T/O & Lndg, Go Around"			7							1.1		1.1	1.1						
3/17/2006	C-152	N95995	KELN - KELN	"Jepp. Comm. Syl. Flt #76 Complete, Power Off 180, Lndgs"			8								1.4	1.4	1.4						
3/17/2006	C-152	N95606	KELN - KELN	"Jepp. Comm. Syl. Flt #77 Complete, Short T/O & Lndgs, Soft T/O & Lndgs"			8								1.3	1.3	1.3						
3/19/2006	C-172	N2383Q	KPSC - KRLD - KPSC	"Normal T/Os & Lndgs, Pattern Ops, Go Arounds"			5							1.0		1.0	1.0						
3/20/2006	C-172	N426SK	KPSC - KPSC	"Scenic Flight, Radio Comm. Pattern Ops."			1							0.9		0.9	0.9						
3/22/2006	BE-S35	N5840S	KPSC - KPSC	"Normal Procedures, Slow Flt. Power Off Stalls, Systems, TaLs"			5								1.2	1.2	1.2						
3/23/2006	BE-S35	N5840S	KPSC - KPSC	"Emerg. Proc. Fires, Eng. Failures, Forced Ldg. Slow Flt, Stalls, Emerg. Gear Ext. TaLs, Go Around"			5								1.3	1.3	1.3						
3/28/2006	PA28R-201	N514MS	KELN - KELN	"Jepp. Comm. Syl. Flt #78 Incomplete, SL Flt, Stalls, Steep Turns, Engine Out Proc. Lndgs"			4								1.3	1.3	1.3						
3/30/2006	PA28R-201	N514MS	KELN - KELN	"Jepp. Comm. Syl. Flt #78 Complete, Lazy 8's, Chandelles, Steep Turns, Shorts/Softs T/O & Lndgs, Engine Out Proc."			5								1.3	1.2	1.3						
4/9/2006	PA28R-201	N514MS	KELN - KELN	"Jepp. Comm. Syl. Flt #79 Incomplete, Auto Pilot, Chandelles, Normal T/Os & Lndgs"			5							1.2		1.2	1.2						
4/13/2006	PA28R-201	N514MS	KELN - KELN	"Jepp. Comm. Syl. Flt #79 Complete, GPS Ops, Lazy 8's, Chandelles, Lndgs, Go Around"			6							1.5		1.5	1.5						
4/18/2006	PA28R-201	N518MW	KELN - KELN	"Jepp. Comm. Syl. Flt #80 Incomplete, Auto Pilot, Steep Turns, Normal T/Os & Lndgs"			5							1.2		1.2	1.2						
4/20/2006	PA28R-201	N514MS	KELN - KELN	"Jepp. Comm. Syl. Flt #78 Complete, Chandelles, Steep Turns, Steep Spiral, Shorts/Softs T/O & Lndgs"			7								1.5	1.5	1.5						
4/23/2006	PA28R-201	N518MW	KELN - KELN	"Jepp. Comm. Syl. Flt #80 Complete, Chandelles, Lazy 8's, Go Around, Lndg"			1							0.8		0.8	0.8						
4/25/2006	PA28R-201	N514MS	KELN - KELN	"Jepp. Comm. Syl. Flt #83 Incomplete, 8s on Pylons, Steep Spiral, Short T/O & Lndgs, Soft T/O & Lndgs"			6								1.3	1.3	1.3						
4/27/2006	PA28R-201	N518MW	KELN - KELN	"Jepp. Comm. Syl. Flt #68B GPS-29 App, Missed, Hold, VOR-A @ ELN, 10 DME Arc, Auto Pilot"	H T	2	1					0.9			1.3	1.2	1.3						
5/2/2006	PA28R-201	N518MW	KELN - KELN	"Jepp. Comm. Syl. Flt #81 Complete, Lazy 8s, 8s on Pylons, Short T/O & Lndgs, Soft T/O & Lndgs, Go Around, Autopilot"			6							1.4		1.4	1.4						
5/3/2006	PA28R-201	N807MS	KELN - KELN	"Jepp. Comm. Syl. Flt #83 Complete, Shorts/Softs T/O & Lndgs, Pwr Off 180s, Go Around"			8								1.1	1.0	1.1						
5/4/2006	PA28R-201	N807MS	KELN - KELN	"Jepp. Comm. Syl. Flt #84 Incomplete, Steep Turns, Steep Spiral, Lazy 8s, Chandelles, Short/Soft T/O, Soft Field Lndgs"			2								1.6	1.4	1.6						
5/9/2006	PA28R-201	N514MS	KELN - KELN	"Jepp. Comm. Syl. Flt #84 Incomplete, Lazy 8s, 8s on Pylons, Short/Soft T/Os, Soft Field Lndgs, Power Off 180s"			6								1.5	1.5	1.5						
5/11/2006	PA28R-201	N518MW	KELN - KELN	"Jepp. Comm. Syl. Flt #84 Complete, Shorts/Softs/Power Off 180s, 8s on Pylons, Go Arounds"			7								1.4	1.3	1.4						
5/13/2006	PA28R-201	N514MS	KELN - S97 - KELN	"Jepp. Comm. Syl. Flt #82 Complete, VFR X-C, Diversion, Lost Proc, GPS Nav, Auto Pilot"			3		2.2						2.2	2.1	2.2						
5/17/2006	PA28R-201	N518MW	KELN - KELN	"Jepp. Comm. Syl. Flt #85 Incomplete, Lazy 8s, Chandelles, Short T/O & Lndgs, Soft T/O & Lndgs, Go Around"			7								1.6	1.5	1.6						
5/18/2006	PA28R-201	N518MW	KELN - KELN	"Jepp. Comm. Syl. Flt #85 Incomplete, Shorts/Softs/Power Off 180 Accuracy Lndgs, Go Arounds"			7								1.3	1.1	1.3						
5/23/2006	PA28-161	N234SR	KELN - KELN	"Jepp. Comm. Syl. Flt #69B Complete, VOR-B ARC @ ELN, Partial Panel, Hold, Missed, IPC Complete Satisfactory"	H T I	1	1					1.0			1.3	1.2	1.3						
5/31/2006	PA28R-201	N518MW	KELN - KELN	"Jepp. Comm. Syl. Flt #85 Incomplete, Steep Turns, Chandelles, Steep Spiral, Shorts/Softs T/O & Lndgs, 180s"			6								1.3	1.2	1.3						
6/1/2006	PA28R-201	N807MS	KELN - KELN	"Jepp. Comm. Syl. Flt #85 Complete, Steep Turns, Chandelles, Lazy 8s, Steep Spiral, Emergency Descent, 8s on Pylons, Pwr Off 180s, Shorts/Softs T/O & Lndgs"			4								1.3	1.3	1.3						
6/9/2006	PA28R-201	N807MS	KELN - KELN	"Review, Lazy 8s, Chandelles, Steep Spiral, Engine Out Proc. Short T/O & Lndgs, Soft T/O & Lndgs"			2								1.6	1.4	1.6						
6/12/2006	C-182	N1090M	KPSC - KPSC	"TaLs, High Performance Ops."			8								1.1	1.1	1.1						
6/14/2006	PA28R-201	N518MW	KELN - KELN	"Review, Short T/O & Lndgs, Soft T/O & Lndgs, Power Off 180s, Go Around"			8								1.1	1.0	1.1						
6/15/2006	C-182	N1090M	KPSC - KPDX - KELN - KPSC	"Portland Intl. NAV. & Ops, Canyon Flying, Pilotage, Dead Reckoning, & High Performance Ops."			3		4.1							4.1	4.1						
6/16/2006	PA28R-201	N518MW	KELN - KELN	"Review, Chandelles, Lazy 8s, Steep Spiral, Shorts/Softs, Pwr Off 180, Go Around"			7								1.5	1.4	1.5						
6/21/2006	PA28R-201	N518MW	KELN - KELN	"Review, Shorts/Softs/Power Off 180s, Go Around"			6								0.8	0.8	0.8						
6/22/2006	PA28R-201	N514MS	KELN - KELN	"Jepp. Comm. Syl. Flt #86 Complete, Stage VI Check Satisfactory"			3								1.3	1.3	1.3						
6/28/2006	PA28R-201	N807MS	KELN - KELN	"Review, Shorts/Soft T/O & Lndgs, Pwr Off 180s, Go Around"			5								1.0	1.0	1.0						
7/2/2006	C-172	N2383Q	KPSC - KPSC	"Local Scenic Flight, Pilotage"			1							1.1		1.1	1.1						
7/4/2006	PA28R-201	N518MW	KELN - KELN	"Review, Soft T/O & Lndgs, Short T/O & Lndgs, Pwr Off 180, SL Flt, Steep Turns, Lazy 8s, Go Around"			5								1.4	1.4	1.4						
7/10/2006	PA28R-201	N518MW	KELN - KYKM -KELN	"Review Shorts/Softs/Pwr Off 180, X-C Proc. Diversion, Go Arounds"			5								1.5	1.5	1.5						
7/11/2006	PA28R-201	N514MS	KELN - KELN	"Jepp. Comm. Syl Flt #87 Complete, Commercial Pilot (ASEL)"	P		4								1.8	1.7	1.8						
7/14/2006	C-172	N19859	KELN - KRLD	"Flight back to the Tri-Cities from Ellensburg, X-C Proc."			1		1.0							1.0	1.0						
7/19/2006	PA44-180	N336PA	KELN - KELN	"Jepp. M/E Syl Flt #1 Complete, Intro to Twin Ops, SL Flt, Stalls, Emerg. Descent, Pre-flight, Checklist, Lndgs"			3								1.2		1.2						
7/20/2006	PA44-180	N336PA	KELN - KELN	Jepp. M/E Syl Flt #2 Complete			4								1.3		1.3						
7/24/2006	PA44-180	N336PA	KELN - KELN	Jepp. M/E Syl Flt #3 Complete				3		1.3		0.3			1.3		1.3						
7/26/2006	PA44-180	N336PA	KELN - KELN	"Jepp. M/E Syl Flt #4 Complete, Stage I Check Complete"			3					0.2			1.1		1.1						
7/27/2006	C-182	N1090M	KPSC - KVUO	"Portland Class C Ops, Uncontrolled field Ops, Pilotage, GPS NAV"			1		1.9							1.9	1.9						
7/28/2006	C-182	N1090M	KVUO - KPSC	"Pilotage, GPS NAV, Canyon Flying, Class C Satellite Airport Ops."			1		1.5							1.5	1.5						
7/31/2006	PA44-180	N336PA	KELN - KELN	Jepp. M/E Syl Flt #5 Complete			1								1.1		1.1						
8/7/2006	PA44-180	N336PA	KELN - KELN	Jepp. M/E Syl Flt #6 Incomplete			3								1.3		1.3						
8/12/2006	PA44-180	N336PA	KELN - KOTH	Jepp. M/E Syl Flt #7 Complete	H T	1	1		2.6			1.5			2.6		2.6						
8/12/2005	PA44-180	N336PA	KOTH - KELN	Jepp. M/E Syl Flt #8 Complete				1	2.5	2.5		2.0			2.5		2.5						
8/14/2006	PA44-180	N336PA	KELN - KELN	"Jepp. M/E Syl Flt #6 Complete, Vmc Demo, Stalls, Steep Turns, SE App."			3								1.3		1.3						
8/16/2006	PA44-180	N336PA	KELN - KELN	"Jepp. M/E Syl Flt #9 Complete, Stg. II Check Complete"			3								1.1		1.1						
8/17/2006	PA44-180	N336PA	KELN - KELN	"Jepp. M/E Syl Flt #11 Incomplete, GPS 2-Eng. VOR-A 1-Eng. Circle to Land"	H T	2	2					0.8			1.3		1.3						
8/18/2006	PA44-180	N336PA	KELN - KELN	"Jepp. M/E Syl Flt #11 Incomplete, VOR-A @ ELN"	H T	2	1					0.7			1.1		1.1						
8/21/2006	FRASCA	242	ELN	"BAI, VOR-B SE, VOR-A SE, Missed SE, Hold"	H T										1.2								
8/23/2006	FRASCA	242	ELN	"2 Engine ILS, SE ILS, Missed App. Proc. SE Procedures"	H T										0.9								
8/24/2006	FRASCA	242	ELN	"SE VOR-A ARC @ ELN, Missed, Hold"	H T										0.7								
8/25/2006	PA44-180	N336PA	KELN - KYKM -KELN	"Jepp. M/E Syl Flt #11 Complete, ILS PT, SE ILS @ YKM, GPS 29 @ ELN, Circle to Land"	H T	3	3					1.1			1.5		1.5						
8/28/2006	PA44-180	N336PA	KELN - KYKM -KELN	"Jepp. M/E Syl Flt #12 Incomplete, 2 Eng. ILS, SE ILS,Circle to Land, VOR-B @ ELN, Circle to Land"	H T	3	3					1.1			1.5		1.5						
8/30/2006	PA44-180	N336PA	KELN - KYKM -KELN	"Jepp. M/E Syl Flt #12 Incomplete, SE ILS PT, Straight In Lndg, Vect. ILS, Circle Rwy 22"	H T	2	3					1.2			1.7		1.7						
9/3/2006	PA44-180	N336PA	KELN - KYKM -KELN	"Jepp. M/E Syl Flt #12 Complete, SE ILS, Straight In, Circle To Land"	H T	2	3					0.8			1.4		1.4						
9/4/2006	FRASCA	242	ELN	"Review, SE App. Proc. PT ILS 27 @ YKM, Vect to Final 27, Missed SE"	H T										0.9								
9/4/2006	PA44-180	N336PA	KELN - KELN	"Review, VOR-A Arc, Missed, VOR-B PT, Circle to Land"	H T	2	1					0.6			0.9		0.9						
9/8/2006	PA44-180	N336PA	KELN - KYKM -KELN	"Jepp. M/E Syl Flt #13 Complete, Stg. III Check Satisfactory"	H T	4	2					1.5			2.0		2.0						
9/11/2006	PA44-180	N336PA	KELN - KELN	"Review, Steep Turns, SL FLT, Stalls, Vmc Demo, Shorts, Engine Failure, SE App."			2								1.1		1.1						
9/13/2006	PA44-180	N336PA	KELN - KELN	"Jepp. M/E Syl. Flt #14 Incomplete, Stg. III EOC Check Unsatisfactory"	H T	2	3					0.6			1.4		1.4						
9/18/2006	PA44-180	N336PA	KELN - KELN	"Jepp. M/E Syl. Flt #14 Complete, Stg. III EOC Check Satisfactory"	H T	1	1					0.3			0.7		0.7						
9/23/2006	PA44-180	N336PA	KELN - KELN	"M/E Rating Checkride Satisfactory, SL FLT, Stalls, Short Takeoff & Lndg, Engine Out Proc."	H T P 	1	3					0.3				1.1	1.1						
9/26/2006	C-152	N5366M	KELN - KELN	Jepp. CFI Syl Flt #1 Incomplete			5								1.2	1.2	1.2						
9/27/2006	C-152	N95606	KELN - KELN	Jepp. CFI Syl Flt #1 Complete			6								1.4	1.4	1.4						
10/4/2006	C-152	N95995	KELN - KELN	Jepp. CFI Syl Flt #2 Complete			4					0.2			1.5	1.5	1.5						
10/5/2006	C-152	N95539	KELN - KELN	Jepp. CFI Syl Flt #3 Complete			4								1.6	1.6	1.6						
10/10/2006	C-152	N95606	KELN - KELN	Jepp. CFI Syl Flt #5 Complete			5								1.1	1.1	1.1						
10/11/2006	C-152	N95606	KELN - 80T - KELN	Jepp. CFI Syl Flt #4 Complete			3					0.1			1.3	1.3	1.3						
10/16/2006	C-152	N5499Q	KELN - KELN	Jepp. CFI Syl Flt #6 Incomplete			2								1.1	1.1	1.1						
10/28/2006	C-152	N95995	KELN - KELN	Jepp. CFI Syl Flt #6 Incomplete			4					0.2			1.5	1.5	1.5						
11/8/2006	C-152	N5366M	KELN - KELN	Jepp. CFI Syl Flt #6 Incomplete			5					0.3			1.4	1.4	1.4						
11/9/2006	C-152	N5366M	KELN - KELN	Jepp. CFI Syl Flt #6 Complete			3								1.3	1.3	1.3						
11/10/2006	PA34-200T	N7609C	KPSC - KPSC	"360s, MCA, Power Off Stalls, Climbing and Descending Turns, TaLs"			4								1.3	1.3	1.3						
11/15/2006	C-152	N5499Q	KELN - KELN	Jepp. CFI Syl Flt #7 Incomplete			5								1.0	1.0	1.0						
11/17/2006	C-152	N95606	KELN - KELN	Jepp. CFI Syl Flt #7 Incomplete			6					0.2			1.5	1.5	1.5						
11/17/2006	PA34-200T	N7609C	KPSC - KPSC	"Lost Engine Procedures, Engine Shutdown & Restart, Steep 360s, TaLs"			3								1.3	1.3	1.3						
11/22/2006	PA34-200T	N7609C	KPSC - KELN - KPSC	X-Country			2		1.8						1.8	1.8	1.8						
11/24/2006	PA34-200T	N7609C	KPSC - KPSC	"3 ILS Apps, Engine Failure SE App. 2 VOR 21R Apps."	H T	5	1					1.6			1.8	1.8	1.8						
12/4/2006	PA34-200T	N7609C	KPSC - KPSC	TaLs			12								1.4	1.4	1.4						
12/5/2006	PA34-200T	N7609C	KPSC - KPSC	"Engine Feather & Restart, ILS 21R Apps."	H T	4	1					1.3			1.9	1.9	1.9						
12/12/2006	PA34-200T	N7609C	KPSC - KPSC	Local Scenic			1								1.3	1.3	1.3						
12/21/2006	C-152	N5499Q	KELN - KELN	"Review, Stalls, Slow FLT, Steep Turns, Lazy 8s, Chandelles"			4								1.6	1.6	1.6						
12/27/2006	PA34-200T	N7609C	KPSC - KPSC	"Slow FLT, Power Off Stalls, Steep Turns, Emergency Ldg Gear Ext. TaLs"			3								1.3	1.3	1.3						
12/28/2006	PA34-200T	N7609C	KPSC - KALW - KPSC	"ILS Rwy 20 KALW, ILS 21R KPSC, TaLs"	H T	3	3					1.2			1.4	1.4	1.4						
12/29/2006	PA34-200T	N7609C	KPSC - KELN - KPSC	X-Country			2		1.9						1.9	1.9	1.9						
1/3/2007	FRASCA	242	ELN	LOFT 1 YKM - GROMO 2 - ILS - HOLD - YKM	H T										1.7								
1/4/2007	C-152	N95606	KELN - KELN	"Review, Steep Turns, Stalls, Lazy 8s, Short & Soft Field TaLs"			4					0.2			1.4	1.4	1.4						
1/5/2007	C-152	N95995	KELN - KELN	Jepp. CFI Syl Flt #7 Complete			4								1.7	1.7	1.7						
1/10/2007	C-152	N95429	KELN - KELN	"Review, Steep Turns, Lazy 8s, Chandelles"			5								1.4	1.4	1.4						
1/16/2007	C-152	N5366M	KELN - KELN	"Jepp. CFI Syl Flt #8 Complete, CFI Stg 1 Complete"			4								1.3	1.2	1.3						
1/17/2007	FRASCA	242	ELN	LOFT 4 YKM - PELLY - ILS - HOLD - MWH	H T										1.9								
1/23/2007	C-152	N5499Q	KELN - KELN	"Jepp. CFI Syl Flt #13 Complete, Spin Entry, Spins, Spin Recovery"			2								1.0	1.0	1.0						
1/23/2007	FRASCA	242	ELN	LOFT 5 YKM - VOR app. PSC - ILS app. MQG	H T										1.8								
1/29/2007	FRASCA	242	ELN	LOFT 7 OLM - NDB app. PWT - RNAV - ILS CLM	H T										1.7								
1/31/2007	FRASCA	242	ELN	LOFT 9 PAE - NDB app. BLI - ILS SEA	H T										1.9								
2/4/2007	PA28R-201	N514MS	KELN - KELN	"Jepp. CFI Syl Flt #9 Complete, Slow Flt, Steep Turns, TaLs"			4								1.0	1.0	1.0						
2/9/2007	PA28R-201	N514MS	KELN - KELN	Jepp. CFI Syl Flt #10 & #11 Complete			4								1.7	1.7	1.7						
2/16/2007	PA28R-201	N514MS	KELN - KELN	Jepp. CFI Syl Flt #15 Incomplete			4								1.4	1.4	1.4						
2/20/2007	PA28R-201	N514MS	KELN - KELN	Jepp. CFI Syl Flt #12 Complete			2					0.2			1.5	1.5	1.5						
2/21/2007	PA28R-201	N518MW	KELN - KELN	Jepp. CFI Syl Flt #14 Complete			4								1.3	1.3	1.3						
