Date	Route	Type	Plane	Remarks	Cross Country	Actual Instrument	Simulated Instrument	Dual Received	Dual Given	PIC	Total	Approaches	Simulator	TAA	Solo
6/5/2008	KORL-KFXE	C172	684JB	safety pilot for Fabio da Silva	2.3	0	0	0	0	2.3	2.3	0	0	2.3	0
5/29/2008	KORL-KLEE-KORL	C172	684JB	"2 GPS KLEE, 1 ILS KORL, IFR practical test - passed!  Instrument Rated!  Phil Greco 1550189 exp 6/30/08"	0	0	1.7	0	0	2	2	3	0	2	0
5/28/2008	KORL-korl	C172	684JB	"hold, 1 ILS, 1 GPS at ORL"	0	0	1.4	1.7	0	1.7	1.7	2	0	1.7	0
5/27/2008	KORL-korl	C172	684JB	"hold, 1 ils, 1 loc, 1 gps KORL"	0	0.3	1.4	1.8	0	1.8	1.8	3	0	1.8	0
5/26/2008	KORL-KORL	C172	684JB	"hold mambo, 2 rnav klee 1 PP, 2 ILS KORL"	0	0	1.9	2.3	0	2.3	2.3	4	0	2.3	0
5/19/2008	KORL-KCRG-KSAV-KORL	C172	684JB	"inst x-country, 1 ils SAV, 1 RNAV CRG, 1 LOC/BC ORL"	5.2	2.1	2.5	5.2	0	5.2	5.2	3	0	5.2	0
5/19/2008	KORL-ksfb-korl	C172	684JB	"holding and approaches, partial panel, 1 ILS, 2 BC, 1 hold"	0	0	1.4	1.7	0	1.7	1.7	3	0	1.7	0
5/13/2008	KORL-KORL	C172	684JB	Stage Check	0	0	1	1.6	0	1.6	1.6	3	0	1.6	0
5/13/2008	korl-ksfb-korl	C172	684JB	ILS approaches	0	0	1.1	1.3	0	1.3	1.3	3	0	1.3	0
5/12/2008	korl-ksfb-korl	C172	60603	LOC approaches	0	0	1.2	1.5	0	1.5	1.5	3	0	1.5	0
5/11/2008	korl-ksgj-korl	C172	60603	IFR X-country	2.4	0.6	1.5	2.4	0	2.4	2.4	3	0	2.4	0
5/11/2008	KORL-klee-ksfb-korl	C172	60603	GPS approaches	0	1.1	0	1.5	0	1.5	1.5	3	0	1.5	0
5/7/2008	korl-korl	C172	60603	"holds, approaches, 1 ils, 3 holds"	0	0	1.3	1.6	0	1.6	1.6	0	0	1.6	0
5/6/2008	korl-klal-kism-korl	C172	60603	"VOR approaches, x-c procedures, 1 VOR LAL, 1 VOR ISM, 1 ILS ORL"	0	0	2	2.4	0	2.4	2.4	3	0	2.4	0
4/28/2008	KORL-KORL	C172	684JB	IFR Stage Check	0	0	0.6	0.9	0	0.9	0.9	0	0	0.9	0
4/28/2008	korl-korl	C172	684JB	"BAI, partial panel, DME arcs"	0	0	1.1	1.3	0	1.3	1.3	0	0	1.3	0
4/23/2008	KORL-KORL	C172	60603	"BAI, partial panel, steep turns, slow flt"	0	0	1.3	1.7	0	1.7	1.7	0	0	1.7	0
4/19/2008	KORL-korl	C172	684JB	VFR maneuvers	0	0	0	1.6	0	1.6	1.6	0	0	1.6	0
4/15/2008	KORL-klee-korl	C172	60603	Check Ride for Private Pilot - Passed!	0	0	0	0	0	1.7	1.7	0	0	1.7	0
4/10/2008	KORL-KORL	C172	60603	apopka and back	0	0	0	0	0	0.9	0.9	0	0	0.9	0.9
4/9/2008	KORL-KORL	C172	60603	mock check ride w/ Richard	0	0	0.2	1.6	0	0	1.6	0	0	1.6	0
4/8/2008	KORL-korl	C172	60603	x-wind landings	0	0	0	0.7	0	0	0.7	0	0	0.7	0
4/3/2008	KORL-korl	C172	60603	"bei, emerg. procedures, stalls, slow flight"	0	0	1	1.2	0	0	1.2	0	0	1.2	0
4/1/2008	KORL-KORL	C172	60603	"slow flight, stalls, unusual attitudes"	0	0	0.8	1	0	0	1	0	0	1	0
3/28/2008	KORL-KORL	C172	60603		0	0	0	0	0	1.5	1.5	0	0	1.5	1.5
3/27/2008	KORL-KOCF-KGNV-KORL	C172	60603	2nd solo x-country	2.6	0	0	0	0	2.6	2.6	0	0	2.6	2.6
3/26/2008	KORL-KOCF-KGNV-KORL	C172	684JB	1st solo x-country	2.4	0	0	0	0	2.4	2.4	0	0	2.4	2.4
3/26/2008	KORL-KXFL-KORL	C172	60603	night x-country	1.7	0	0	1.7	0	0	1.7	0	0	1.7	0
3/25/2008	KORL-KORL	C172	60603	night t/o landings	0	0	0	1.5	0	0	1.5	0	0	1.5	0
3/25/2008	KORL-KORL	C172	60603	x-wind landings	0	0	0	0.8	0	0	0.8	0	0	0.8	0
3/22/2008	KORL-KORL	C172	60603	landings	0	0	0	1.1	0	0	1.1	0	0	1.1	0
3/22/2008	KORL-KORL	C172	60603	landings	0	0	0	1.2	0	0	1.2	0	0	1.2	0
3/17/2008	KORL-KOCF-KGNV-KORL	C172	60603	x-c work	2.4	0	0	2.4	0	0	2.4	0	0	2.4	0
3/13/2008	KORL-KORL	C172	60603	"around lake Apopka, x-wind lndg"	0	0	0	0	0	1.5	1.5	0	0	1.5	1.5
3/13/2008	KORL-KORL	C172	60603	x-wind lndgs	0	0	0	1.2	0	0	1.2	0	0	1.2	0
3/11/2008	KORL-KORL	C172	60603	"stalls, slow flight, demo stalls"	0	0	0	1.4	0	0	1.4	0	0	1.4	0
3/11/2008	KORL-KORL	C172	60603	x-wind landings	0	0	0	1.2	0	0	1.2	0	0	1.2	0
3/10/2008	KORL-KORL	C172	60603	"VOR nav, stalls, Bai"	0	0	0.5	1.5	0	0	1.5	0	0	1.5	0
3/10/2008	KORL-KORL	C172	60603	"short and soft, crosswind"	0	0	0	1	0	0	1	0	0	1	0
3/6/2008	KORL-KORL	C172	60603	short and softs	0	0	0	1.5	0	0	1.5	0	0	1.5	0
3/5/2008	KORL-KGNV-KLEE-KORL	C172	684JB	"crosscountry to gainsville, landings"	2.6	0	0	2.6	0	0	2.6	0	0	2.6	0
3/4/2008	KORL-KORL	C172	60603	"landings soft, short, crosswind"	0	0	0	1.2	0	0	1.2	0	0	1.2	0
2/28/2008	KORL-KORL	C172	60603	"landings short/soft, t/o short, soft, slow flight, stalls, steep turns, emergencies"	0	0	0	1.9	0	0	1.9	0	0	1.9	0
2/25/2008	KORL-KORL	C172	684JB	1st solo in a long time	0	0	0	0	0	0.7	0.7	0	0	0.7	0.7
2/25/2008	KORL-KORL	C172	684JB	landing	0	0	0	0.6	0	0	0.6	0	0	0.6	0
2/23/2008	KORL-KORL	C172	684JB	landings	0	0	0	0.5	0	0	0.5	0	0	0.5	0
2/22/2008	KORL-KORL	C172	684JB	"slow flight, stalls, bai, unusual att."	0	0	0	1.4	0	0	1.4	0	0	1.4	0
2/21/2008	KORL-KORL	C172	60603	"slow flight, stalls, ground ref"	0	0	0	1.3	0	0	1.3	0	0	1.3	0
2/20/2008	KORL-KORL	C172	60603	"T/P work, landings"	0	0	0	1.1	0	0	1.1	0	0	1.1	0
2/19/2008	KORL-KORL	C172	60603	"stalls, slow flight, steep turns"	0	0	0	1.1	0	0	1.1	0	0	1.1	0
2/13/2008	KORL-KORL	C172	2409E	"traffic pattern, t/go, 7 lngs, xwind ldg"	0	0	0	1.1	0	0	1.1	0	0	1.1	0
2/5/2008	KORL-KORL	C172	2409E	"s-turns, turns about pt, emgy lng, t/o and lndg, steep turns"	0	0	0.2	1.4	0	0	1.4	0	0	1.4	0
1/31/2008	KORL-KORL	C172	2409E	"turns about pt, s-turns, hood work st/lvl/turns"	0	0	0.3	1.1	0	0	1.1	0	0	1.1	0
1/30/2008	KORL-KORL	C172	2409E	"pwr off stall, pwr on stall, traffic pattern"	0	0	0	1.4	0	0	1.4	0	0	1.4	0
1/29/2008	KORL-KORL	C172	2409E	"power on stall, power off"	0	0	0	1	0	0	1	0	0	1	0
1/29/2008	KORL-KORL	C172	2409E	"slow flt, traffic pattern, pwr off stalls"	0	0	0	1.3	0	0	1.3	0	0	1.3	0
1/25/2008	KORL-KORL	C172	6019V	"slow flight, w/ and w/o flaps, rect. pattern"	0	0	0	1.8	0	0	1.8	0	0	1.8	0
1/23/2008	KORL-KORL	C172	2409E	"turns, climbs, decents, t/o, lndgs"	0	0	0	1.3	0	0	1.3	0	0	1.3	0
9/9/2008	KSFB-KSFB	C182	52718	"OCFC 182 checkout, stalls, slow flight, steep turns, go around, engine out"	0	0	0	1.6	0	1.6	1.6	0	0	0	0
11/23/2008	kcrg-korl	CT182	52128	"IFR, w/ Scott"	1.2	0	0.2	1.5	0	1.5	1.2	0	0	0	0
11/23/2008	KORL-kcrg	CT182	52128	"x-c, IFR, with Scott"	1.2	0.2	0	1.2	0	1.2	1.2	0	0	0	0
11/26/2008	korl-korl	DA-20	137PS	"DA-20 instructor checkout - steep turns, slow flight, stalls, emergency landing, landings - Ryan Sexton"	0	0	0	1.7	0	1.7	1.7	0	0	0	0
1/29/2009	Air Orlando	Motus 400/600		"hold cambe, loc bc 25 korl, vordme7 kism, lost comms, etc.  Greer"	0	0	0	0	0	0	1.5	2	1.5	0	0
1/26/2009	ORLANDO	Motus 400/600		"hold, ILS KMFN, LOC/DME KASE, w/ Carlos Alfonso"	0	0	0	0	0	0	1.4	2	1.4	0	0
1/20/2009	orlando	Motus 400/600		"ndb hold, ils fxe, ndb lake city"	0	0	0	0	0	0	1	3	1	0	0
12/31/2008	Orlando-	Motus 400/600		"1 ILS KORL, Partial Panel LOC 7 KORL"	0	0	0	0	0	0	0.7	2	0.7	0	0
12/13/2008	ORLANDO	Motus 400/600		"unusual attitudes, hold at mambo, ils 7 @ korl"	0	0	0	0	0	0	1	1	1	0	0
12/4/2008	ORLANDO	Motus 400/600		"loc-bc approach KORL, 1 ILS approach @ KISM"	0	0	0	0	0	0	0.7	2	0.7	0	0
5/12/2008	orlando	Motus 400/600		ILS approaches	0	0	0	0	0	0	1.3	0	1.3	0	0
5/12/2008	orlando	Motus 400/600		localizer approaches	0	0	0	0	0	0	1.3	3	1.3	0	0
5/8/2008	orlando	Motus 400/600		"NDB approaches, gps, 3 ndb approaches, 1 hold"	0	0	0	0	0	0	1.3	3	1.3	0	0
5/8/2008	air orlando	Motus 400/600		"GPS approaches, 3 GPS, 1 hold"	0	0	0	0	0	0	1.3	3	1.3	0	0
5/7/2008	air orlando	Motus 400/600		"holding, 4 holds"	0	0	0	0	0	0	1.5	0	1.5	0	0
5/5/2008	air orlando	Motus 400/600		"VOR approaches, DME arcs, 3 VOR approaches, 1 hold"	0	0	0	0	0	0	1.5	3	1.5	0	0
4/30/2008	Air orlando	Motus 400/600		"VOR approaches and holds - 3 VOR approaches, 1 hold"	0	0	0	0	0	0	1.4	3	1.4	0	0
4/29/2008	air orlando	Motus 400/600		gps operations	0	0	0	0	0	0	1.3	0	1.3	0	0
4/27/2008	ORLANDO	Motus 400/600		"BAI, partial panel, stalls, DME arcs"	0	0	0	0	0	0	1.4	0	1.4	0	0
4/24/2008	AIR ORLANDO	Motus 400/600		"BAI, partial panel, stalls, slow flight"	0	0	0	0	0	0	1.3	0	1.3	0	0
4/22/2008	AIR ORLANDO	Motus 400/600		"Bai, partial panel, lsn 3"	0	0	0	0	0	0	1.2	0	1.2	0	0
4/21/2008	AIR ORLANDO	Motus 400/600		"BAI, lesson 2"	0	0	0	0	0	0	1.2	0	1.2	0	0
7/27/2008	korl-x01-korl	PA28	32355	safety pilot for Larry Miller	4.1	0	0	0	0	4.1	4.1	0	0	0	0
7/10/2008	kcrg-kssi-kded	PA28	53379	x-c to brunswick	2.6	0	0	2.6	0	2.6	2.6	0	0	0	0
7/10/2008	korl-kcrg	PA28	53379	x-c to craig	2	0	0	2	0	2	2	0	0	0	0
7/10/2008	kded-korl	PA28	53379		0	0	0	0.5	0	0.5	0.5	0	0	0	0
7/9/2008	kocf-kcty-kded	PA28	771RA	x-c to cross city	2.5	0	0	2.5	0	2.5	2.5	0	0	0	0
7/9/2008	korl-kocf	PA28	771RA	"x-c, intro to piper"	2	0	0	2	0	2	2	0	0	0	0
7/9/2008	kded-korl	PA28	771RA	intro to piper	0	0	0	0.5	0	0.5	0.5	0	0	0	0
1/9/2008	KDED-KDED	PA28	708RH	"turns, climbs, slow flight, stalls"	0	0	0	1	0	0	1	0	0	0	0
4/27/2007	STE-STE	PA28	1682J	"turns, climbs, slow flight, t/o and landing"	0	0	0	1.1	0	0	1.1	0	0	0	0
8/6/2008	kded-korl-kcty-korl-kded	PA28	53379	"comm. maneuvers, x-country"	5	0	0	4.3	0	5	5	0	0	0	0
7/24/2008	kded-korl-kcty-ktlh-kssi-kded	PA28	703RA		6.2	0	0	5	0	6.2	6.2	0	0	0	0
2/9/2009	orl-orl	PA28R	32393	caleb hull	0	0	0	0	1.1	1.1	1.1	0	0	0	0
2/7/2009	orl-orl	PA28R	32393	caleb hull	0	0	0	0	1.6	1.6	1.6	0	0	0	0
2/7/2009	orl-orl	PA28R	32393	caleb hull	0	0	0	0	1.6	1.6	1.6	0	0	0	0
2/6/2009	orl-orl	PA28R	32393	caleb hull	0	0	0	0	2.1	2.1	2.1	0	0	0	0
2/5/2009	ORL-LEE-ORL	PA28R	32393	caleb hull	0	0	0	0	2	2	2	0	0	0	0
2/4/2009	KORL-orl	PA28R	32393	caleb hull	0	0	0	0	2	2	2	0	0	0	0
1/17/2009	KORL-KORL	PA28R	32393	comm. maneuvers - Brandon Whish	0	0	0	0	1.6	1.6	1.6	0	0	0	0
12/17/2008	KORL-korl	PA28R	32393	CFI practice checkride w/ Carlos Alfonso	0	0	0	0	1.8	1.8	1.8	0	0	0	0
11/6/2008	KORL-korl	PA28R	32393	"flight instructor - airplane flight test, passed, phil greco 1550189 exp. 11/30/2008"	0	0	0	0	0	1.6	1.6	0	0	0	0
11/3/2008	KORL-korl	PA28R	32393	"lazy 8, short field, stalls"	0	0	0	1.7	0	1.7	1.7	0	0	0	0
10/29/2008	KORL-korl	PA28R	32393	CFI Mock Check	0	0	0	1.7	0	1.7	1.7	0	0	0	0
10/23/2008	korl	PA28R	32393	"prep for CFI, steep turns, lazy 8, chandelles, emergency descent"	0	0	0	2.4	0	2.4	2.4	0	0	0	0
10/21/2008	korl-x04-korl	PA28R	32393	"prep for CFI ride, emerg. gear, t/o land, 180, chandelle, lazy 8"	0	0	0	2.4	0	2.4	2.4	0	0	0	0
10/17/2008	korl-korl	PA28R	32393	"steep turns, turns about point, chandelles, lazy8, 8s on pylons, touch/go, landing short, soft, p/o 180"	0	0	0	2	0	2	2	0	0	0	0
10/9/2008	KORL-klee	PA28R	32393	"right seat familiarization, steep turns, stalls, slow flight, pattern, t/o, landing"	0	0	0	1.3	0	1.3	1.3	0	0	0	0
8/27/2008	KORL-korl	PA28R	32393	commercial practical test - passed - Phil Greco	0	0	0	0	0	1.5	1.5	0	0	0	0
8/26/2008	KORL-korl	PA28R	32393	comm. maneuvers	0	0	0	0	0	1.7	1.7	0	0	0	1.7
8/25/2008	KORL-korl	PA28R	32393	comm. maneuvers	0	0	0	0	0	1.6	1.6	0	0	0	1.6
8/15/2008	KORL-korl	PA28R	32393	commercial maneuvers	0	0	0	0	0	1.7	1.7	0	0	0	1.7
8/14/2008	KORL-KORL	PA28R	32393	commercial mock check ride	0	0	0	1.5	0	1.5	1.5	0	0	0	0
8/11/2008	KORL-korl	PA28R	32393	comm. maneuvers & landings	0	0	0	0	0	1.3	1.3	0	0	0	1.3
8/8/2008	KORL-korl	PA28R	32393	"commercial maneuvers, landings"	0	0	0	0	0	1.7	1.7	0	0	0	1.7
8/6/2008	korl-korl	PA28R	32393	comm. maneuvers	0	0	0	1.4	0	1.4	1.4	0	0	0	0
8/5/2008	KORL-korl	PA28R	32393	comm. maneuvers	0	0	0	2.2	0	2.2	2.2	0	0	0	0
7/31/2008	korl-korl	PA28R	32393	"eights on, shorts/softs"	0	0	0	1.7	0	1.7	1.7	0	0	0	0
7/25/2008	korl-korl	PA28R	32393	short and soft landings	0	0	0	1	0	1	1	0	0	0	0
7/24/2008	korl-korl	PA28R	32393	"slow flight, stalls, chandelles, steep spirals"	0	0	0	3	0	3	3	0	0	0	0
