Date	Aircraft Type	Aircraft Ident	Route of Flight	Time in Flight	Day Landings	Night Landings	Instrument	Simulated Instrument	Approaches	Simulator	Night	Cross Country	Solo	Pilot in Command	Second in Command	Dual	As Instructor	T.W.	Complex	Remarks
"10/17/04"	"C172L"	"N5PT"	"BAF-7B2-BAF"	1.4	0	8	0.0	0.0	0	0.0	1.4	0.0	0.0	0.0	0.0	1.4	0.0			"recovery from bounced ldg, no ldg ligh, Night ops, go around"
"10/21/04"	"C172L"	"N5PT"	"BAF-BDL-BAF"	1.0	2	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0			"""speed up on final"" clearance delivery, class C operations"
"10/26/04"	"C172L"	"N5PT"	"BAF-BAF"	1.4	4	0	0.0	0.0	0	0.0	0.0	0.0	0.0	1.4	0.0	0.0	0.0			"Practice area, short field ldg, TAP, steep 360s, 720, slow flight"
"10/28/04"	"C172L"	"N5PT"	"BAF-GON-BAF"	1.9	0	2	0.0	0.0	0	0.0	1.9	1.9	0.0	0.0	0.0	1.9	0.0			"VOR tracking & cross radials, Night operation - pilotage"
"10/29/04"	"C182Q"	"N1774H"	"BAF-BAF"	1.2	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0			"a/c familiarization  Skylane!"
"11/04/04"	"C172L"	"N5PT"	"BAF-0B5"	0.5	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0			"Solo to Turners Falls"
"11/04/04"	"C172L"	"N5PT"	"0B5-BAF"	1.1	3	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0			"T&Gs 16 0B5, x-wind, SEF, MCA, Dep stalls, steep 360, TAP, Test Prep"
"11/09/04"	"C172L"	"N5PT"	"BAF-BAF"	0.4	3	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0			"Touch & Go's"
"11/09/04"	"C172L"	"N5PT"	"BAF-BAF"	1.8	4	0	0.0	0.9	0	0.0	0.0	0.0	0.0	0.0	0.0	1.8	0.0			"Test Prep: x-wind t/o ldg, steep 360s, TAP, short field t/o, MCA, dep stall"
"11/11/04"	"C172L"	"N5PT"	"BAF-0B5"	0.6	1	0	0.0	0.5	0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0			"hood, slow flight VTF r.w. 16 0B5, stalls on instruments, x-w ldg"
"11/11/04"	"C172L"	"N5PT"	"0B5-BAF"	0.6	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0			"Wind 190@10, followed by 1774H, solo from T.Falls"
"11/14/04"	"C172L"	"N5PT"	"BAF-BAF"	1.1	3	0	0.0	0.0	0	0.0	0.0	0.0	0.0	1.1	0.0	0.0	0.0			"Wind 350@11 rwy 02, practice area TAP, Steep 360s, MCA, T&Gs"
"11/15/04"	"C172L"	"N5PT"	"BAF-BAF"	0.7	1	0	0.0	0.3	0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.0			"Soft Field t/o, TAP, SEF to ldgs, Test Prep, MCA, dep stall"
"11/19/04"	"C172L"	"N5PT"	"BAF-BAF"	1.0	1	0	0.0	0.3	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0			"Private Pilot Flight Test Successful!!"
"11/23/04"	"C172L"	"N5PT"	"BAF-BAF"	0.3	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0			"0B5 no go"
"12/02/04"	"C182Q"	"N1774H"	"BAF-ORH-0B5"	1.5	2	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0			"Avionic check @ ORH, HP instruction"
"12/02/04"	"C172L"	"N5PT"	"05B-BAF"	0.6	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0			"return 5PT from 100 hour, rwy 33, mod winds, nice!"
"12/09/04"	"C172L"	"N5PT"	"BAF-BAF"	1.3	1	0	0.0	0.7	0	0.0	0.0	0.0	0.0	1.3	0.0	1.3	0.0			"hood, steep 360s, Power off/on stalls, departure stall, Dutch rolls, VTF 33"
"12/16/04"	"C182Q"	"N1774H"	"BAF-ORH-BAF"	1.3	2	0	0.0	0.0	0	0.0	0.0	1.3	0.0	0.0	0.0	1.3	0.0			"x-c Procedures, welcome NEW OWNER! a/c systems, x-wind t/o ldgs"
"12/22/04"	"C182Q"	"N1774H"	"BAF-BAF"	1.4	4	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.0			"No flap, Full flap, steep 360s, Power-off Power-on stalls"
"12/30/04"	"C172L"	"N5PT"	"BAF-ORH"	0.7	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.7	0.0	0.0	0.0			"Solo to ORH while George ferried 74H for radio work"
"12/30/04"	"C172L"	"N5PT"	"ORH-BAF"	0.8	2	0	0.0	0.6	0	0.0	0.0	0.0	0.0	0.8	0.0	0.8	0.0			"medium bank turn, VTF 20, MCA, power off stall"
"01/20/05"	"C182Q"	"N1774H"	"ORH-BAF"	0.7	1	0	0.0	0.0	0	0.0	0.0	0.7	0.0	0.0	0.0	0.7	0.0			"Pick-up 1774H from avionic shop a/c systems - GPS operation"
"01/20/05"	"C172L"	"N5PT"	"BAF-ORH"	0.7	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.7	0.0	0.0	0.0			"to pick up 1774H"
"01/21/05"	"C182Q"	"N1774H"	"BAF-EEN-BAF"	1.7	2	0	0.0	0.0	0	0.0	0.0	1.7	0.0	0.0	0.0	1.7	0.0			"Steep 360, enroute Notam check, GPS direct EEN, slow flight, power off stall"
"01/27/05"	"C182Q"	"N1774H"	"BAF-GON-BAF"	1.8	2	0	0.0	0.0	0	0.0	0.0	1.8	0.0	0.0	0.0	1.8	0.0			"enroute pirep, 360 to lose alt, x-c operations, flight following, nice landing!"
"02/03/05"	"C182Q"	"N1774H"	"BAF-7B2-BAF"	1.6	6	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	0.0			"7B2, 1 go around, 2 full stop, traffic avoidance, wind 360 5K, 4 ldg, BAF 02, low apprch"
"02/15/05"	"C182Q"	"N1774H"	"BAF-BAF"	1.1	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0			"Stop and goes BAF, Nice Job~!"
"02/17/05"	"C182Q"	"N1774H"	"BAF-GBR-PSF-BAF"	2.3	7	0	0.0	0.2	0	0.0	0.0	0.0	0.0	0.0	0.0	2.3	0.0			"x-wind t/o ldg, Hood VT D.W., Diversion PSF, short field ops, nice job!"
"02/24/05"	"C182Q"	"N1774H"	"BAF-7B9-7B6-BAF"	1.9	8	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.9	0.0			"Soft field t/o, DME arc BDL, 2 go arounds 7B9, short field ops Ellington & Skylark"
"02/28/05"	"C182Q"	"N1774H"	"BAF-4B9-BAF"	1.1	5	0	0.0	0.2	0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0			"Simsbury full stop taxi back 03, short field ops, VTF 02 BAF"
"03/03/05"	"C182Q"	"N1774H"	"BAF-0B5-BAF"	1.7	7	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.7	0.0			"ops @ MGTOW, autopilot check, crosswind gusty wind operations"
"03/10/05"	"C182Q"	"N1774H"	"BAF-7B2-ORH-BAF-7B2-BAF"	2.8	5	0	0.0	0.0	0	0.0	0.0	0.0	0.0	2.8	0.0	0.0	0.0			"p/u supplement @ ORH, 1st passenger Roger, icy ldg & taxi conditions"
"03/14/05"	"C182Q"	"N1774H"	"BAF-ORE-BAF"	1.8	8	0	0.0	0.0	0	0.0	0.0	0.0	0.0	1.8	0.0	1.8	0.0			"Gusty x-wind t/0 ldg ORE, wind 320 15G22 rwy 01/32"
"03/16/05"	"C182Q"	"N1774H"	"BAF-PSF-BAF"	1.1	2	0	0.0	0.0	0	0.0	0.0	0.0	0.0	1.1	0.0	0.0	0.0			"Wind 290 14K rwy 33, Wind 300 12K rwy 26, snowboarding with Jacqui"
"03/17/05"	"C182Q"	"N1774H"	"BAF-BAF"	0.5	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0			
"03/17/05"	"C182Q"	"N1774H"	"BAF-DXR-BID-BAF"	2.6	3	0	0.0	0.0	0	0.0	0.0	2.6	0.0	2.6	0.0	0.0	0.0			"Danbury, Block Island solo, preview for sp.com fly-in"
"03/19/05"	"C182Q"	"N1774H"	"BAF-DXR-BAF"	2.7	3	0	0.0	0.0	0	0.0	0.0	2.7	0.0	2.7	0.0	0.0	0.0			"Sp.com fly-in, lots of traffic, loose formation w/N34774, Pat Px"
"03/20/05"	"C182Q"	"N1774H"	"BAF-BAF"	0.9	6	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0			"light winds, traffic patter, rwy 33, 20"
"03/23/05"	"C182Q"	"N1774H"	"BAF-0B5-BAF-7B2-2B3-7B2-BAF"	3.1	6	0	0.0	0.0	0	0.0	0.0	1.3	0.0	3.1	0.0	0.0	0.0			"2 go-arounds (0B5 & 2B3) x-country with Roger, steep 360s"
"03/24/05"	"C182Q"	"N1774H"	"BAF-BAF"	1.2	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	1.2	0.0	0.0	0.0			"tried RUT and CNH, was late and lots of clouds... 180"
"03/25/05"	"C182Q"	"N1774H"	"BAF-CON-BAF"	1.8	2	0	0.0	0.0	0	0.0	0.0	1.8	0.0	1.8	0.0	0.0	0.0			"called FFS, filed flight plan, radar services, low cloud deck 3500'"
"03/30/05"	"C182Q"	"N1774H"	"BAF-BAF"	0.4	3	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0			"traffic pattern winds var@6-8Kt, rwy 02"
"03/31/05"	"C182Q"	"N1774H"	"BAF-2B2-BAF"	2.1	2	0	0.0	0.0	0	0.0	0.0	2.1	0.0	2.1	0.0	0.0	0.0			"Plum Island, FF, nice cruise, rough tarmac, good short field control"
"03/31/05"	"C182Q"	"N1774H"	"BAF-4B9-BAF"	1.4	0	7	0.0	0.0	0	0.0	1.4	0.0	0.0	1.4	0.0	1.4	0.0			"Short field t/o, flight following, Night ops, no landing light: Simsbury"
"04/06/05"	"C182Q"	"N1774H"	"BAF-0B5"	0.4	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0			"Delivery for Annual"
"04/07/05"	"C172L"	"N5PT"	"BAF-0B5-BAF"	1.2	2	0	0.0	0.0	0	0.0	0.0	0.0	0.0	1.2	0.0	0.0	0.0			"Calm, low 1000' return, docs/manuals to Bruce for annual"
"04/14/05"	"PA28-161"	"N8090H"	"7B2-7B2"	1.1	3	0	0.0	0.0	0	0.0	0.0	0.0	0.0	1.1	0.0	1.1	0.0			"Check-out, stalls & recovery, slow flight, SEF, turns-a-point, pattern ((signature))"
"05/01/05"	"C182Q"	"N1774H"	"0B5-KUCA-0B5-BAF"	3.2	3	0	0.0	0.0	0	0.0	0.0	2.7	0.0	3.2	0.0	0.0	0.0			"p/u from annual, flew with Scott D., departed rain OCA, wind 31018G21"
"05/02/05"	"C182Q"	"N1774H"	"BAF-RUT-BAF"	2.0	4	0	0.0	0.0	0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0			"cruise @ 5500 to RUT, mod turb, 2 stop & goes, pattern BAF"
"05/04/05"	"C182Q"	"N1774H"	"BAF-0B8-BAF"	2.7	2	0	0.0	0.0	0	0.0	0.0	2.7	0.0	2.7	0.0	0.0	0.0			"Fishers Island w/Roger, FF, Short field, 1 go-around. Beautiful destination!!"
"05/05/05"	"C182Q"	"N1774H"	"BAF-BAF"	0.6	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0			"flight around Pioneer Valley, 2 balloons, lots of traffic, calm, Donna px"
"05/09/05"	"C182Q"	"N1774H"	"BAF-BAF"	1.0	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0			"Attempted x-c to SF2, ceiling 2700', VFR into IMC, one s&go"
"05/13/05"	"C182Q"	"N1774H"	"BAF-LEB-BAF"	2.0	2	0	0.0	0.0	0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0			"CAVU wind var@3-9, FF, beautiful flight, biked to Hanover"
"05/15/05"	"C182Q"	"N1774H"	"BAF-BAF"	0.6	6	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0			"Pattern, wind 30@9 1 no-flap, 2 on 33 x-wind"
"05/19/05"	"C182Q"	"N1774H"	"BAF-7B9-4B9-BAF"	1.1	3	0	0.0	0.0	0	0.0	0.0	0.0	0.0	1.1	0.0	0.0	0.0			"Short field tech, cruise 1500', t/o w/10ºflap"
"05/20/05"	"C182Q"	"N1774H"	"BAF-7B9-HYA-7B9-BAF"	3.7	5	0	0.0	0.0	0	0.0	0.0	2.5	0.0	3.7	0.0	0.0	0.0			"to Cape, sht. fld., 2px, hard start, beautiful x-c, smooth air"
"05/27/05"	"C182Q"	"N1774H"	"BAF-BAF"	1.0	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0			"over Loomis to Shelburne Falls"
"05/31/05"	"C182Q"	"N1774H"	"BAF-BAF"	0.6	4	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0			"Closed Ptn., Slight Tailwind @5kt"
"06/02/05"	"C182Q"	"N1774H"	"BAF-0B-BAF"	1.2	5	0	0.0	0.0	0	0.0	0.0	0.0	0.0	1.2	0.0	0.0	0.0			"to Turners for new strut seal, Haze ~5 sm vis, ptn work @BAF"
"06/03/05"	"C182Q"	"N1774H"	"BAF-BAF"	1.4	5	0	0.0	0.4	0	0.0	0.0	0.0	0.0	1.4	0.0	1.4	0.0			"Hood, MCA Stall, med turns, UA, Departure Stalls, x-wind ldg, go around"
"06/08/05"	"C182Q"	"N1774H"	"BAF-FSD-BAF"	3.2	2	0	0.0	0.0	0	0.0	0.0	3.2	0.0	3.2	0.0	0.0	0.0			"Highgate Falls, VT, 750' & 8500' cruise, FF, engine mgt"
"06/11/05"	"C182Q"	"N1774H"	"BAF-BAF"	0.5	0	3	0.0	0.0	0	0.0	0.5	0.0	0.0	0.5	0.0	0.0	0.0			"3 stop & gos, Hazy, barely 3 mile vix, nice ldgs for currency"
"06/20/05"	"C182Q"	"N1774H"	"BAF-BAF"	0.8	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0			"slow flight over Loomis St"
"06/23/05"	"C182Q"	"N1774H"	"BAF-EEN-BAF"	1.3	1	1	0.0	0.0	0	0.0	0.6	0.0	0.0	1.3	0.0	0.0	0.0			"Dinner @ Keene, ngt lgd"
"06/24/05"	"C182Q"	"N1774H"	"BAF-SVF-BAF"	1.7	0	2	0.0	0.0	0	0.0	1.7	1.7	0.0	1.7	0.0	0.0	0.0			"Night flight -> Springfield, VT w/Kevin Trigo, 2 night ldgs"
