Date	A/C Type	A/C Ident	Route of Flight	# App	Remarks	day ldg	nt ldg	nt t/o	ASEL	AMEL	Heli	Night	Inst	Sim Inst	Flight Sim	XC	Dual	PIC	Solo	Total Time of Flight		yr/mo	year	Instrument currency stuff			daily count stuff	
11/15/02	C172	N5269F	8Q0-8Q0		Landing practice	5			0.6									0.6	0.6	0.6		200211	2002				11/15	
11/17/02	C172	N5243F	8Q0-1O2-8Q0		Flight with Eric	2			1.9							1.9		1.9		1.9		200211	2002				11/17	
11/19/02	C172	N5269F	8Q0-2Q3-O41-VCB-8Q0		Flight for no reason at all!	5			1.5									1.5	1.5	1.5		200211	2002				11/19	
11/30/02	C172	N5243F	8Q0-WLW-8Q0		"Photos of Thunderhill, lndgs at WLW"	3			2.1							2.1		2.1	2.1	2.1		200211	2002				11/30	
1/9/03	C172	N738AN	LFI - LFI		Langley Aero Club Local Checkout	2			1.3								1.3	1.3		1.3		200301	2003				01/09	
1/19/03	C172	N734TV	LFI-SFQ-CPK-W97-LFI		"Local Orientation Flight, crosswind landings"	6			2.4									2.4	2.4	2.4		200301	2003				01/19	
1/20/03	C172	N738AN	LFI-PHF-LFI		"gusty wind, crosswind landings"	8			1.1									1.1	1.1	1.1		200301	2003				01/20	
3/10/03	C172	N738AN	LFI-ECG-9W7-LFI		"VOR Nav, currency"	4			1.4							1.4		1.4	1.4	1.4		200303	2003				03/10	
3/28/03	C172	N738AN	LFI - LFI		crosswind landing practice	7			1.3									1.3	1.3	1.3		200303	2003				03/28	
4/6/03	C172	N734TV	LFI-TGI-W41-MFV-LFI		Flight to Crisfield	4			2.1							2.1		2.1	2.1	2.1		200304	2003				04/06	
4/27/03	C172	N734TV	LFI-FCI-RZZ-AKQ-LFI		Lunch at Chesterfield	5			2.7							2.7		2.7	2.7	2.7		200304	2003				04/27	
4/29/03	C172	N738AN	LFI - JGG		Lunch with Chad	1			0.4									0.4		0.4		200304	2003				04/29	
4/29/03	C172	N738AN	JGG - LFI		           \/	1			0.5									0.5		0.5		200304	2003				04/29	
5/1/03	C172	N734TV	LFI-CPK-ORF-LFI		Langley local night checkout		4	4	1.4			1.4					1.4	1.4		1.4		200305	2003				05/01	
5/16/03	C172	N3216E	LFI - PVG		Lunch with Chad	1			0.4									0.4		0.4		200305	2003				05/16	
5/16/03	C172	N3216E	PVG - LFI		           \/	1			0.6									0.6		0.6		200305	2003				05/16	
5/24/03	C172	N733AG	LFI-FKN-FFA-LFI		Flaps stuck at 0 after last T/G at LFI	4			2.4							2.4		2.4	2.4	2.4		200305	2003				05/24	
5/30/03	C172	N734TV	LFI-PHF-LFI		Landing practice	9			1.1									1.1	1.1	1.1		200305	2003				05/30	
6/12/03	C172	N734TV	LFI-PHF-LFI		More landing practice	8			1.2									1.2	1.2	1.2		200306	2003				06/12	
6/14/03	C172	N734TV	LFI - W41		Fly-in at Crisfield with Diane	1			1.1							1.1		1.1		1.1		200306	2003				06/14	
6/14/03	C172	N734TV	W41 - LFI		"Return trip, sightseeing over local area"	1			1.1							1.1		1.1		1.1		200306	2003				06/14	
6/18/03	C172	N97757	RVS - 0F8 - RVS		Christiansen Aviation local checkout	2			1.0								1.0	1.0		1.0		200306	2003				06/18	
6/19/03	C172	N97757	RVS - PNC		"Flight with Mom, Owasso sightseeing,"	1			1.3							1.3		1.3		1.3		200306	2003				06/19	
6/19/03	C172	N97757	PNC - RVS		     lunch at Ponca City	1			0.9							0.9		0.9		0.9		200306	2003				06/19	
6/20/03	C172	N4820D	RVS - BVO		"Flight with Dad, Owasso sightseeing,"	1			1.0									1.0		1.0		200306	2003				06/20	
6/20/03	C172	N4820D	BVO - RVS		"     port of Catoosa, lunch at Bartlesville"	1			0.5									0.5		0.5		200306	2003				06/20	
7/15/03	PA-28R	N1425T	LFI - PHF - LFI		"Checkout in Arrow, complex, part 1"	5			1.3								1.3	1.3		1.3		200307	2003				07/15	
7/16/03	PA-28R	N1425T	LFI - PHF - LFI		"Checkout in Arrow, complex, part 2"	9			1.5								1.5	1.5		1.5		200307	2003				07/16	
7/19/03	PA-28R	N1425T	LFI - PHF - LFI		Safety pilot for Jonathan Core	0			0.4											0.4		200307	2003				07/19	
7/21/03	PA-28R	N7PT	LFI - SFQ - LFI		"Checkout in Arrow, complex, part 3"	9			1.8					0.3			1.8	1.8		1.8		200307	2003				07/21	
7/22/03	PA-28R	N1425T	LFI - PHF - LFI		"Checkout in Arrow, complex, part 4"	4			0.8								0.8	0.8		0.8		200307	2003				07/22	
7/25/03	PA-28R	N7PT	LFI - JGG		Lunch with Chad	1			0.6									0.6		0.6		200307	2003				07/25	
7/25/03	PA-28R	N7PT	JGG - LFI		\/	1			0.7									0.7		0.7		200307	2003				07/25	
8/13/03	PA-28R	N1425T	LFI - PHF - LFI		"Landing practice, SFOs, overheads"	7			1.2									1.2	1.2	1.2		200308	2003				08/13	
8/16/03	PA-28R	N7PT	LFI - LFI		Landing practice	10			1.2									1.2	1.2	1.2		200308	2003				08/16	
8/20/03	PA-28R	N7PT	MFV - MFV		Night landing currency		3	3	0.3			0.3						0.3	0.3	0.3		200308	2003				08/20	
8/20/03	PA-28R	N7PT	MFV - LFI		Safety pilot for Jonathan Core	0			0.6											0.6		200308	2003				08/20	
9/13/03	PA-28R	N7PT	LFI - LFI			4			0.6									0.6	0.6	0.6		200309	2003				09/13	
11/11/03	PA-28R	N7PT	LFI - PHF - LFI		Landing recurrency	5			0.7									0.7	0.7	0.7		200311	2003				11/11	
12/3/03	PA-28R	N7PT	LFI - CPK - LFI		"Flight to look at Katana, sightseeing"	3			1.2									1.2	1.2	1.2		200312	2003				12/03	
12/4/03	PA-28R	N1425T	LFI - JGG - LFI		"Lunch with Holt and Chad, started snowing while there"	2			0.8									0.8		0.8		200312	2003				12/04	
12/26/03	PA-28R	N7PT	LFI - JGG		"Flight with Lili, tour of VA Beach, Norfolk, lunch at Williamsburg"	1			1.0									1.0		1.0		200312	2003				12/26	
12/26/03	PA-28R	N7PT	JGG - LFI		\/	1			0.4									0.4		0.4		200312	2003				12/26	
1/24/04	PA-28R	N7PT	LFI - FYJ		Flight with Chad to West Point	1			0.5									0.5		0.5		200401	2004				01/24	
1/24/04	PA-28R	N7PT	FYJ - LFI		"Return flight, search for Holt"	2			0.7									0.7		0.7		200401	2004				01/24	
2/22/04	PA-28R	N7PT	LFI - FFA		Flight with Chad to Wright Brothers Memorial	1			1.0							1.0		1.0		1.0		200402	2004				02/22	
2/22/04	PA-28R	N7PT	FFA - LFI		\/	2			0.9							0.9		0.9		0.9		200402	2004				02/22	
3/17/04	PA-28R	N1425T	LFI - SFQ		Lunch with Chad	1			0.6									0.6		0.6		200403	2004				03/17	
3/17/04	PA-28R	N1425T	SFQ - LFI		\/	1			0.4									0.4		0.4		200403	2004				03/17	
3/23/04	PA-28R	N7PT	LFI - JGG		"Stalls, slow flight, climb/descent turns, steep turns, unusual attitudes"	1			1.0					0.7			1.0	1.0		1.0		200403	2004				03/23	
3/23/04	PA-28R	N7PT	JGG - LFI		"Ferry flight, 738AN was left at JGG"	1			0.4									0.4	0.4	0.4		200403	2004				03/23	
3/23/04	PA-28R	N7PT	LFI - LFI		"Stalls, slow flight, steep turns, climbs/descents"	1			0.8					0.6			0.8	0.8		0.8		200403	2004				03/23	
3/24/04	PA-28R	N7PT	LFI - LFI	1	"Stalls, slow flight, steep turns, partial panel, unusual attitudes, timed/compass turns"	1			1.1					0.8			1.1	1.1		1.1		200403	2004	107	3/24/04		03/24	
3/24/04	PA-28R	N7PT	LFI - PHF	1	"partial panel, constant rate climbs/descents"	1			1.8					1.5			1.8	1.8		1.8		200403	2004	106	3/24/04		03/24	
3/24/04	PA-28R	N7PT	PHF - LFI		Return flight due to runway closure at LFI	1			0.4								0.4	0.4		0.4		200403	2004	105	3/24/04		03/24	
3/25/04	PA-28R	N1425T	LFI - LFI		"Constant rate climbs/descent, slow flight, stalls, partial panel, VOR nav"	1			1.2					0.9			1.2	1.2		1.2		200403	2004	105	3/25/04		03/25	
3/26/04	PA-28R	N7PT	LFI - PVG - LFI	1	"slow flight, stalls, VOR tracking, DME arcs, NDB tracking/orientation"	2			2.0					1.7			2.0	2.0		2.0		200403	2004	105	3/26/04		03/26	
3/27/04	PCATD				"NDB tracking, homing, time/distance, VOR time/distance, NDB app, ILS app"	 									1.0		1.0					200403	2004	104	3/27/04			
3/29/04	PA-28R	N7PT	LFI - LFI		Flight canceled due to potential icing conditions	1			0.6								0.6	0.6		0.6		200403	2004	104	3/29/04		03/29	
3/29/04	PCATD				"NDB tracking, partial panel, ILS, NDB app"										0.7		0.7					200403	2004	104	3/29/04			
3/31/04	PA-28R	N7PT	LFI - PHF - LFI	2	"Actual instrument conditions, ceiling ~ 500 @ LFI, 700 @ PHF, tops 17-1800 (between layers)"	2			0.9				0.6				0.9	0.9		0.9		200403	2004	104	3/31/04		03/31	
4/1/04	PCATD				"VOR/NDB tracking/holds, LOC app"										1.0		1.0					200404	2004	102	4/1/04			
4/2/04	C172	N3216E	LFI - LFI	1	"VOR intersection holds, NDB holds"	1			1.4					1.1			1.4	1.4		1.4		200404	2004	102	4/2/04		04/02	
4/12/04	PCATD														1.5		1.5					200404	2004	101	4/12/04			
4/13/04	PCATD				NDB holding/tracking/approaches										1.2		1.2					200404	2004	101	4/13/04			
4/15/04	PA-28R	N7PT	LFI - LFI	3	VOR tracking/holding	2			2.0					1.7			2.0	2.0		2.0		200404	2004	101	4/15/04		04/15	
4/20/04	PA-28R	N7PT	LFI - PVG - LFI	2	"Unusual attitudes, partial panel, steep turns, stalls, slow flight, EPs"	2			1.8					1.5			1.8	1.8		1.8		200404	2004	98	4/20/04		04/20	
4/22/04	PA-28R	N7PT	LFI - SFQ - LFI	4	"holding (intersection, NDB), EPs, partial panel NDB"	2	1		2.4					2.1			2.4	2.4		2.4		200404	2004	96	4/22/04		04/22	
4/23/04	PA-28R	N7PT	LFI - LFI		short/soft/normal/engine-out landings	5			0.6								0.6	0.6		0.6		200404	2004	92	4/23/04		04/23	
4/27/04	PA-28R	N7PT	LFI - FKN - LFI	2	"partial panel, stall, st turns, Eps, holding"	3			1.7					1.3			1.7	1.7		1.7		200404	2004	92	4/27/04		04/27	
4/29/04	PA-28R	N7PT	LFI-FYJ-JGG-PHF-LFI		"VFR practice - holding, VOR FYJ, VOR JGG, NDB PHF"	3			1.6									1.6	1.6	1.6		200404	2004	90	4/29/04		04/29	
5/2/04	C172	N3216E	LFI - ORF - LFI	4	Approach practice	3			1.8					1.5			1.8	1.8		1.8		200405	2004	90	5/2/04		05/02	
5/6/04	PA-28R	N7PT	LFI-JGG-PHF-LFI	3	"NDB holding (int, standard/non-standard, partial panel), VOR holding (int, s/ns, pp), slow flight, stall"	3			2.5					2.2			2.5	2.5		2.5		200405	2004	86	5/6/04		05/06	
5/11/04	C172	N733AG	LFI - LFI	3	"VOR holding, circling, missed approach, partial panel"	0			1.9					1.6			1.9	1.9		1.9		200405	2004	83	5/11/04		05/11	
5/12/04	C172	N3216E	LFI-RIC-CPK-LFI	3	Training X-C	2	2	1	2.8			1.2		2.5		2.8	2.8	2.8		2.8		200405	2004	80	5/12/04		05/12	
5/21/04	C172	N3216E	PHF-MFV-W41-PHF	3	"Training X-C, holding procedure turn, missed approach"	2			2.4				0.2	1.9		2.4	2.4	2.4		2.4		200405	2004	77	5/21/04		05/21	
5/25/04	C172	N3216E	LFI-EMV-LFI	2	"Training X-C, LOC holding (partial panel), VOR Nav"	2			2.2					1.9		2.2	2.2	2.2		2.2		200405	2004	74	5/25/04		05/25	
6/2/04	PA-28R	N7PT	LFI-RDU-PHF-LFI	3	Training X-C	3			3.5					3.0		3.5	3.5	3.5		3.5		200406	2004	72	6/2/04		06/02	
6/7/04	C172	N3216E	LFI-JGG-FAF-PHF-LFI	3	"Stg 3 check, st turns, VOR nav, holding, unusual att."	3			1.9					1.4			1.9	1.9		1.9		200406	2004	69	6/7/04		06/07	
6/12/04	C172	N3216E	LFI-ORF-CPK-ORF-LFI	3	Instrument checkride passed	2			2.2					1.7				2.2		2.2		200406	2004	66	6/12/04		06/12	
6/30/04	PA-28	N75078	ROG - TUL	1	"First flight with new airplane, with Mom! (VOR int/track)"	1			1.2				0.6			1.2		1.2		1.2		200406	2004	63	6/30/04		06/30	
7/1/04	PA-28	N75078	TUL - MWA		Return flight from Tulsa	1			3.5				0.7			3.5		3.5	3.5	3.5		200407	2004	62	7/1/04		07/01	
7/1/04	PA-28	N75078	MWA - CRW		|	1			3.3				0.4			3.3		3.3	3.3	3.3		200407	2004	62	7/1/04		07/01	
7/1/04	PA-28	N75078	CRW - JGG		V	1			2.7				0.2			2.7		2.7	2.7	2.7		200407	2004	62	7/1/04		07/01	
7/3/04	PA-28	N75078	JGG - W75 - JGG		Sightseeing flight with Rachael	2			1.6									1.6		1.6		200407	2004	62	7/3/04		07/03	
7/5/04	PA-28	N75078	JGG - FCI - JGG		Lunch with Chad	2			1.2									1.2		1.2		200407	2004	62	7/5/04		07/05	
7/8/04	PA-28	N75078	JGG - JGG		short/soft takeoffs	4			0.6									0.6	0.6	0.6		200407	2004	62	7/8/04		07/08	
7/9/04	PA-28	N75078	JGG - PVG - JGG		PVG to check MX-170 at bay Avionics	2			0.9									0.9	0.9	0.9		200407	2004	62	7/9/04		07/09	
7/11/04	PA-28	N75078	JGG - TGI - JGG		Lunch with Rachael	2			1.5				0.4					1.5		1.5		200407	2004	62	7/11/04		07/11	
7/14/04	PA-28	N75078	JGG - PHF - JGG		"Insurance checkout - grnd ref., stalls, st. turns, ldgs"	4			1.8								1.2	1.8	0.6	1.8		200407	2004	62	7/14/04		07/14	
7/17/04	PA-28	N75078	JGG - FYJ - JGG			2			0.7									0.7	0.7	0.7		200407	2004	62	7/17/04		07/17	
8/4/04	PA-28	N75078	JGG - LFI		"Relocating airplane to Langley, static port got blocked"	1			0.4									0.4	0.4	0.4		200408	2004	62	8/4/04		08/04	
8/6/04	PA-28	N75078	LFI - LFI		FCF after unclogging static port	2			0.4									0.4	0.4	0.4		200408	2004	62	8/6/04		08/06	
8/7/04	PA-28	N75078	LFI - FFA - LFI		Kitty Hawk with Rachael and her father	2			1.7							1.7		1.7		1.7		200408	2004	62	8/7/04		08/07	
8/8/04	PA-28	N75078	LFI - ORF - LFI		"overhead patterns, sim. engine out"	5			1.3									1.3	1.3	1.3		200408	2004	62	8/8/04		08/08	
8/17/04	PA-28	N75078	LFI - PVG - LFI		PVG to check VORs and MX-170 at Bay Avionics	2			1.0									1.0	1.0	1.0		200408	2004	62	8/17/04		08/17	
8/22/04	PA-28	N75078	LFI-W96-PTB-FCI	2	"Practice approaches, lunch, Jonathan Core safety pilot, he flew FCI - W45"	3			1.5					0.5		1.5		1.5		1.5		200408	2004	62	8/22/04		08/22	
8/22/04	PA-28	N75078	W45 - LFI		"Return flight, on top of broken layer"	1			1.5				0.1			1.5		1.5		1.5		200408	2004	60	8/22/04		08/22	
8/24/04	PA-28	N75078	LFI - DKX		TDY to Nashville	1			4.0				0.5			4.0		4.0	4.0	4.0		200408	2004	60	8/24/04		08/24	
8/24/04	PA-28	N75078	DKX - M88		|	1			1.6				0.3			1.6		1.6	1.6	1.6		200408	2004	60	8/24/04		08/24	
8/26/04	PA-28	N75078	M88 - AVC		|	1			4.1				1.0			4.1		4.1	4.1	4.1		200408	2004	60	8/26/04		08/26	
8/26/04	PA-28	N75078	AVC - LFI		V	1			1.0							1.0		1.0	1.0	1.0		200408	2004	60	8/26/04		08/26	
9/3/04	PA-28	N75078	LFI - LFI		Post-oil change check flight	3			0.4									0.4	0.4	0.4		200409	2004	60	9/3/04		09/03	
9/4/04	PA-28	N75078	LFI - AIY		Atlantic City trip with Rachael	1			1.8							1.8		1.8		1.8		200409	2004	60	9/4/04		09/04	
9/4/04	PA-28	N75078	AIY - LFI		V	1			1.7							1.7		1.7		1.7		200409	2004	60	9/4/04		09/04	
9/11/04	PA-28	N75078	LFI - W75 - LFI		Landing practice at Hummel	4			1.2				0.2					1.2		1.2		200409	2004	60	9/11/04		09/11	
9/19/04	PA-28	N75078	LFI - FFA - LFI		Kitty Hawk with Chad and his father	2			1.9				0.1			1.9		1.9		1.9		200409	2004	60	9/19/04		09/19	
9/21/04	PA-28	N75078	LFI - IAD - LFI		Dulles Smithsonian with Chad and father	2			3.6							3.6		3.6		3.6		200409	2004	60	9/21/04		09/21	
9/24/04	PA-28	N75078	LFI - GSO - LFI		"High Point, NC for furniture shopping"	2			3.9							3.9		3.9		3.9		200409	2004	60	9/24/04		09/24	
9/26/04	PA-28	N75078	LFI - ORF - LFI		"Emergency procedures, manuevers"	2			1.3									1.3	1.3	1.3		200409	2004	60	9/26/04		09/26	
10/3/04	PA-28	N75078	LFI - LFI		VOR check	3			0.5									0.5	0.5	0.5		200410	2004	60	10/3/04		10/03	
10/6/04	PA-28	N75078	LFI - MTV		TDY to Nashville with Rachael	1			1.9				0.1			1.9		1.9		1.9		200410	2004	60	10/6/04		10/06	
10/6/04	PA-28	N75078	MTV - DKX		|	1			2.1							2.1		2.1		2.1		200410	2004	60	10/6/04		10/06	
10/6/04	PA-28	N75078	DKX - M88		|	1			1.7							1.7		1.7		1.7		200410	2004	60	10/6/04		10/06	
10/8/04	PA-28	N75078	M88 - HLX		|	1			2.9							2.9		2.9		2.9		200410	2004	60	10/8/04		10/08	
10/8/04	PA-28	N75078	HLX - PHF		V	1			2.2							2.2		2.2		2.2		200410	2004	60	10/8/04		10/08	
10/10/04	PA-28	N75078	PHF - WRI		McGuire with Rachael to see Kori and Eric	1			2.1							2.1		2.1		2.1		200410	2004	60	10/10/04		10/10	
10/11/04	PA-28	N75078	WRI - PHF		V	1			1.9							1.9		1.9		1.9		200410	2004	60	10/11/04		10/11	
10/12/04	PA-28	N75078	PHF - LFI		Return flight after runway closure	1			0.3									0.3	0.3	0.3		200410	2004	60	10/12/04		10/12	
10/17/04	PA-28	N75078	LFI - PHF - LFI		"Thermals to 13,500 feet, backwards 12Kt flight, crosswind landings at PHF"	3			1.1									1.1	1.1	1.1		200410	2004	60	10/17/04		10/17	
10/21/04	PA-28	N75078	LFI-FYJ-JGG-PHF	3	"Maintaining currency - VOR tracking, holding, approaches - safety pilot Jonathan Core"	3			1.2				0.4	0.3				1.2		1.2		200410	2004	60	10/21/04		10/21	
10/21/04	PA-28	N75078	PHF-FYJ-JGG-LFI		Safety pilot for Jonathan Core				0.3									0.3		0.3		200410	2004	57	10/21/04		10/21	
10/23/04	PA-28	N75078	LFI - W45		Luray Caverns with Rachael	1			2.0				0.2			2.0		2.0		2.0		200410	2004	57	10/23/04		10/23	
10/23/04	PA-28	N75078	W45 - LFI		 V needed clearance through FSS on ground	1			1.4				0.1			1.4		1.4		1.4		200410	2004	57	10/23/04		10/23	
10/28/04	PA-28	N75078	LFI - MFV		Safety pilot for Jonathan Core				0.2									0.2		0.2		200410	2004	57	10/28/04		10/28	
10/28/04	PA-28	N75078	MFV - ORF - PHF	2	"Night currency, approaches, safety pilot J. Core"		5	5	1.4			1.4		0.4				1.4		1.4		200410	2004	57	10/28/04		10/28	
10/28/04	PA-28	N75078	PHF - LFI		Safety pilot for Jonathan Core				0.5									0.5		0.5		200410	2004	55	10/28/04		10/28	
11/7/04	PA-28	N75078	LFI - LFI		Testing Anywhere Map system and glide range	1			1.0									1.0	1.0	1.0		200411	2004	55	11/7/04		11/07	
11/21/04	PA-28	N75078	LFI - LFI		"post-strut inflation check, emer. Proc."	8			0.6									0.6	0.6	0.6		200411	2004	55	11/21/04		11/21	
11/26/04	PA-28	N75078	LFI - AKQ - LFI		"pilotage, landings from right seat, VOR check"	6			1.4									1.4	1.4	1.4		200411	2004	55	11/26/04		11/26	
12/14/04	PA-28	N75078	LFI - FFA - LFI		Trip to Kitty Hawk with Mom and Dad	2			1.9							1.9		1.9		1.9		200412	2004	55	12/14/04		12/14	
12/16/04	PA-28	N75078	LFI - LFI		Norfolk light tour with Mom and Dad		1	1	0.9			0.9						0.9		0.9		200412	2004	55	12/16/04		12/16	
12/19/04	PA-28	N75078	LFI - PHF		Moving plane to PHF	1			0.4									0.4	0.4	0.4		200412	2004	55	12/19/04		12/19	
